;timestep;number;lifetime;total dissipation;spatial linear size
0;2596;0;1;1.0;0.0
1;3430;1;1;1.0;0.0
2;3935;2;1;1.0;0.0
3;4142;3;1;1.0;0.0
4;4158;4;1;1.0;0.0
5;4959;5;1;1.0;0.0
6;4970;6;1;1.0;0.0
7;5125;7;1;1.0;0.0
8;5302;8;1;1.0;0.0
9;5484;9;1;1.0;0.0
10;5519;10;1;1.0;0.0
11;5585;11;1;1.0;0.0
12;5626;12;1;1.0;0.0
13;5631;13;1;1.0;0.0
14;5674;14;1;1.0;0.0
15;5680;15;1;1.0;0.0
16;6020;16;1;1.0;0.0
17;6043;17;1;1.0;0.0
18;6104;18;1;1.0;0.0
19;6236;19;1;1.0;0.0
20;6364;20;1;1.0;0.0
21;6566;21;1;1.0;0.0
22;6569;22;1;1.0;0.0
23;6619;23;1;1.0;0.0
24;6650;24;1;1.0;0.0
25;6669;25;1;1.0;0.0
26;6735;26;1;1.0;0.0
27;6913;27;1;1.0;0.0
28;6936;28;1;1.0;0.0
29;7030;29;1;1.0;0.0
30;7138;30;1;1.0;0.0
31;7186;31;1;1.0;0.0
32;7191;32;1;1.0;0.0
33;7215;33;1;1.0;0.0
34;7263;34;1;1.0;0.0
35;7466;35;1;1.0;0.0
36;7514;36;1;1.0;0.0
37;7541;37;1;1.0;0.0
38;7610;38;1;1.0;0.0
39;7623;39;1;1.0;0.0
40;7643;40;2;2.0;1.0
41;7660;41;1;1.0;0.0
42;7664;42;1;1.0;0.0
43;7699;43;1;1.0;0.0
44;7703;44;2;2.0;1.0
45;7793;45;1;1.0;0.0
46;7795;46;1;1.0;0.0
47;7805;47;2;2.0;1.0
48;7863;48;1;1.0;0.0
49;7893;49;1;1.0;0.0
50;7895;50;1;1.0;0.0
51;7956;51;1;1.0;0.0
52;7986;52;1;1.0;0.0
53;8031;53;1;1.0;0.0
54;8049;54;1;1.0;0.0
55;8065;55;1;1.0;0.0
56;8082;56;2;2.0;1.0
57;8093;57;1;1.0;0.0
58;8223;58;1;1.0;0.0
59;8262;59;1;1.0;0.0
60;8276;60;1;1.0;0.0
61;8282;61;1;1.0;0.0
62;8290;62;2;2.0;1.0
63;8309;63;1;1.0;0.0
64;8369;64;1;1.0;0.0
65;8510;65;1;1.0;0.0
66;8514;66;1;1.0;0.0
