;timestep;number;lifetime;total dissipation;spatial linear size
0;12162;0;5;6.0;4.0
1;12168;1;1;1.0;0.0
2;12172;2;1;1.0;0.0
3;12175;3;1;1.0;0.0
4;12177;4;1;1.0;1.0
5;12180;5;1;1.0;0.0
6;12182;6;3;3.0;1.4142135623730951
7;12186;7;1;1.0;0.0
8;12198;8;1;1.0;0.0
9;12200;9;1;1.0;0.0
10;12202;10;2;2.0;1.0
11;12205;11;1;1.0;0.0
12;12207;12;1;1.0;0.0
13;12209;13;1;1.0;1.0
14;12211;14;1;1.0;1.0
15;12215;15;1;1.0;0.0
16;12220;16;1;2.0;1.0
17;12224;17;1;2.0;1.0
18;12227;18;1;2.0;1.0
19;12238;19;2;2.0;1.0
20;12253;20;1;1.0;1.0
21;12256;21;1;1.0;0.0
22;12259;22;1;1.0;1.0
23;12261;23;1;1.0;0.0
24;12269;24;1;1.0;0.0
25;12283;25;1;1.0;1.0
26;12287;26;3;3.0;2.0
27;12293;27;1;1.0;0.0
28;12296;28;1;1.0;0.0
29;12300;29;2;2.0;1.0
30;12303;30;1;1.0;1.0
31;12307;31;1;1.0;0.0
32;12317;32;1;1.0;0.0
33;12324;33;2;2.0;1.0
34;12330;34;1;2.0;1.0
35;12332;35;1;1.0;0.0
36;12342;36;4;4.0;3.0
37;12350;37;1;1.0;1.0
38;12352;38;1;1.0;1.0
39;12357;39;1;1.0;0.0
40;12361;40;1;1.0;1.0
41;12368;41;1;1.0;1.0
42;12373;42;1;1.0;0.0
43;12375;43;1;1.0;0.0
44;12377;44;1;1.0;0.0
45;12381;45;1;2.0;1.0
46;12390;46;1;1.0;0.0
47;12393;47;1;1.0;0.0
48;12396;48;1;1.0;1.0
49;12399;49;1;1.0;1.0
50;12407;50;1;1.0;0.0
51;12409;51;1;1.0;0.0
52;12412;52;3;3.0;2.0
53;12419;53;1;1.0;0.0
54;12423;54;2;2.0;1.0
55;12427;55;1;1.0;0.0
56;12430;56;1;1.0;0.0
57;12435;57;1;1.0;0.0
58;12437;58;1;1.0;1.0
59;12440;59;1;1.0;1.0
60;12445;60;1;1.0;0.0
61;12448;61;1;2.0;1.0
62;12451;62;1;1.0;0.0
63;12453;63;4;4.0;2.23606797749979
64;12459;64;1;1.0;0.0
65;12461;65;1;1.0;1.0
66;12472;66;1;1.0;0.0
67;12477;67;1;1.0;1.0
68;12479;68;1;1.0;0.0
69;12481;69;2;2.0;1.0
70;12485;70;1;1.0;0.0
71;12491;71;1;1.0;0.0
72;12495;72;1;1.0;0.0
73;12498;73;1;2.0;1.0
74;12505;74;1;1.0;0.0
75;12508;75;2;2.0;1.0
76;12513;76;1;1.0;0.0
77;12515;77;1;2.0;1.0
78;12517;78;1;1.0;1.0
79;12520;79;1;2.0;1.0
80;12523;80;4;5.0;2.23606797749979
81;12528;81;1;1.0;0.0
82;12531;82;1;1.0;1.0
83;12542;83;1;1.0;0.0
84;12551;84;1;1.0;0.0
85;12557;85;1;1.0;0.0
86;12560;86;1;2.0;1.0
87;12564;87;1;1.0;1.0
88;12568;88;1;1.0;0.0
89;12575;89;1;1.0;0.0
90;12585;90;1;1.0;1.0
91;12589;91;3;3.0;1.4142135623730951
92;12595;92;1;1.0;0.0
93;12597;93;1;1.0;1.0
94;12600;94;5;10.0;2.8284271247461903
95;12611;95;1;1.0;0.0
96;12613;96;1;1.0;1.0
97;12615;97;1;1.0;1.0
98;12619;98;1;1.0;0.0
99;12632;99;1;1.0;0.0
100;12644;100;1;1.0;0.0
101;12647;101;1;1.0;0.0
102;12657;102;1;1.0;1.0
103;12665;103;2;2.0;1.0
104;12669;104;2;2.0;1.0
105;12673;105;1;1.0;1.0
106;12675;106;2;2.0;1.0
107;12686;107;5;5.0;4.0
108;12693;108;1;1.0;0.0
109;12695;109;1;1.0;0.0
110;12697;110;1;1.0;0.0
111;12700;111;2;2.0;1.0
112;12704;112;2;2.0;1.0
113;12710;113;1;1.0;1.0
114;12712;114;1;1.0;0.0
115;12715;115;1;1.0;0.0
116;12719;116;1;1.0;0.0
117;12721;117;1;1.0;0.0
118;12734;118;7;12.0;3.1622776601683795
119;12746;119;1;1.0;0.0
120;12750;120;2;2.0;1.0
121;12753;121;3;3.0;2.0
122;12758;122;1;1.0;0.0
123;12766;123;1;1.0;0.0
124;12773;124;1;1.0;0.0
125;12775;125;1;2.0;1.0
126;12785;126;1;1.0;0.0
127;12790;127;1;1.0;1.0
128;12792;128;2;2.0;1.0
129;12796;129;1;1.0;0.0
130;12804;130;1;1.0;0.0
131;12806;131;1;1.0;0.0
132;12815;132;3;3.0;1.4142135623730951
133;12821;133;1;1.0;0.0
134;12825;134;2;2.0;1.4142135623730951
135;12830;135;3;3.0;2.0
136;12834;136;1;1.0;0.0
137;12849;137;2;2.0;1.0
138;12852;138;2;2.0;1.0
139;12860;139;2;2.0;1.0
140;12879;140;1;1.0;0.0
141;12885;141;1;1.0;0.0
142;12887;142;1;1.0;0.0
143;12889;143;1;2.0;1.0
144;12895;144;3;3.0;2.0
145;12903;145;1;1.0;0.0
146;12905;146;1;1.0;0.0
147;12907;147;1;1.0;0.0
148;12910;148;1;1.0;0.0
149;12912;149;2;2.0;1.0
150;12923;150;1;1.0;0.0
151;12928;151;1;1.0;0.0
152;12936;152;6;6.0;4.123105625617661
153;12943;153;1;1.0;0.0
154;12947;154;1;2.0;1.0
155;12950;155;1;1.0;0.0
156;12954;156;1;1.0;0.0
157;12959;157;1;1.0;0.0
158;12963;158;3;4.0;1.4142135623730951
159;12975;159;1;1.0;1.0
160;12988;160;3;3.0;1.4142135623730951
161;12999;161;1;1.0;0.0
162;13006;162;1;1.0;0.0
163;13008;163;1;1.0;0.0
164;13010;164;1;1.0;0.0
165;13022;165;1;1.0;1.0
166;13027;166;1;1.0;1.0
167;13029;167;1;1.0;0.0
168;13033;168;1;1.0;0.0
169;13046;169;1;2.0;1.0
170;13069;170;1;1.0;1.0
171;13077;171;1;1.0;0.0
172;13079;172;1;1.0;1.0
173;13084;173;1;1.0;0.0
174;13086;174;1;1.0;0.0
175;13090;175;1;1.0;1.0
176;13101;176;1;1.0;0.0
177;13106;177;1;1.0;0.0
178;13112;178;1;1.0;0.0
179;13116;179;1;1.0;0.0
180;13121;180;1;1.0;0.0
181;13123;181;1;1.0;1.0
182;13126;182;1;1.0;0.0
183;13137;183;1;1.0;1.0
184;13142;184;1;1.0;1.0
185;13144;185;1;1.0;0.0
186;13146;186;1;1.0;0.0
187;13161;187;1;1.0;1.0
188;13167;188;1;1.0;0.0
189;13170;189;3;3.0;1.4142135623730951
190;13174;190;1;1.0;1.0
191;13178;191;1;1.0;0.0
192;13183;192;1;1.0;0.0
193;13187;193;1;1.0;0.0
194;13189;194;1;1.0;0.0
195;13206;195;1;1.0;1.0
196;13209;196;1;1.0;1.0
197;13214;197;1;1.0;1.0
198;13221;198;1;1.0;0.0
199;13233;199;5;5.0;3.1622776601683795
200;13240;200;4;4.0;1.4142135623730951
201;13245;201;2;2.0;1.4142135623730951
202;13248;202;1;1.0;1.0
203;13250;203;1;1.0;1.0
204;13253;204;1;1.0;1.0
205;13256;205;1;2.0;1.0
206;13260;206;1;1.0;0.0
207;13264;207;1;1.0;1.0
208;13270;208;1;1.0;0.0
209;13273;209;1;1.0;0.0
210;13280;210;1;1.0;0.0
211;13291;211;3;3.0;1.4142135623730951
212;13296;212;1;1.0;0.0
213;13304;213;2;3.0;1.4142135623730951
214;13311;214;1;1.0;0.0
215;13321;215;2;2.0;1.0
216;13324;216;2;2.0;1.0
217;13329;217;1;1.0;0.0
218;13331;218;1;1.0;0.0
219;13342;219;1;1.0;0.0
220;13346;220;1;1.0;1.0
221;13348;221;1;1.0;1.0
222;13350;222;3;3.0;1.4142135623730951
223;13354;223;1;1.0;0.0
224;13360;224;1;1.0;1.0
225;13370;225;1;1.0;0.0
226;13377;226;1;1.0;0.0
227;13380;227;1;1.0;1.0
228;13387;228;1;1.0;0.0
229;13390;229;1;1.0;0.0
230;13400;230;3;3.0;1.4142135623730951
231;13409;231;1;1.0;0.0
232;13425;232;1;1.0;0.0
233;13427;233;3;3.0;1.4142135623730951
234;13433;234;1;1.0;0.0
235;13444;235;1;1.0;0.0
236;13453;236;1;2.0;1.0
237;13455;237;1;1.0;0.0
238;13463;238;1;1.0;1.0
239;13467;239;1;1.0;0.0
240;13483;240;1;1.0;0.0
241;13492;241;1;1.0;1.0
242;13494;242;1;1.0;0.0
243;13497;243;2;2.0;1.0
244;13502;244;1;1.0;1.0
245;13509;245;1;1.0;1.0
246;13516;246;1;1.0;0.0
247;13524;247;1;1.0;0.0
248;13530;248;1;1.0;0.0
249;13539;249;1;1.0;0.0
250;13543;250;18;41.0;5.385164807134504
251;13565;251;1;1.0;0.0
252;13567;252;2;2.0;1.0
253;13570;253;1;1.0;1.0
254;13572;254;5;5.0;2.23606797749979
255;13584;255;1;1.0;0.0
256;13596;256;2;2.0;1.0
257;13602;257;1;1.0;0.0
258;13621;258;1;1.0;0.0
259;13633;259;3;4.0;1.4142135623730951
260;13637;260;1;1.0;0.0
261;13639;261;2;2.0;1.0
262;13644;262;1;1.0;0.0
263;13650;263;1;1.0;0.0
264;13652;264;1;1.0;0.0
265;13655;265;4;5.0;2.23606797749979
266;13661;266;1;1.0;0.0
267;13663;267;2;2.0;1.0
268;13672;268;1;2.0;1.0
269;13679;269;1;1.0;1.0
270;13684;270;1;1.0;0.0
271;13691;271;1;1.0;0.0
272;13694;272;1;1.0;0.0
273;13704;273;1;1.0;0.0
274;13721;274;3;3.0;1.4142135623730951
275;13726;275;2;2.0;1.0
276;13731;276;1;1.0;1.0
277;13739;277;1;1.0;0.0
278;13745;278;1;1.0;0.0
279;13747;279;4;5.0;2.23606797749979
280;13764;280;1;1.0;1.0
281;13770;281;1;1.0;0.0
282;13778;282;1;1.0;0.0
283;13780;283;1;1.0;0.0
284;13792;284;2;2.0;1.0
285;13795;285;1;1.0;0.0
286;13804;286;1;1.0;0.0
287;13813;287;1;2.0;1.0
288;13817;288;1;1.0;0.0
289;13820;289;2;3.0;1.4142135623730951
290;13827;290;1;1.0;0.0
291;13834;291;1;1.0;1.0
292;13836;292;1;1.0;1.0
293;13844;293;1;1.0;1.0
294;13853;294;1;1.0;0.0
295;13857;295;3;3.0;1.4142135623730951
296;13863;296;2;2.0;1.0
297;13871;297;1;1.0;0.0
298;13874;298;1;1.0;0.0
