;timestep;number;lifetime;total dissipation;spatial linear size
0;138048;0;1;1.0;0.0
1;138050;1;5;6.0;2.23606797749979
2;138057;2;13;21.0;5.0
3;138071;3;6;8.0;2.8284271247461903
4;138080;4;3;3.0;1.4142135623730951
5;138085;5;188;1680.0;38.600518131237564
6;138274;6;5;9.0;3.1622776601683795
7;138281;7;4;7.0;2.23606797749979
8;138287;8;12;17.0;4.47213595499958
9;138303;9;139;820.0;25.0
10;138446;10;1;1.0;0.0
11;138449;11;1;1.0;0.0
12;138451;12;381;6199.0;36.124783736376884
13;138833;13;50;204.0;28.284271247461902
14;138884;14;2;2.0;1.0
15;138889;15;5;7.0;2.8284271247461903
16;138895;16;54;164.0;15.811388300841896
17;138951;17;6;10.0;3.605551275463989
18;138959;18;10;26.0;3.605551275463989
19;138971;19;7;14.0;3.1622776601683795
20;138981;20;13;32.0;8.06225774829855
21;138997;21;87;1421.0;25.0
22;139085;22;4;10.0;2.23606797749979
23;139090;23;2;2.0;1.0
24;139094;24;13;33.0;8.602325267042627
25;139110;25;29;154.0;8.94427190999916
26;139145;26;182;1521.0;21.840329667841555
27;139329;27;6;7.0;2.8284271247461903
28;139336;28;1;1.0;0.0
29;139338;29;55;335.0;12.649110640673518
30;139395;30;3;4.0;2.0
31;139400;31;72;435.0;18.439088914585774
32;139473;32;22;64.0;9.433981132056603
33;139496;33;12;28.0;6.324555320336759
34;139509;34;24;107.0;9.055385138137417
35;139534;35;151;1476.0;30.0
36;139687;36;152;1076.0;25.238858928247925
37;139841;37;15;24.0;6.708203932499369
38;139857;38;137;998.0;33.24154027718932
39;139996;39;4;7.0;3.0
40;140001;40;65;210.0;16.401219466856727
41;140070;41;4;4.0;2.23606797749979
42;140075;42;4;9.0;3.0
43;140080;43;4;4.0;1.4142135623730951
44;140085;44;44;111.0;15.811388300841896
45;140132;45;2;2.0;1.0
46;140136;46;39;146.0;15.811388300841896
47;140176;47;34;130.0;8.54400374531753
48;140211;48;34;92.0;10.0
49;140246;49;37;222.0;18.027756377319946
50;140286;50;1;1.0;0.0
51;140288;51;8;10.0;4.47213595499958
52;140297;52;3;4.0;1.4142135623730951
53;140301;53;106;761.0;35.84689665786984
54;140415;54;41;162.0;11.40175425099138
55;140458;55;498;7464.0;39.96248240537617
56;140957;56;106;824.0;24.186773244895647
57;141064;57;3;6.0;2.0
58;141070;58;5;5.0;2.0
59;141076;59;1;1.0;0.0
60;141083;60;15;31.0;4.242640687119285
61;141099;61;28;87.0;12.165525060596439
62;141129;62;7;19.0;4.123105625617661
63;141137;63;41;239.0;11.180339887498949
64;141179;64;2;2.0;1.0
65;141182;65;1;1.0;0.0
66;141184;66;31;69.0;10.295630140987
67;141218;67;122;1295.0;30.083217912982647
68;141341;68;27;125.0;14.560219778561036
69;141369;69;130;974.0;39.698866482558415
70;141501;70;4;4.0;2.23606797749979
71;141507;71;3;3.0;2.0
72;141512;72;4;4.0;2.23606797749979
73;141519;73;8;18.0;4.123105625617661
74;141529;74;6;12.0;4.123105625617661
75;141536;75;1;1.0;0.0
76;141541;76;16;36.0;9.219544457292887
77;141559;77;1;1.0;0.0
78;141564;78;130;1627.0;32.01562118716424
79;141695;79;48;291.0;22.561028345356956
