;mean;time
0;0.0;0
1;0.000125;1
2;0.000125;2
3;0.000125;3
4;0.000125;4
5;0.000125;5
6;0.000125;6
7;0.000125;7
8;0.00025;8
9;0.00025;9
10;0.00025;10
11;0.00025;11
12;0.00025;12
13;0.000375;13
14;0.000375;14
15;0.000375;15
16;0.000375;16
17;0.000375;17
18;0.000375;18
19;0.000375;19
20;0.000375;20
21;0.000375;21
22;0.000375;22
23;0.000375;23
24;0.000375;24
25;0.000375;25
26;0.0005;26
27;0.0005;27
28;0.0005;28
29;0.0005;29
30;0.0005;30
31;0.0005;31
32;0.0005;32
33;0.0005;33
34;0.0005;34
35;0.0005;35
36;0.0005;36
37;0.0005;37
38;0.0005;38
39;0.0005;39
40;0.000625;40
41;0.000625;41
42;0.00075;42
43;0.000625;43
44;0.00075;44
45;0.00075;45
46;0.00075;46
47;0.00075;47
48;0.00075;48
49;0.00075;49
50;0.00075;50
51;0.00075;51
52;0.00075;52
53;0.00075;53
54;0.00075;54
55;0.00075;55
56;0.00075;56
57;0.00075;57
58;0.000875;58
59;0.000875;59
60;0.000875;60
61;0.001;61
62;0.001;62
63;0.001125;63
64;0.001125;64
65;0.001125;65
66;0.00125;66
67;0.00125;67
68;0.00125;68
69;0.00125;69
70;0.00125;70
71;0.00125;71
72;0.00125;72
73;0.00125;73
74;0.00125;74
75;0.00125;75
76;0.001375;76
77;0.001375;77
78;0.001375;78
79;0.001375;79
80;0.0015;80
81;0.0015;81
82;0.0015;82
83;0.0015;83
84;0.001625;84
85;0.00175;85
86;0.00175;86
87;0.00175;87
88;0.00175;88
89;0.00175;89
90;0.00175;90
91;0.001875;91
92;0.001875;92
93;0.001875;93
94;0.001875;94
95;0.002;95
96;0.00225;96
97;0.00225;97
98;0.00225;98
99;0.00225;99
100;0.00225;100
101;0.00225;101
102;0.00225;102
103;0.002375;103
104;0.00225;104
105;0.00225;105
106;0.00225;106
107;0.00225;107
108;0.002375;108
109;0.002375;109
110;0.0025;110
111;0.0025;111
112;0.0025;112
113;0.0025;113
114;0.002625;114
115;0.002625;115
116;0.00275;116
117;0.00275;117
118;0.00275;118
119;0.00275;119
120;0.00275;120
121;0.00275;121
122;0.00275;122
123;0.00275;123
124;0.00275;124
125;0.00275;125
126;0.00275;126
127;0.00275;127
128;0.00275;128
129;0.00275;129
130;0.00275;130
131;0.00275;131
132;0.002875;132
133;0.002875;133
134;0.002875;134
135;0.003;135
136;0.003;136
137;0.003;137
138;0.003;138
139;0.003;139
140;0.003;140
141;0.003;141
142;0.003;142
143;0.003;143
144;0.003;144
145;0.003;145
146;0.003;146
147;0.003;147
148;0.003;148
149;0.003;149
150;0.003;150
151;0.003125;151
152;0.003125;152
153;0.003125;153
154;0.003125;154
155;0.003125;155
156;0.00325;156
157;0.00325;157
158;0.00325;158
159;0.00325;159
160;0.00325;160
161;0.00325;161
162;0.00325;162
163;0.00325;163
164;0.00325;164
165;0.00325;165
166;0.00325;166
167;0.00325;167
168;0.00325;168
169;0.00325;169
170;0.003375;170
171;0.003375;171
172;0.003375;172
173;0.003375;173
174;0.0035;174
175;0.0035;175
176;0.0035;176
177;0.003625;177
178;0.003625;178
179;0.003625;179
180;0.003625;180
181;0.003625;181
182;0.003625;182
183;0.003625;183
184;0.003625;184
185;0.003625;185
186;0.003625;186
187;0.003625;187
188;0.003625;188
189;0.00375;189
190;0.00375;190
191;0.00375;191
192;0.00375;192
193;0.00375;193
194;0.00375;194
195;0.00375;195
196;0.00375;196
197;0.003875;197
198;0.003875;198
199;0.003875;199
200;0.003875;200
201;0.003875;201
202;0.003875;202
203;0.003875;203
204;0.003875;204
205;0.004;205
206;0.004;206
207;0.004;207
208;0.004;208
209;0.004;209
210;0.004125;210
211;0.004125;211
212;0.004125;212
213;0.004125;213
214;0.004125;214
215;0.004125;215
216;0.004125;216
217;0.004125;217
218;0.004125;218
219;0.004125;219
220;0.004125;220
221;0.004125;221
222;0.004125;222
223;0.00425;223
224;0.00425;224
225;0.00425;225
226;0.00425;226
227;0.004375;227
228;0.0045;228
229;0.0045;229
230;0.0045;230
231;0.0045;231
232;0.0045;232
233;0.0045;233
234;0.0045;234
235;0.0045;235
236;0.0045;236
237;0.0045;237
238;0.0045;238
239;0.0045;239
240;0.0045;240
241;0.0045;241
242;0.004625;242
243;0.004625;243
244;0.00475;244
245;0.00475;245
246;0.004875;246
247;0.004875;247
248;0.004875;248
249;0.004875;249
250;0.004875;250
251;0.004875;251
252;0.004875;252
253;0.004875;253
254;0.005;254
255;0.004875;255
256;0.004875;256
257;0.004875;257
258;0.004875;258
259;0.004875;259
260;0.005;260
261;0.005125;261
262;0.005125;262
263;0.005125;263
264;0.005125;264
265;0.005125;265
266;0.005375;266
267;0.005375;267
268;0.005375;268
269;0.005375;269
270;0.005375;270
271;0.005375;271
272;0.005375;272
273;0.005375;273
274;0.005375;274
275;0.005375;275
276;0.005375;276
277;0.005375;277
278;0.005375;278
279;0.005375;279
280;0.005375;280
281;0.005375;281
282;0.0055;282
283;0.005375;283
284;0.005375;284
285;0.005375;285
286;0.0055;286
287;0.0055;287
288;0.0055;288
289;0.0055;289
290;0.0055;290
291;0.0055;291
292;0.0055;292
293;0.0055;293
294;0.0055;294
295;0.0055;295
296;0.0055;296
297;0.005625;297
298;0.005625;298
299;0.00575;299
300;0.00575;300
301;0.00575;301
302;0.00575;302
303;0.005875;303
304;0.006;304
305;0.006;305
306;0.006;306
307;0.006;307
308;0.006125;308
309;0.006125;309
310;0.006125;310
311;0.006125;311
312;0.006125;312
313;0.006125;313
314;0.006375;314
315;0.0065;315
316;0.0065;316
317;0.0065;317
318;0.0065;318
319;0.0065;319
320;0.006625;320
321;0.006625;321
322;0.006625;322
323;0.006625;323
324;0.006625;324
325;0.006625;325
326;0.006625;326
327;0.006625;327
328;0.00675;328
329;0.00675;329
330;0.00675;330
331;0.006875;331
332;0.006875;332
333;0.007125;333
334;0.006875;334
