;timestep;number;lifetime;total dissipation;spatial linear size
0;10470;0;1;1.0;0.0
1;10475;1;1;1.0;0.0
2;10483;2;1;1.0;0.0
3;10491;3;1;1.0;0.0
4;10494;4;1;1.0;0.0
5;10513;5;1;1.0;0.0
6;10523;6;1;1.0;0.0
7;10550;7;1;1.0;0.0
8;10555;8;1;1.0;0.0
9;10560;9;2;2.0;1.0
10;10591;10;1;1.0;0.0
11;10603;11;1;1.0;0.0
12;10617;12;1;1.0;0.0
13;10625;13;1;1.0;0.0
14;10641;14;1;1.0;0.0
15;10643;15;1;1.0;0.0
16;10653;16;1;1.0;0.0
17;10655;17;2;2.0;1.0
18;10658;18;1;1.0;0.0
19;10679;19;1;1.0;0.0
20;10687;20;1;1.0;0.0
21;10700;21;1;1.0;0.0
22;10703;22;1;1.0;0.0
23;10759;23;1;1.0;0.0
24;10768;24;1;1.0;0.0
25;10783;25;1;1.0;0.0
26;10789;26;1;1.0;0.0
27;10791;27;1;1.0;0.0
28;10809;28;1;1.0;0.0
29;10814;29;1;1.0;0.0
30;10816;30;1;1.0;0.0
31;10822;31;2;2.0;1.0
32;10837;32;1;1.0;0.0
33;10861;33;1;1.0;0.0
34;10866;34;1;1.0;0.0
35;10872;35;1;1.0;0.0
36;10880;36;1;1.0;0.0
37;10901;37;1;1.0;0.0
38;10907;38;1;1.0;0.0
39;10921;39;1;1.0;0.0
40;10925;40;1;1.0;0.0
41;10949;41;1;1.0;0.0
42;10958;42;1;1.0;0.0
43;10966;43;1;1.0;0.0
44;10988;44;1;1.0;0.0
45;10995;45;1;1.0;0.0
46;11012;46;1;1.0;0.0
47;11025;47;1;1.0;0.0
48;11067;48;1;1.0;0.0
49;11074;49;1;1.0;0.0
50;11083;50;1;1.0;0.0
51;11092;51;2;2.0;1.0
52;11102;52;1;1.0;0.0
53;11126;53;1;1.0;0.0
54;11140;54;2;2.0;1.0
55;11149;55;1;1.0;0.0
56;11155;56;1;1.0;0.0
57;11157;57;1;1.0;0.0
58;11168;58;1;1.0;0.0
59;11203;59;1;1.0;0.0
60;11212;60;1;1.0;0.0
61;11221;61;1;1.0;0.0
62;11223;62;1;1.0;0.0
63;11255;63;2;2.0;1.0
64;11263;64;1;1.0;0.0
65;11295;65;1;1.0;0.0
66;11298;66;1;1.0;0.0
67;11303;67;1;1.0;0.0
68;11308;68;1;1.0;0.0
69;11310;69;1;1.0;0.0
70;11330;70;1;1.0;0.0
71;11332;71;2;2.0;1.0
72;11342;72;1;1.0;0.0
73;11362;73;1;1.0;0.0
74;11372;74;1;1.0;0.0
75;11376;75;1;1.0;0.0
76;11387;76;1;1.0;0.0
77;11399;77;1;1.0;0.0
78;11427;78;1;1.0;0.0
79;11432;79;1;1.0;0.0
80;11439;80;1;1.0;0.0
81;11443;81;1;1.0;0.0
82;11450;82;1;1.0;0.0
83;11466;83;1;1.0;0.0
84;11473;84;1;1.0;0.0
85;11482;85;1;1.0;0.0
86;11496;86;1;1.0;0.0
87;11546;87;1;1.0;0.0
88;11554;88;1;1.0;0.0
89;11574;89;1;1.0;0.0
90;11585;90;1;1.0;0.0
91;11594;91;1;1.0;0.0
92;11630;92;2;2.0;1.0
93;11633;93;1;1.0;0.0
94;11653;94;1;1.0;0.0
95;11658;95;1;1.0;0.0
96;11663;96;1;1.0;0.0
97;11670;97;1;1.0;0.0
98;11687;98;1;1.0;0.0
99;11693;99;2;2.0;1.0
100;11700;100;1;1.0;0.0
101;11710;101;1;1.0;0.0
102;11718;102;1;1.0;0.0
103;11729;103;1;1.0;0.0
104;11744;104;1;1.0;0.0
105;11754;105;1;1.0;0.0
106;11756;106;1;1.0;0.0
107;11758;107;1;1.0;0.0
108;11766;108;2;2.0;1.0
109;11775;109;1;1.0;0.0
110;11780;110;2;2.0;1.0
111;11785;111;1;1.0;0.0
112;11807;112;1;1.0;0.0
113;11821;113;1;1.0;0.0
114;11840;114;1;1.0;0.0
115;11855;115;2;2.0;1.0
116;11869;116;1;1.0;0.0
117;11887;117;1;1.0;0.0
118;11903;118;1;1.0;0.0
119;11908;119;1;1.0;0.0
120;11968;120;1;1.0;0.0
121;11975;121;1;1.0;0.0
122;11982;122;1;1.0;0.0
123;11984;123;1;1.0;0.0
124;11989;124;2;2.0;1.0
125;11995;125;1;1.0;0.0
126;12024;126;1;1.0;0.0
127;12027;127;1;1.0;0.0
128;12087;128;1;1.0;0.0
129;12098;129;1;1.0;0.0
130;12101;130;1;1.0;0.0
131;12116;131;1;1.0;0.0
132;12120;132;1;1.0;0.0
133;12125;133;1;1.0;0.0
134;12139;134;2;2.0;1.0
135;12143;135;1;1.0;0.0
136;12159;136;1;1.0;0.0
137;12175;137;1;1.0;0.0
138;12182;138;1;1.0;0.0
139;12191;139;1;1.0;0.0
140;12197;140;1;1.0;0.0
141;12226;141;1;1.0;0.0
142;12250;142;1;1.0;0.0
143;12255;143;1;1.0;0.0
144;12258;144;1;1.0;0.0
145;12262;145;2;2.0;1.0
146;12267;146;1;1.0;0.0
147;12286;147;2;2.0;1.0
148;12293;148;1;1.0;0.0
149;12296;149;2;2.0;1.0
150;12304;150;1;1.0;0.0
151;12309;151;1;1.0;0.0
152;12316;152;1;1.0;0.0
153;12335;153;1;1.0;0.0
154;12359;154;1;1.0;0.0
155;12366;155;1;1.0;0.0
156;12372;156;2;2.0;1.0
157;12376;157;1;1.0;0.0
158;12388;158;2;2.0;1.0
159;12401;159;1;1.0;0.0
160;12438;160;1;1.0;0.0
161;12443;161;1;1.0;0.0
162;12449;162;2;2.0;1.0
163;12454;163;1;1.0;0.0
164;12459;164;1;1.0;0.0
165;12463;165;1;1.0;0.0
166;12468;166;1;1.0;0.0
167;12502;167;1;1.0;0.0
168;12506;168;1;1.0;0.0
169;12508;169;1;1.0;0.0
170;12523;170;1;1.0;0.0
171;12556;171;1;1.0;0.0
172;12568;172;2;2.0;1.0
173;12588;173;1;1.0;0.0
174;12592;174;1;1.0;0.0
175;12612;175;1;1.0;0.0
176;12615;176;1;1.0;0.0
177;12618;177;1;1.0;0.0
178;12625;178;1;1.0;0.0
179;12642;179;1;1.0;0.0
180;12644;180;2;2.0;1.0
181;12649;181;1;1.0;0.0
182;12671;182;1;1.0;0.0
183;12673;183;1;1.0;0.0
184;12675;184;1;1.0;0.0
185;12680;185;1;1.0;0.0
186;12690;186;1;1.0;0.0
187;12699;187;1;1.0;0.0
188;12702;188;2;2.0;1.0
189;12706;189;1;1.0;0.0
190;12709;190;1;1.0;0.0
191;12720;191;1;1.0;0.0
192;12728;192;2;2.0;1.0
193;12737;193;2;2.0;1.0
194;12741;194;1;1.0;0.0
195;12754;195;1;1.0;0.0
196;12762;196;1;1.0;0.0
197;12775;197;1;1.0;0.0
198;12783;198;1;1.0;0.0
199;12785;199;1;1.0;0.0
200;12791;200;1;1.0;0.0
201;12798;201;1;1.0;0.0
202;12813;202;1;1.0;0.0
203;12840;203;1;1.0;0.0
204;12844;204;1;1.0;0.0
205;12847;205;2;2.0;1.0
206;12862;206;1;1.0;0.0
207;12877;207;1;1.0;0.0
208;12887;208;1;1.0;0.0
209;12891;209;1;1.0;0.0
210;12908;210;1;1.0;0.0
211;12913;211;1;1.0;0.0
212;12928;212;2;3.0;1.0
213;12940;213;1;1.0;0.0
214;12951;214;1;1.0;0.0
215;12957;215;2;2.0;1.0
216;12966;216;1;1.0;0.0
217;12975;217;2;2.0;1.0
218;12978;218;1;1.0;0.0
219;12981;219;1;1.0;0.0
220;12987;220;1;1.0;0.0
221;12993;221;1;1.0;0.0
222;13011;222;1;1.0;0.0
223;13019;223;1;1.0;0.0
224;13032;224;1;1.0;0.0
225;13047;225;2;2.0;1.0
226;13070;226;1;1.0;0.0
227;13078;227;2;2.0;1.0
228;13089;228;1;1.0;0.0
229;13100;229;1;1.0;0.0
230;13107;230;2;2.0;1.0
231;13125;231;2;2.0;1.0
232;13140;232;1;1.0;0.0
233;13158;233;1;1.0;0.0
234;13166;234;2;2.0;1.0
235;13196;235;1;1.0;0.0
236;13203;236;1;1.0;0.0
237;13215;237;1;1.0;0.0
238;13217;238;2;2.0;1.0
239;13229;239;1;1.0;0.0
240;13234;240;1;1.0;0.0
241;13237;241;1;1.0;0.0
242;13271;242;1;1.0;0.0
243;13275;243;1;1.0;0.0
244;13284;244;1;1.0;0.0
245;13319;245;1;1.0;0.0
246;13337;246;1;1.0;0.0
247;13339;247;2;2.0;1.0
248;13363;248;1;1.0;0.0
249;13365;249;1;1.0;0.0
250;13368;250;1;1.0;0.0
251;13371;251;1;1.0;0.0
252;13375;252;2;2.0;1.0
253;13381;253;1;1.0;0.0
254;13388;254;1;1.0;0.0
255;13392;255;1;1.0;0.0
256;13405;256;1;1.0;0.0
257;13410;257;1;1.0;0.0
258;13430;258;1;1.0;0.0
259;13468;259;2;2.0;1.0
260;13474;260;1;1.0;0.0
261;13518;261;1;1.0;0.0
262;13521;262;1;1.0;0.0
263;13523;263;1;1.0;0.0
264;13525;264;1;1.0;0.0
265;13548;265;1;1.0;0.0
266;13557;266;1;1.0;0.0
267;13583;267;1;1.0;0.0
268;13590;268;1;1.0;0.0
269;13595;269;1;1.0;0.0
270;13606;270;2;2.0;1.0
271;13619;271;1;1.0;0.0
272;13630;272;1;1.0;0.0
273;13640;273;1;1.0;0.0
274;13650;274;1;1.0;0.0
275;13658;275;1;1.0;0.0
276;13674;276;3;3.0;1.4142135623730951
277;13694;277;1;1.0;0.0
278;13706;278;1;1.0;0.0
279;13710;279;1;1.0;0.0
280;13716;280;2;2.0;1.0
281;13725;281;1;1.0;0.0
282;13729;282;1;1.0;0.0
283;13732;283;1;1.0;0.0
