;timestep;number;lifetime;total dissipation;spatial linear size
0;10107;0;1;1.0;0.0
1;10109;1;1;1.0;0.0
2;10111;2;14;39.0;6.708203932499369
3;10130;3;87;270.0;25.079872407968907
4;10219;4;1;1.0;0.0
5;10223;5;37;100.0;13.341664064126334
6;10261;6;2;3.0;1.0
7;10264;7;4;6.0;2.23606797749979
8;10271;8;6;11.0;3.605551275463989
9;10279;9;1;1.0;0.0
10;10282;10;42;152.0;16.15549442140351
11;10325;11;6;8.0;4.123105625617661
12;10332;12;3;6.0;2.0
13;10341;13;6;10.0;3.605551275463989
14;10351;14;14;42.0;5.385164807134504
15;10371;15;11;33.0;7.211102550927978
16;10384;16;9;24.0;5.0990195135927845
17;10394;17;1;1.0;0.0
18;10399;18;123;835.0;31.622776601683793
19;10523;19;14;26.0;7.810249675906654
20;10539;20;18;96.0;8.94427190999916
21;10558;21;11;44.0;6.082762530298219
22;10571;22;14;38.0;7.615773105863909
23;10587;23;81;504.0;18.867962264113206
24;10672;24;4;5.0;3.0
25;10679;25;5;6.0;3.1622776601683795
26;10687;26;60;336.0;17.0
27;10749;27;56;295.0;19.924858845171276
28;10806;28;6;8.0;3.0
29;10820;29;4;8.0;2.0
30;10827;30;107;641.0;34.828149534535996
31;10935;31;40;263.0;16.15549442140351
32;10978;32;7;9.0;2.23606797749979
33;10989;33;53;178.0;20.518284528683193
34;11045;34;3;3.0;2.0
35;11051;35;24;67.0;13.152946437965905
36;11077;36;6;10.0;3.1622776601683795
37;11089;37;13;24.0;7.0710678118654755
38;11104;38;83;430.0;28.0178514522438
39;11188;39;1;1.0;0.0
40;11192;40;4;7.0;2.23606797749979
41;11197;41;50;239.0;15.524174696260024
42;11250;42;20;43.0;7.211102550927978
43;11271;43;2;2.0;1.0
44;11274;44;26;90.0;12.083045973594572
45;11301;45;90;636.0;26.92582403567252
46;11395;46;13;31.0;5.830951894845301
47;11414;47;7;15.0;4.242640687119285
48;11422;48;47;174.0;14.866068747318506
49;11474;49;17;38.0;7.615773105863909
50;11492;50;1;1.0;0.0
51;11494;51;30;62.0;10.295630140987
52;11525;52;5;10.0;2.8284271247461903
53;11532;53;37;147.0;12.041594578792296
54;11571;54;42;179.0;12.806248474865697
55;11614;55;9;23.0;4.47213595499958
56;11625;56;84;400.0;21.93171219946131
57;11710;57;2;4.0;1.0
58;11718;58;65;405.0;19.79898987322333
59;11784;59;8;13.0;3.1622776601683795
60;11795;60;117;1139.0;35.4682957019364
61;11914;61;32;75.0;8.54400374531753
62;11948;62;1;1.0;0.0
63;11950;63;9;21.0;6.0
64;11960;64;14;44.0;7.280109889280518
65;11976;65;4;5.0;1.4142135623730951
66;11981;66;13;27.0;5.830951894845301
