;timestep;number;lifetime;total dissipation;spatial linear size
0;360005;0;16;48.0;6.244997998398398
1;360025;1;1;1.0;0.0
2;360027;2;2;2.0;1.0
3;360033;3;2;2.0;1.0
4;360046;4;1;1.0;0.0
5;360048;5;4;6.0;2.23606797749979
6;360054;6;3;3.0;2.0
7;360080;7;2;3.0;1.0
8;360112;8;4;7.0;3.0
9;360117;9;30;100.0;11.532562594670797
10;360171;10;2;2.0;1.0
11;360178;11;3;4.0;1.4142135623730951
12;360186;12;5;7.0;3.1622776601683795
13;360195;13;1;1.0;0.0
14;360202;14;14;31.0;4.242640687119285
15;360217;15;16;95.0;5.477225575051661
16;360251;16;2;2.0;1.0
17;360257;17;2;2.0;1.0
18;360266;18;2;2.0;1.0
19;360273;19;1;1.0;0.0
20;360291;20;1;1.0;0.0
21;360293;21;2;2.0;1.0
22;360326;22;8;16.0;2.0
23;360335;23;2;2.0;1.0
24;360344;24;1;1.0;0.0
25;360349;25;1;1.0;0.0
26;360354;26;1;1.0;0.0
27;360392;27;2;2.0;1.0
28;360395;28;1;1.0;0.0
29;360400;29;35;245.0;6.082762530298219
30;360447;30;101;2283.0;13.416407864998739
31;360551;31;5;6.0;2.23606797749979
32;360570;32;3;3.0;1.4142135623730951
33;360578;33;1;1.0;0.0
34;360586;34;13;71.0;5.0990195135927845
35;360601;35;30;210.0;7.937253933193772
36;360639;36;1;1.0;0.0
37;360644;37;1;1.0;0.0
38;360654;38;3;3.0;1.4142135623730951
39;360665;39;1;1.0;0.0
40;360667;40;3;3.0;1.4142135623730951
41;360686;41;1;1.0;0.0
42;360688;42;74;489.0;11.40175425099138
43;360767;43;14;40.0;5.0990195135927845
44;360807;44;1;1.0;0.0
45;360812;45;3;3.0;2.0
46;360834;46;21;166.0;5.744562646538029
47;360861;47;5;10.0;2.449489742783178
48;360884;48;1;1.0;0.0
49;360890;49;11;12.0;3.872983346207417
50;360914;50;12;22.0;4.123105625617661
51;360943;51;3;4.0;2.0
52;360968;52;3;3.0;1.4142135623730951
53;360979;53;2;2.0;1.0
54;360985;54;1;1.0;0.0
55;360987;55;1;1.0;0.0
56;360996;56;2;2.0;1.0
57;361008;57;17;67.0;6.324555320336759
58;361034;58;5;9.0;3.1622776601683795
59;361057;59;1;1.0;0.0
60;361080;60;22;82.0;5.477225575051661
61;361105;61;2;2.0;1.0
62;361111;62;3;5.0;1.4142135623730951
63;361119;63;1;1.0;0.0
64;361125;64;2;2.0;1.0
65;361136;65;1;1.0;0.0
66;361150;66;5;5.0;2.449489742783178
67;361165;67;5;5.0;2.449489742783178
68;361175;68;63;380.0;10.198039027185569
69;361243;69;1;1.0;0.0
70;361249;70;3;4.0;2.0
71;361258;71;2;2.0;1.0
72;361271;72;38;278.0;8.602325267042627
73;361330;73;20;55.0;4.795831523312719
74;361364;74;3;3.0;1.4142135623730951
75;361370;75;5;8.0;2.8284271247461903
76;361394;76;26;88.0;8.306623862918075
77;361434;77;2;3.0;1.0
78;361439;78;6;13.0;3.3166247903554
