;timestep;number;lifetime;total dissipation;spatial linear size
0;500002;0;1;1.0;0.0
1;500005;1;1;1.0;0.0
2;500011;2;2;2.0;1.4142135623730951
3;500021;3;2;2.0;2.0
4;500029;4;1;1.0;1.0
5;500036;5;1;1.0;0.0
6;500041;6;1;1.0;0.0
7;500044;7;1;2.0;1.0
8;500047;8;1;1.0;0.0
9;500056;9;1;1.0;0.0
10;500061;10;1;1.0;0.0
11;500066;11;1;1.0;1.0
12;500071;12;1;1.0;0.0
13;500075;13;1;1.0;0.0
14;500086;14;1;1.0;0.0
15;500098;15;1;1.0;1.0
16;500104;16;1;1.0;1.0
17;500119;17;2;3.0;1.0
18;500126;18;1;1.0;1.0
19;500131;19;1;1.0;1.0
20;500140;20;1;1.0;0.0
21;500148;21;1;1.0;0.0
22;500156;22;1;1.0;1.0
23;500169;23;1;2.0;1.0
24;500172;24;1;1.0;1.0
25;500174;25;1;1.0;1.0
26;500176;26;1;1.0;0.0
27;500181;27;1;1.0;1.0
28;500183;28;1;1.0;1.0
29;500189;29;2;2.0;2.0
30;500194;30;1;1.0;1.0
31;500198;31;1;2.0;1.0
32;500202;32;1;1.0;1.0
33;500211;33;1;1.0;0.0
34;500215;34;1;1.0;0.0
35;500219;35;1;1.0;0.0
36;500234;36;1;1.0;0.0
37;500240;37;2;2.0;1.0
38;500247;38;1;1.0;1.0
39;500251;39;1;1.0;1.0
40;500258;40;1;1.0;1.0
41;500266;41;1;1.0;0.0
42;500271;42;1;1.0;0.0
43;500274;43;1;1.0;0.0
44;500278;44;1;1.0;0.0
45;500283;45;1;1.0;1.0
46;500289;46;1;1.0;0.0
47;500294;47;1;1.0;0.0
48;500301;48;1;1.0;0.0
49;500308;49;1;1.0;1.0
50;500310;50;1;1.0;0.0
51;500315;51;1;1.0;0.0
52;500326;52;1;1.0;1.0
53;500333;53;1;1.0;1.0
54;500336;54;1;1.0;1.0
55;500342;55;1;1.0;1.0
56;500345;56;1;1.0;0.0
57;500347;57;1;1.0;0.0
58;500356;58;1;1.0;0.0
59;500358;59;2;4.0;1.0
60;500369;60;1;1.0;0.0
61;500371;61;1;1.0;0.0
62;500373;62;1;2.0;1.0
63;500376;63;1;1.0;1.0
64;500378;64;2;2.0;1.0
65;500385;65;1;1.0;0.0
66;500387;66;1;1.0;0.0
67;500395;67;2;2.0;1.4142135623730951
68;500415;68;1;1.0;1.0
69;500422;69;1;1.0;1.0
70;500447;70;1;1.0;1.0
71;500449;71;1;1.0;0.0
72;500452;72;1;1.0;1.0
73;500458;73;1;1.0;1.0
74;500467;74;1;1.0;0.0
75;500469;75;1;2.0;1.0
76;500472;76;1;1.0;1.0
77;500482;77;1;1.0;1.0
78;500488;78;1;1.0;0.0
79;500501;79;1;2.0;1.0
80;500508;80;1;1.0;1.0
81;500511;81;1;1.0;0.0
82;500513;82;1;1.0;0.0
83;500518;83;1;1.0;1.0
84;500524;84;1;1.0;0.0
85;500528;85;1;1.0;0.0
86;500535;86;1;1.0;0.0
87;500544;87;1;1.0;0.0
88;500554;88;1;1.0;1.0
89;500557;89;1;1.0;1.0
90;500574;90;1;2.0;1.0
91;500577;91;1;1.0;0.0
92;500581;92;1;1.0;0.0
93;500587;93;1;1.0;1.0
94;500590;94;1;1.0;0.0
95;500597;95;1;1.0;1.0
96;500604;96;1;1.0;0.0
97;500614;97;1;1.0;0.0
98;500619;98;1;1.0;1.0
99;500625;99;1;1.0;0.0
100;500634;100;1;1.0;0.0
101;500646;101;1;1.0;0.0
102;500650;102;1;1.0;0.0
103;500652;103;1;1.0;0.0
104;500656;104;1;1.0;0.0
105;500668;105;1;1.0;1.0
106;500671;106;1;1.0;0.0
107;500673;107;1;1.0;0.0
108;500677;108;1;2.0;1.0
109;500681;109;1;1.0;0.0
110;500683;110;1;1.0;1.0
111;500689;111;1;1.0;0.0
112;500694;112;1;1.0;1.0
113;500700;113;1;1.0;1.0
114;500706;114;2;2.0;1.0
115;500718;115;2;3.0;1.4142135623730951
116;500730;116;1;1.0;0.0
117;500732;117;1;1.0;0.0
118;500744;118;2;2.0;1.0
119;500749;119;2;2.0;1.4142135623730951
120;500761;120;1;1.0;1.0
121;500763;121;1;1.0;0.0
122;500767;122;2;2.0;1.0
123;500775;123;1;2.0;1.0
124;500777;124;1;1.0;0.0
125;500780;125;1;1.0;0.0
126;500791;126;1;1.0;1.0
127;500796;127;1;1.0;0.0
128;500801;128;1;1.0;0.0
129;500803;129;1;1.0;0.0
130;500806;130;1;1.0;1.0
131;500813;131;1;2.0;1.0
132;500819;132;1;1.0;0.0
133;500821;133;1;2.0;1.0
134;500824;134;1;1.0;0.0
135;500827;135;2;2.0;2.0
136;500832;136;1;1.0;0.0
137;500837;137;1;1.0;0.0
138;500842;138;1;1.0;0.0
139;500849;139;1;1.0;0.0
140;500857;140;1;1.0;0.0
141;500863;141;1;1.0;1.0
142;500865;142;1;1.0;0.0
143;500876;143;1;1.0;0.0
144;500887;144;1;1.0;0.0
145;500891;145;1;1.0;0.0
146;500893;146;1;1.0;0.0
147;500900;147;1;1.0;0.0
148;500909;148;1;1.0;0.0
149;500914;149;1;1.0;0.0
150;500916;150;1;1.0;1.0
151;500931;151;1;1.0;0.0
152;500934;152;1;1.0;0.0
153;500938;153;1;1.0;0.0
154;500946;154;1;2.0;1.0
155;500957;155;1;1.0;1.0
156;500962;156;1;1.0;0.0
157;500964;157;1;1.0;1.0
158;500966;158;1;1.0;1.0
159;500968;159;1;2.0;1.0
160;500971;160;2;2.0;1.0
161;500975;161;1;1.0;1.0
162;500979;162;1;1.0;0.0
163;500986;163;1;1.0;0.0
164;500990;164;1;1.0;1.0
165;500997;165;1;1.0;0.0
166;501001;166;2;2.0;1.4142135623730951
167;501010;167;1;1.0;1.0
