;timestep;number;lifetime;total dissipation;spatial linear size
0;500002;0;3;3.0;2.0
1;500006;1;8;10.0;4.123105625617661
2;500015;2;10;12.0;3.605551275463989
3;500026;3;7;14.0;4.242640687119285
4;500034;4;2;2.0;1.0
5;500038;5;1;1.0;0.0
6;500040;6;2;2.0;1.0
7;500043;7;1;1.0;0.0
8;500045;8;1;1.0;0.0
9;500047;9;1;1.0;0.0
10;500049;10;3;3.0;1.4142135623730951
11;500053;11;1;1.0;0.0
12;500057;12;1;1.0;0.0
13;500059;13;1;1.0;0.0
14;500061;14;28;152.0;11.180339887498949
15;500090;15;1;1.0;0.0
16;500094;16;16;36.0;8.06225774829855
17;500112;17;1;1.0;0.0
18;500121;18;30;100.0;19.6468827043885
19;500154;19;8;17.0;5.0
20;500165;20;1;1.0;0.0
21;500167;21;2;2.0;1.0
22;500170;22;1;1.0;0.0
23;500172;23;4;4.0;2.23606797749979
24;500177;24;4;6.0;2.23606797749979
25;500183;25;8;13.0;5.0
26;500192;26;1;1.0;0.0
27;500196;27;6;6.0;2.23606797749979
28;500203;28;40;112.0;12.165525060596439
29;500245;29;2;2.0;1.0
30;500248;30;1;1.0;0.0
31;500250;31;2;2.0;1.0
32;500253;32;1;1.0;0.0
33;500255;33;1;1.0;0.0
34;500257;34;1;1.0;0.0
35;500260;35;6;10.0;3.1622776601683795
36;500267;36;2;2.0;1.0
37;500270;37;1;1.0;0.0
38;500272;38;2;2.0;1.0
39;500275;39;34;108.0;10.770329614269007
40;500310;40;1;1.0;0.0
41;500312;41;1;1.0;0.0
42;500314;42;1;1.0;0.0
43;500316;43;11;16.0;8.246211251235321
44;500330;44;2;2.0;1.0
45;500333;45;6;11.0;3.605551275463989
46;500342;46;3;3.0;2.0
47;500346;47;5;6.0;4.0
48;500353;48;22;62.0;8.54400374531753
49;500380;49;1;1.0;0.0
50;500382;50;8;14.0;5.0990195135927845
51;500391;51;5;5.0;2.0
52;500398;52;10;14.0;7.0
53;500409;53;2;2.0;1.0
54;500415;54;4;4.0;2.23606797749979
55;500420;55;30;61.0;7.280109889280518
56;500453;56;31;77.0;15.556349186104045
57;500485;57;7;9.0;3.1622776601683795
58;500493;58;1;1.0;0.0
59;500495;59;1;1.0;0.0
60;500497;60;6;11.0;2.8284271247461903
61;500506;61;26;123.0;12.041594578792296
62;500536;62;5;7.0;2.23606797749979
63;500542;63;10;22.0;6.708203932499369
64;500553;64;1;1.0;0.0
65;500555;65;1;1.0;0.0
66;500558;66;1;1.0;0.0
67;500560;67;1;1.0;0.0
68;500562;68;89;491.0;24.839484696748443
69;500652;69;16;48.0;9.433981132056603
70;500671;70;1;1.0;0.0
71;500673;71;11;24.0;7.211102550927978
72;500686;72;1;1.0;0.0
73;500688;73;4;5.0;2.23606797749979
74;500694;74;2;2.0;1.0
75;500697;75;4;5.0;1.4142135623730951
76;500702;76;2;2.0;1.0
77;500705;77;2;2.0;1.0
78;500708;78;28;93.0;9.486832980505138
79;500737;79;28;78.0;12.041594578792296
80;500767;80;11;12.0;3.1622776601683795
81;500779;81;1;1.0;0.0
82;500781;82;1;1.0;0.0
83;500783;83;3;4.0;1.4142135623730951
84;500787;84;44;170.0;17.0
85;500833;85;21;54.0;8.48528137423857
86;500856;86;2;2.0;1.0
87;500860;87;42;217.0;16.64331697709324
88;500903;88;6;10.0;3.1622776601683795
89;500913;89;2;2.0;1.0
90;500916;90;1;1.0;0.0
91;500918;91;20;51.0;7.615773105863909
92;500939;92;1;1.0;0.0
93;500941;93;28;198.0;15.524174696260024
94;500970;94;1;1.0;0.0
95;500972;95;24;64.0;11.661903789690601
96;500997;96;1;1.0;0.0
97;500999;97;128;420.0;17.4928556845359
98;501130;98;2;2.0;1.0
99;501136;99;22;73.0;12.041594578792296
100;501159;100;3;4.0;2.0
101;501163;101;12;22.0;5.830951894845301
102;501176;102;4;4.0;3.0
103;501182;103;2;2.0;1.0
104;501187;104;2;2.0;1.0
105;501190;105;2;2.0;1.0
106;501193;106;4;6.0;2.0
107;501198;107;1;1.0;0.0
108;501200;108;2;2.0;1.0
109;501204;109;38;94.0;10.198039027185569
110;501245;110;1;1.0;0.0
111;501247;111;1;1.0;0.0
112;501249;112;1;1.0;0.0
113;501251;113;1;1.0;0.0
114;501253;114;1;1.0;0.0
115;501256;115;10;12.0;2.23606797749979
116;501267;116;7;14.0;4.242640687119285
117;501275;117;1;1.0;0.0
118;501278;118;1;1.0;0.0
119;501280;119;2;2.0;1.0
120;501283;120;1;1.0;0.0
121;501285;121;2;2.0;1.0
122;501288;122;4;4.0;2.23606797749979
123;501293;123;1;1.0;0.0
124;501296;124;2;2.0;1.0
125;501299;125;17;52.0;9.219544457292887
126;501317;126;1;1.0;0.0
127;501321;127;2;2.0;1.0
128;501327;128;1;1.0;0.0
129;501329;129;1;1.0;0.0
130;501331;130;1;1.0;0.0
131;501335;131;1;1.0;0.0
132;501338;132;1;1.0;0.0
133;501340;133;12;29.0;5.0990195135927845
134;501353;134;1;1.0;0.0
135;501356;135;1;1.0;0.0
136;501358;136;1;1.0;0.0
137;501360;137;2;2.0;1.0
138;501363;138;1;1.0;0.0
139;501367;139;3;3.0;2.0
140;501373;140;3;3.0;2.0
141;501381;141;4;4.0;2.23606797749979
142;501386;142;22;94.0;9.219544457292887
143;501409;143;4;6.0;2.23606797749979
144;501415;144;3;3.0;2.0
145;501419;145;1;1.0;0.0
146;501422;146;30;79.0;15.620499351813308
147;501453;147;40;133.0;13.601470508735444
148;501494;148;1;1.0;0.0
149;501498;149;14;25.0;8.06225774829855
150;501513;150;11;20.0;6.082762530298219
151;501525;151;2;2.0;1.0
152;501528;152;3;3.0;1.4142135623730951
153;501535;153;13;39.0;6.708203932499369
154;501549;154;1;1.0;0.0
155;501551;155;1;1.0;0.0
156;501553;156;20;30.0;7.0710678118654755
157;501574;157;3;3.0;2.0
158;501578;158;1;1.0;0.0
159;501580;159;1;1.0;0.0
160;501583;160;4;4.0;2.23606797749979
161;501590;161;9;14.0;3.605551275463989
162;501601;162;2;2.0;1.0
163;501604;163;9;13.0;6.324555320336759
164;501615;164;8;13.0;3.0
165;501624;165;6;9.0;3.1622776601683795
166;501633;166;37;240.0;14.212670403551895
167;501672;167;19;71.0;7.615773105863909
168;501693;168;3;4.0;2.0
169;501697;169;1;1.0;0.0
170;501699;170;5;6.0;2.23606797749979
171;501706;171;5;8.0;2.23606797749979
172;501714;172;1;1.0;0.0
173;501718;173;4;5.0;2.23606797749979
174;501723;174;3;5.0;2.0
175;501727;175;2;2.0;1.0
176;501730;176;1;1.0;0.0
177;501732;177;3;3.0;2.0
178;501736;178;5;5.0;2.0
179;501744;179;1;1.0;0.0
180;501746;180;1;1.0;0.0
181;501748;181;4;4.0;2.23606797749979
182;501753;182;2;2.0;1.0
183;501758;183;12;59.0;5.0990195135927845
184;501771;184;36;133.0;10.0
185;501808;185;2;2.0;1.0
186;501811;186;10;14.0;7.0710678118654755
187;501822;187;1;1.0;0.0
188;501829;188;1;1.0;0.0
189;501831;189;2;3.0;1.0
190;501834;190;4;5.0;2.23606797749979
191;501840;191;1;1.0;0.0
192;501845;192;2;2.0;1.0
193;501849;193;1;1.0;0.0
194;501851;194;1;1.0;0.0
195;501854;195;1;1.0;0.0
196;501856;196;9;13.0;3.605551275463989
197;501866;197;1;1.0;0.0
198;501868;198;1;1.0;1.0
199;501870;199;1;1.0;0.0
200;501872;200;1;1.0;0.0
201;501875;201;1;2.0;1.0
202;501877;202;1;1.0;0.0
203;501879;203;22;95.0;10.0
204;501902;204;1;1.0;0.0
205;501905;205;21;68.0;10.295630140987
206;501930;206;3;3.0;1.4142135623730951
207;501936;207;1;1.0;0.0
208;501938;208;6;10.0;3.605551275463989
209;501945;209;1;1.0;1.0
210;501947;210;1;1.0;0.0
211;501949;211;1;1.0;0.0
212;501951;212;1;1.0;0.0
213;501954;213;1;1.0;0.0
214;501956;214;2;2.0;1.0
215;501959;215;41;117.0;15.556349186104045
216;502002;216;1;1.0;0.0
217;502005;217;11;18.0;3.1622776601683795
218;502017;218;1;1.0;0.0
219;502019;219;26;48.0;10.816653826391969
220;502047;220;39;69.0;14.317821063276353
221;502087;221;11;26.0;7.211102550927978
222;502100;222;2;2.0;1.0
223;502103;223;1;1.0;0.0
224;502105;224;3;4.0;2.0
225;502109;225;2;2.0;1.0
226;502112;226;2;2.0;1.0
227;502116;227;21;51.0;6.708203932499369
228;502138;228;2;2.0;1.0
229;502141;229;1;1.0;0.0
230;502145;230;5;6.0;2.23606797749979
231;502152;231;1;1.0;0.0
232;502154;232;3;3.0;1.4142135623730951
233;502158;233;2;2.0;1.0
234;502161;234;1;1.0;0.0
235;502163;235;2;2.0;1.0
236;502167;236;5;9.0;3.1622776601683795
237;502173;237;10;23.0;5.0990195135927845
238;502187;238;1;1.0;0.0
239;502190;239;1;1.0;0.0
240;502192;240;4;7.0;2.23606797749979
241;502200;241;3;3.0;2.0
242;502204;242;1;1.0;0.0
243;502207;243;1;1.0;0.0
244;502209;244;3;3.0;2.0
245;502213;245;8;18.0;4.123105625617661
246;502222;246;1;1.0;0.0
247;502225;247;1;1.0;0.0
248;502227;248;2;2.0;1.0
249;502230;249;1;1.0;0.0
250;502233;250;1;1.0;0.0
251;502235;251;2;2.0;1.0
252;502238;252;1;1.0;0.0
253;502242;253;30;81.0;8.48528137423857
254;502273;254;11;21.0;5.0990195135927845
255;502285;255;1;1.0;0.0
256;502287;256;1;1.0;0.0
257;502290;257;19;72.0;11.704699910719626
258;502310;258;3;4.0;1.4142135623730951
259;502315;259;4;4.0;2.23606797749979
