;timestep;number;lifetime;total dissipation;spatial linear size
0;10002;0;12;17.0;5.830951894845301
1;10017;1;1;1.0;0.0
2;10020;2;1;1.0;0.0
3;10022;3;25;138.0;10.63014581273465
4;10050;4;1;1.0;0.0
5;10054;5;2;2.0;1.0
6;10057;6;9;12.0;5.0990195135927845
7;10067;7;1;1.0;0.0
8;10069;8;60;325.0;16.1245154965971
9;10130;9;2;2.0;1.0
10;10133;10;2;2.0;1.0
11;10140;11;2;2.0;1.0
12;10148;12;3;6.0;2.0
13;10157;13;136;945.0;26.92582403567252
14;10294;14;10;19.0;5.0
15;10309;15;73;378.0;19.1049731745428
16;10383;16;2;2.0;1.0
17;10388;17;56;288.0;28.284271247461902
18;10445;18;70;327.0;20.12461179749811
19;10519;19;8;12.0;5.0
20;10529;20;2;2.0;1.0
21;10532;21;8;14.0;5.0
22;10541;22;18;34.0;4.47213595499958
23;10560;23;4;4.0;1.4142135623730951
24;10569;24;2;3.0;1.0
25;10574;25;4;4.0;1.4142135623730951
26;10588;26;1;1.0;0.0
27;10590;27;94;652.0;20.808652046684813
28;10685;28;7;15.0;2.8284271247461903
29;10698;29;12;24.0;5.830951894845301
30;10712;30;34;155.0;15.811388300841896
31;10747;31;11;19.0;4.47213595499958
32;10759;32;29;88.0;15.033296378372908
33;10792;33;25;53.0;8.602325267042627
34;10818;34;6;14.0;4.123105625617661
35;10825;35;1;1.0;0.0
36;10830;36;94;351.0;40.718546143004666
37;10926;37;1;1.0;0.0
38;10931;38;5;6.0;2.23606797749979
39;10937;39;1;1.0;0.0
40;10940;40;11;14.0;5.830951894845301
41;10952;41;9;31.0;5.830951894845301
42;10963;42;124;1058.0;32.01562118716424
43;11088;43;1;1.0;0.0
44;11090;44;19;82.0;9.433981132056603
45;11110;45;35;112.0;8.602325267042627
46;11146;46;14;45.0;7.280109889280518
47;11163;47;1;1.0;0.0
48;11169;48;54;286.0;22.20360331117452
49;11224;49;5;5.0;2.23606797749979
50;11230;50;1;1.0;0.0
51;11232;51;9;30.0;4.47213595499958
52;11242;52;40;115.0;12.649110640673518
53;11283;53;2;2.0;1.0
54;11286;54;1;1.0;0.0
55;11288;55;75;1094.0;17.46424919657298
56;11375;56;22;75.0;11.661903789690601
57;11399;57;24;106.0;11.045361017187261
58;11425;58;10;31.0;7.0710678118654755
