;timestep;number;lifetime;total dissipation;spatial linear size
0;15114;0;136;1256.0;30.479501308256342
1;15251;1;58;322.0;28.653097563788805
2;15312;2;146;1890.0;36.05551275463989
3;15461;3;167;1069.0;30.083217912982647
4;15630;4;3;3.0;1.4142135623730951
5;15636;5;2;2.0;1.0
6;15643;6;192;1568.0;38.41874542459709
7;15836;7;3;3.0;1.4142135623730951
8;15841;8;3;3.0;1.4142135623730951
9;15848;9;2;2.0;1.0
10;15854;10;34;194.0;14.212670403551895
11;15893;11;144;1094.0;26.570660511172846
12;16040;12;239;3411.0;33.83784863137726
13;16281;13;38;105.0;11.313708498984761
14;16322;14;4;6.0;2.23606797749979
15;16328;15;54;538.0;31.32091952673165
16;16383;16;3;7.0;2.0
17;16387;17;181;2322.0;37.0
18;16570;18;11;16.0;5.385164807134504
19;16584;19;20;36.0;9.219544457292887
20;16605;20;25;84.0;10.816653826391969
21;16632;21;9;17.0;3.605551275463989
22;16642;22;3;3.0;1.4142135623730951
23;16646;23;5;12.0;2.23606797749979
24;16652;24;1;1.0;0.0
25;16654;25;3;4.0;2.0
26;16663;26;7;7.0;3.1622776601683795
27;16671;27;10;22.0;5.0
28;16682;28;24;80.0;11.045361017187261
29;16708;29;124;1890.0;31.11269837220809
30;16833;30;1;1.0;0.0
31;16837;31;54;193.0;22.135943621178654
32;16892;32;14;68.0;7.615773105863909
33;16908;33;29;145.0;13.038404810405298
34;16940;34;8;16.0;3.1622776601683795
35;16949;35;1;1.0;0.0
36;16951;36;1;1.0;0.0
37;16953;37;116;1125.0;29.832867780352597
38;17070;38;6;15.0;3.1622776601683795
39;17077;39;22;61.0;11.40175425099138
40;17100;40;3;3.0;1.4142135623730951
41;17106;41;12;19.0;7.280109889280518
42;17119;42;59;190.0;11.40175425099138
43;17179;43;13;31.0;5.0990195135927845
44;17195;44;22;91.0;8.602325267042627
45;17218;45;97;607.0;37.64306044943742
46;17316;46;5;5.0;2.23606797749979
47;17322;47;66;737.0;22.47220505424423
48;17390;48;4;4.0;1.4142135623730951
49;17395;49;25;71.0;10.770329614269007
50;17421;50;11;28.0;6.082762530298219
51;17434;51;4;6.0;1.4142135623730951
52;17440;52;2;2.0;1.0
53;17447;53;13;19.0;7.211102550927978
54;17461;54;7;7.0;3.605551275463989
55;17471;55;98;780.0;40.311288741492746
56;17570;56;9;19.0;3.1622776601683795
57;17580;57;90;983.0;37.589892258425
58;17672;58;84;483.0;30.886890422961002
59;17758;59;93;358.0;39.21734310225516
60;17853;60;220;2270.0;29.068883707497267
61;18075;61;5;10.0;2.23606797749979
62;18081;62;37;113.0;11.40175425099138
63;18120;63;11;22.0;7.0710678118654755
64;18134;64;7;8.0;3.0
65;18143;65;3;3.0;2.0
66;18151;66;2;2.0;1.0
67;18155;67;216;2250.0;32.526911934581186
68;18372;68;41;196.0;14.212670403551895
69;18414;69;29;68.0;8.94427190999916
70;18444;70;46;176.0;14.212670403551895
71;18497;71;17;29.0;4.47213595499958
72;18516;72;1;1.0;0.0
73;18518;73;18;46.0;9.219544457292887
74;18539;74;2;2.0;1.0
75;18542;75;55;261.0;19.1049731745428
76;18600;76;10;28.0;4.47213595499958
77;18611;77;245;2629.0;33.421549934136806
78;18857;78;1;1.0;0.0
79;18859;79;1;1.0;0.0
80;18863;80;5;13.0;2.8284271247461903
81;18871;81;10;25.0;5.0990195135927845
82;18882;82;85;630.0;29.832867780352597
83;18971;83;105;809.0;34.713109915419565
84;19077;84;2;3.0;1.0
85;19081;85;97;705.0;32.55764119219941
86;19179;86;2;3.0;1.0
87;19182;87;120;2125.0;40.24922359499622
88;19303;88;69;415.0;24.698178070456937
89;19373;89;9;21.0;5.0
90;19388;90;109;1233.0;35.38361202590826
91;19498;91;76;281.0;17.4928556845359
92;19577;92;21;97.0;10.0
93;19599;93;139;1152.0;30.23243291566195
94;19739;94;6;6.0;2.23606797749979
95;19746;95;14;33.0;8.06225774829855
96;19762;96;11;18.0;3.605551275463989
97;19776;97;428;7706.0;50.93132631298737
98;20205;98;2;2.0;1.0
99;20208;99;15;38.0;5.656854249492381
100;20227;100;1;1.0;0.0
101;20230;101;18;30.0;6.708203932499369
102;20250;102;36;145.0;12.041594578792296
103;20287;103;270;5428.0;33.28663395418648
104;20560;104;180;1616.0;34.9857113690718
105;20742;105;1;1.0;0.0
106;20747;106;1;1.0;0.0
107;20749;107;15;27.0;7.0710678118654755
108;20765;108;11;15.0;6.324555320336759
109;20778;109;3;6.0;2.0
110;20782;110;125;1423.0;25.80697580112788
111;20909;111;27;145.0;12.083045973594572
112;20937;112;96;517.0;31.622776601683793
113;21034;113;56;182.0;16.1245154965971
114;21092;114;6;7.0;3.1622776601683795
115;21099;115;33;151.0;19.235384061671343
116;21133;116;30;55.0;8.06225774829855
117;21164;117;12;32.0;6.4031242374328485
118;21178;118;3;6.0;2.0
119;21183;119;37;210.0;13.152946437965905
120;21221;120;6;14.0;3.1622776601683795
121;21228;121;4;8.0;2.23606797749979
122;21233;122;115;1080.0;37.589892258425
123;21350;123;1;1.0;0.0
124;21353;124;21;59.0;12.206555615733702
125;21375;125;6;11.0;4.123105625617661
126;21382;126;9;10.0;3.605551275463989
127;21392;127;1;1.0;0.0
128;21395;128;107;631.0;27.586228448267445
129;21505;129;98;503.0;29.614185789921695
130;21604;130;118;1030.0;31.622776601683793
131;21725;131;131;688.0;47.50789408087881
132;21859;132;16;49.0;9.055385138137417
133;21879;133;1;1.0;0.0
134;21884;134;1;1.0;0.0
135;21889;135;95;402.0;20.518284528683193
136;21987;136;1;1.0;0.0
137;21989;137;2;2.0;1.0
138;21993;138;20;40.0;8.54400374531753
139;22019;139;169;898.0;22.47220505424423
140;22190;140;104;678.0;31.064449134018133
141;22297;141;28;89.0;7.615773105863909
142;22326;142;1;1.0;0.0
143;22330;143;123;555.0;43.93176527297759
144;22456;144;20;52.0;11.180339887498949
145;22482;145;4;9.0;2.23606797749979
146;22489;146;2;2.0;1.0
147;22493;147;16;39.0;6.708203932499369
148;22512;148;210;2404.0;37.73592452822641
149;22724;149;344;4991.0;38.62641583165593
150;23072;150;9;29.0;5.385164807134504
151;23087;151;2;2.0;1.0
152;23091;152;10;22.0;4.47213595499958
153;23103;153;2;2.0;1.0
154;23110;154;7;19.0;4.123105625617661
155;23118;155;11;20.0;6.324555320336759
156;23130;156;1;1.0;0.0
157;23139;157;240;4010.0;39.05124837953327
158;23380;158;67;490.0;27.586228448267445
159;23449;159;14;32.0;5.385164807134504
160;23464;160;59;160.0;26.419689627245813
161;23524;161;92;579.0;27.65863337187866
162;23617;162;111;628.0;35.805027579936315
163;23730;163;9;14.0;6.324555320336759
164;23740;164;9;10.0;2.8284271247461903
165;23750;165;7;12.0;5.0990195135927845
166;23760;166;1;1.0;0.0
167;23766;167;146;2052.0;22.20360331117452
168;23913;168;36;162.0;12.165525060596439
169;23950;169;19;93.0;6.4031242374328485
170;23970;170;2;2.0;1.0
171;23973;171;62;330.0;22.20360331117452
172;24036;172;6;10.0;2.23606797749979
173;24043;173;6;6.0;2.23606797749979
174;24050;174;126;581.0;29.832867780352597
175;24177;175;273;3231.0;31.953090617340916
176;24454;176;3;3.0;1.4142135623730951
177;24460;177;4;6.0;2.23606797749979
178;24467;178;3;3.0;1.4142135623730951
179;24471;179;33;224.0;19.849433241279208
180;24505;180;13;28.0;6.082762530298219
181;24519;181;11;33.0;8.246211251235321
182;24531;182;45;148.0;19.1049731745428
183;24577;183;53;273.0;18.384776310850235
184;24632;184;1;1.0;0.0
185;24637;185;19;29.0;7.0710678118654755
186;24658;186;16;22.0;5.385164807134504
187;24676;187;198;1534.0;26.076809620810597
188;24876;188;43;140.0;9.0
189;24921;189;13;21.0;8.94427190999916
190;24935;190;37;245.0;17.69180601295413
191;24973;191;25;93.0;8.06225774829855
192;24999;192;50;221.0;13.892443989449804
193;25051;193;275;3984.0;28.319604517012593
194;25329;194;3;5.0;2.0
195;25335;195;5;7.0;2.23606797749979
196;25343;196;6;12.0;4.123105625617661
197;25352;197;1;1.0;0.0
198;25357;198;3;4.0;1.4142135623730951
199;25362;199;3;4.0;2.0
200;25370;200;6;15.0;2.23606797749979
201;25379;201;66;273.0;24.041630560342615
202;25448;202;3;3.0;2.0
203;25452;203;6;7.0;2.23606797749979
204;25459;204;4;7.0;2.23606797749979
205;25466;205;28;103.0;13.92838827718412
206;25497;206;17;64.0;10.816653826391969
207;25516;207;26;118.0;12.0
208;25543;208;25;52.0;7.211102550927978
209;25569;209;3;4.0;1.4142135623730951
210;25574;210;121;1150.0;41.72529209005013
211;25698;211;129;1711.0;24.20743687382041
212;25828;212;18;40.0;7.810249675906654
213;25848;213;6;10.0;2.8284271247461903
214;25855;214;10;22.0;5.0
215;25868;215;1;1.0;0.0
216;25872;216;204;2051.0;47.4236228055175
217;26077;217;23;175.0;10.44030650891055
218;26102;218;28;188.0;11.40175425099138
219;26131;219;1;1.0;0.0
220;26136;220;2;2.0;1.0
221;26140;221;267;7296.0;35.38361202590826
222;26411;222;17;61.0;9.219544457292887
223;26429;223;71;361.0;22.20360331117452
224;26501;224;1;1.0;0.0
225;26503;225;1;1.0;0.0
226;26505;226;3;4.0;1.4142135623730951
227;26509;227;46;342.0;12.529964086141668
228;26556;228;78;310.0;24.08318915758459
229;26635;229;142;1266.0;48.08326112068523
230;26779;230;18;43.0;9.848857801796104
231;26798;231;1;1.0;0.0
232;26801;232;94;547.0;22.80350850198276
233;26899;233;4;5.0;2.23606797749979
234;26906;234;84;331.0;25.612496949731394
235;26994;235;114;466.0;37.64306044943742
