;timestep;number;lifetime;total dissipation;spatial linear size
0;50032;0;6;16.0;3.1622776601683795
1;50039;1;4;14.0;2.23606797749979
2;50046;2;31;136.0;16.1245154965971
3;50079;3;72;391.0;26.076809620810597
4;50153;4;55;554.0;21.400934559032695
5;50210;5;2;2.0;1.0
6;50217;6;8;13.0;4.123105625617661
7;50229;7;43;221.0;15.231546211727817
8;50273;8;193;1297.0;30.23243291566195
9;50470;9;52;334.0;17.204650534085253
10;50526;10;1;1.0;0.0
11;50530;11;7;18.0;4.242640687119285
12;50538;12;7;17.0;4.242640687119285
13;50548;13;33;165.0;11.661903789690601
14;50582;14;7;10.0;3.605551275463989
15;50592;15;2;2.0;1.0
16;50597;16;21;83.0;9.219544457292887
17;50620;17;1;1.0;0.0
18;50622;18;9;31.0;4.123105625617661
19;50632;19;5;9.0;2.23606797749979
20;50638;20;6;8.0;3.605551275463989
21;50645;21;2;2.0;1.0
22;50648;22;31;103.0;7.0710678118654755
23;50682;23;16;50.0;10.198039027185569
24;50702;24;1;1.0;0.0
25;50704;25;72;434.0;26.0
26;50777;26;2;2.0;1.0
27;50780;27;2;3.0;1.0
28;50786;28;1;1.0;0.0
29;50789;29;6;8.0;3.605551275463989
30;50796;30;3;5.0;1.4142135623730951
31;50800;31;25;123.0;12.041594578792296
32;50826;32;1;1.0;0.0
33;50828;33;1;1.0;0.0
34;50832;34;11;30.0;7.211102550927978
35;50846;35;8;19.0;5.0
36;50860;36;14;27.0;7.211102550927978
37;50879;37;16;28.0;8.54400374531753
38;50899;38;37;132.0;18.24828759089466
39;50938;39;17;48.0;8.94427190999916
40;50959;40;35;136.0;15.652475842498529
41;50999;41;19;42.0;8.602325267042627
42;51020;42;4;4.0;2.23606797749979
43;51026;43;7;21.0;3.1622776601683795
44;51034;44;28;92.0;12.206555615733702
45;51067;45;10;21.0;3.605551275463989
46;51078;46;99;512.0;26.832815729997478
47;51178;47;5;6.0;2.23606797749979
48;51184;48;39;260.0;13.45362404707371
49;51227;49;1;1.0;0.0
50;51230;50;41;276.0;17.46424919657298
51;51273;51;15;65.0;5.0
52;51290;52;1;1.0;0.0
53;51295;53;1;1.0;0.0
54;51298;54;52;198.0;24.698178070456937
55;51351;55;1;1.0;0.0
56;51353;56;5;6.0;2.8284271247461903
57;51362;57;1;1.0;0.0
58;51364;58;1;1.0;0.0
59;51367;59;2;2.0;1.0
60;51372;60;90;612.0;32.2490309931942
61;51465;61;34;182.0;13.416407864998739
62;51501;62;12;36.0;4.123105625617661
63;51517;63;26;59.0;13.0
64;51544;64;7;14.0;3.1622776601683795
65;51552;65;65;377.0;28.160255680657446
66;51618;66;7;18.0;4.47213595499958
67;51626;67;9;26.0;3.605551275463989
68;51637;68;2;2.0;1.0
69;51642;69;15;31.0;7.615773105863909
70;51661;70;3;3.0;1.4142135623730951
71;51666;71;43;366.0;13.92838827718412
72;51710;72;16;73.0;6.4031242374328485
73;51727;73;2;3.0;1.0
74;51732;74;1;1.0;0.0
75;51736;75;25;64.0;11.40175425099138
76;51762;76;1;1.0;0.0
77;51765;77;122;974.0;23.323807579381203
78;51890;78;17;56.0;8.54400374531753
79;51909;79;2;2.0;1.0
80;51913;80;6;15.0;3.605551275463989
81;51920;81;46;271.0;12.083045973594572
82;51967;82;4;5.0;3.0
83;51972;83;1;1.0;0.0
84;51978;84;14;38.0;9.848857801796104
85;51993;85;1;1.0;0.0
86;51995;86;8;13.0;3.605551275463989
87;52005;87;132;1360.0;31.575306807693888
88;52139;88;31;100.0;10.295630140987
89;52174;89;33;243.0;16.0312195418814
90;52211;90;15;31.0;5.385164807134504
91;52228;91;26;73.0;7.211102550927978
92;52259;92;5;8.0;2.23606797749979
93;52267;93;3;4.0;1.4142135623730951
94;52271;94;50;212.0;16.1245154965971
95;52322;95;1;1.0;0.0
96;52327;96;7;9.0;2.23606797749979
97;52336;97;67;378.0;27.202941017470888
98;52404;98;52;286.0;13.601470508735444
99;52457;99;2;2.0;1.0
100;52460;100;1;1.0;0.0
101;52463;101;103;1275.0;25.632011235952593
102;52567;102;6;11.0;3.605551275463989
103;52576;103;13;37.0;5.385164807134504
104;52595;104;19;50.0;7.615773105863909
105;52616;105;1;1.0;0.0
106;52618;106;3;3.0;1.4142135623730951
107;52624;107;5;11.0;3.1622776601683795
108;52637;108;1;1.0;0.0
109;52645;109;1;1.0;0.0
110;52647;110;64;354.0;28.844410203711913
111;52712;111;6;14.0;2.23606797749979
112;52719;112;3;7.0;2.0
113;52724;113;31;99.0;14.317821063276353
114;52757;114;49;122.0;11.180339887498949
115;52807;115;106;433.0;19.4164878389476
116;52915;116;1;1.0;0.0
117;52917;117;5;6.0;2.8284271247461903
118;52924;118;2;2.0;1.0
119;52927;119;28;69.0;13.038404810405298
120;52956;120;15;62.0;6.4031242374328485
121;52974;121;60;512.0;17.46424919657298
122;53036;122;80;334.0;22.02271554554524
123;53122;123;10;15.0;5.385164807134504
