;timestep;number;lifetime;total dissipation;spatial linear size
0;500006;0;1;1.0;0.0
1;500008;1;1;1.0;0.0
2;500020;2;1;1.0;0.0
3;500029;3;1;1.0;0.0
4;500031;4;1;1.0;0.0
5;500034;5;1;2.0;1.0
6;500043;6;1;1.0;0.0
7;500051;7;1;1.0;1.0
8;500057;8;1;1.0;1.0
9;500059;9;1;1.0;0.0
10;500067;10;1;1.0;1.0
11;500083;11;1;1.0;0.0
12;500089;12;1;1.0;1.0
13;500105;13;1;2.0;1.0
14;500119;14;1;1.0;0.0
15;500122;15;1;1.0;0.0
16;500127;16;1;1.0;0.0
17;500129;17;1;1.0;1.0
18;500132;18;1;1.0;1.0
19;500135;19;1;1.0;1.0
20;500146;20;1;1.0;1.0
21;500148;21;1;1.0;0.0
22;500152;22;1;1.0;0.0
23;500162;23;1;1.0;0.0
24;500164;24;1;1.0;0.0
25;500173;25;1;1.0;0.0
26;500183;26;1;2.0;1.0
27;500187;27;1;1.0;0.0
28;500194;28;1;1.0;1.0
29;500196;29;1;1.0;1.0
30;500198;30;1;1.0;0.0
31;500214;31;1;1.0;0.0
32;500218;32;2;3.0;1.4142135623730951
33;500222;33;1;1.0;0.0
34;500224;34;1;1.0;0.0
35;500232;35;1;1.0;0.0
36;500241;36;1;1.0;0.0
37;500243;37;1;1.0;0.0
38;500255;38;1;1.0;0.0
39;500257;39;1;1.0;0.0
40;500259;40;1;1.0;0.0
41;500264;41;1;1.0;1.0
42;500271;42;2;3.0;2.0
43;500275;43;1;1.0;0.0
44;500295;44;1;2.0;1.0
45;500301;45;1;1.0;1.0
46;500328;46;2;2.0;2.0
47;500336;47;1;2.0;1.0
48;500338;48;1;1.0;0.0
49;500346;49;1;1.0;1.0
50;500353;50;1;1.0;0.0
51;500361;51;1;1.0;0.0
52;500370;52;1;1.0;1.0
53;500375;53;1;2.0;1.0
54;500377;54;1;1.0;1.0
55;500385;55;1;1.0;0.0
56;500403;56;1;1.0;0.0
57;500407;57;1;1.0;0.0
58;500411;58;1;1.0;1.0
59;500413;59;1;1.0;1.0
60;500415;60;2;2.0;1.4142135623730951
61;500432;61;1;1.0;0.0
62;500436;62;1;1.0;1.0
63;500448;63;1;1.0;1.0
64;500453;64;1;1.0;0.0
65;500458;65;1;1.0;0.0
66;500468;66;2;3.0;1.0
67;500471;67;1;1.0;0.0
68;500475;68;2;2.0;1.4142135623730951
69;500479;69;1;2.0;1.0
70;500487;70;1;1.0;0.0
71;500493;71;1;1.0;0.0
72;500504;72;1;1.0;0.0
73;500506;73;1;1.0;1.0
74;500509;74;1;2.0;1.0
75;500515;75;1;1.0;0.0
76;500517;76;1;1.0;0.0
77;500526;77;2;3.0;1.4142135623730951
78;500532;78;1;1.0;1.0
79;500534;79;1;1.0;0.0
80;500538;80;1;1.0;0.0
81;500555;81;1;1.0;1.0
82;500564;82;1;1.0;1.0
83;500569;83;1;1.0;1.0
84;500575;84;1;1.0;1.0
85;500579;85;1;1.0;0.0
86;500583;86;1;1.0;1.0
87;500587;87;1;1.0;1.0
88;500589;88;1;1.0;1.0
89;500595;89;1;1.0;0.0
90;500603;90;1;1.0;0.0
91;500614;91;1;1.0;1.0
92;500641;92;1;1.0;0.0
93;500646;93;1;1.0;0.0
94;500664;94;1;1.0;0.0
95;500668;95;1;1.0;0.0
96;500676;96;1;1.0;0.0
97;500683;97;1;1.0;1.0
98;500690;98;1;1.0;0.0
99;500694;99;1;1.0;1.0
100;500698;100;1;1.0;0.0
101;500702;101;1;1.0;0.0
102;500705;102;1;1.0;1.0
103;500721;103;1;1.0;0.0
104;500728;104;1;1.0;0.0
105;500730;105;2;2.0;1.0
106;500737;106;1;1.0;1.0
107;500743;107;1;1.0;0.0
108;500746;108;1;2.0;1.0
109;500752;109;1;1.0;1.0
110;500773;110;1;1.0;0.0
111;500779;111;1;2.0;1.0
112;500781;112;1;1.0;0.0
113;500799;113;1;1.0;0.0
114;500802;114;1;1.0;1.0
115;500815;115;1;2.0;1.0
116;500822;116;1;1.0;0.0
117;500825;117;1;1.0;0.0
118;500839;118;1;1.0;0.0
119;500852;119;1;1.0;0.0
120;500855;120;1;1.0;0.0
121;500857;121;1;1.0;0.0
122;500859;122;1;1.0;0.0
123;500862;123;1;1.0;1.0
124;500869;124;1;1.0;1.0
125;500875;125;1;1.0;1.0
126;500880;126;1;1.0;0.0
127;500890;127;2;3.0;1.0
128;500893;128;1;1.0;0.0
129;500898;129;1;1.0;1.0
130;500901;130;1;1.0;0.0
131;500908;131;1;1.0;0.0
132;500914;132;1;1.0;0.0
133;500919;133;1;2.0;1.0
134;500927;134;1;2.0;1.0
135;500932;135;1;1.0;1.0
136;500937;136;2;2.0;1.0
137;500940;137;1;2.0;1.0
138;500942;138;1;2.0;1.0
139;500947;139;1;1.0;1.0
140;500955;140;1;1.0;1.0
141;500968;141;1;1.0;1.0
142;500975;142;1;1.0;0.0
143;500979;143;1;1.0;0.0
144;500987;144;2;2.0;1.4142135623730951
145;500997;145;1;2.0;1.0
146;501005;146;1;1.0;0.0
147;501008;147;1;1.0;0.0
148;501031;148;1;1.0;0.0
149;501037;149;2;2.0;2.0
150;501047;150;1;1.0;0.0
151;501050;151;1;1.0;0.0
152;501055;152;1;1.0;0.0
153;501060;153;1;1.0;0.0
154;501073;154;1;1.0;1.0
155;501078;155;1;1.0;0.0
156;501092;156;1;1.0;1.0
157;501098;157;1;1.0;0.0
158;501104;158;1;2.0;1.0
159;501114;159;2;2.0;1.4142135623730951
160;501122;160;1;1.0;0.0
161;501124;161;1;1.0;0.0
162;501159;162;1;1.0;1.0
163;501170;163;1;1.0;1.0
164;501181;164;1;1.0;0.0
165;501192;165;1;1.0;1.0
166;501194;166;2;2.0;2.0
167;501201;167;1;1.0;0.0
168;501204;168;1;1.0;0.0
169;501207;169;1;1.0;0.0
170;501213;170;1;1.0;1.0
171;501219;171;1;1.0;0.0
172;501240;172;1;1.0;1.0
173;501248;173;1;1.0;1.0
174;501254;174;1;1.0;0.0
175;501275;175;1;1.0;0.0
176;501281;176;1;1.0;1.0
177;501307;177;1;1.0;1.0
178;501318;178;1;1.0;0.0
179;501324;179;1;1.0;0.0
180;501328;180;1;1.0;0.0
181;501332;181;1;2.0;1.0
182;501341;182;1;1.0;1.0
183;501346;183;1;1.0;1.0
184;501353;184;1;1.0;0.0
185;501357;185;1;1.0;1.0
186;501366;186;1;2.0;1.0
187;501369;187;1;1.0;0.0
188;501373;188;2;2.0;1.4142135623730951
189;501377;189;1;1.0;1.0
190;501392;190;2;2.0;1.0
191;501398;191;1;1.0;0.0
192;501409;192;1;1.0;0.0
193;501412;193;1;1.0;1.0
194;501422;194;1;1.0;0.0
195;501430;195;1;1.0;0.0
196;501435;196;1;1.0;1.0
197;501454;197;1;1.0;1.0
198;501462;198;1;2.0;1.0
199;501468;199;1;1.0;0.0
200;501473;200;1;1.0;0.0
201;501484;201;1;1.0;1.0
202;501487;202;1;1.0;1.0
203;501506;203;1;1.0;1.0
204;501510;204;1;1.0;0.0
205;501523;205;1;1.0;1.0
206;501550;206;1;1.0;0.0
207;501555;207;1;1.0;1.0
208;501557;208;1;1.0;0.0
209;501562;209;1;1.0;0.0
210;501576;210;1;1.0;0.0
211;501579;211;1;1.0;1.0
212;501583;212;1;1.0;1.0
213;501591;213;1;1.0;1.0
214;501593;214;1;1.0;0.0
215;501602;215;1;1.0;0.0
216;501611;216;1;1.0;0.0
217;501613;217;1;1.0;0.0
218;501619;218;1;1.0;1.0
219;501623;219;1;2.0;1.0
220;501625;220;1;1.0;0.0
221;501632;221;2;2.0;1.0
222;501636;222;1;1.0;0.0
223;501639;223;1;1.0;0.0
224;501645;224;1;1.0;0.0
225;501648;225;1;1.0;0.0
226;501655;226;1;1.0;1.0
227;501668;227;1;1.0;0.0
228;501683;228;2;2.0;1.0
229;501689;229;1;1.0;1.0
230;501692;230;1;1.0;1.0
231;501696;231;1;1.0;1.0
232;501706;232;1;1.0;1.0
233;501709;233;1;1.0;0.0
234;501711;234;1;1.0;0.0
235;501714;235;1;1.0;0.0
236;501721;236;1;1.0;0.0
237;501725;237;1;1.0;0.0
238;501730;238;1;1.0;0.0
239;501736;239;1;1.0;0.0
240;501745;240;1;1.0;0.0
241;501747;241;1;1.0;1.0
242;501758;242;1;1.0;0.0
243;501760;243;1;1.0;0.0
244;501762;244;2;2.0;1.4142135623730951
245;501780;245;1;1.0;0.0
246;501786;246;1;1.0;0.0
247;501804;247;1;1.0;0.0
248;501810;248;1;1.0;1.0
249;501816;249;1;1.0;0.0
250;501819;250;1;1.0;1.0
251;501821;251;1;1.0;0.0
252;501823;252;2;4.0;1.4142135623730951
253;501828;253;2;2.0;1.0
254;501836;254;1;1.0;1.0
255;501841;255;1;1.0;0.0
256;501844;256;1;1.0;0.0
257;501850;257;1;1.0;0.0
258;501853;258;1;1.0;0.0
259;501855;259;1;1.0;0.0
260;501869;260;1;1.0;0.0
261;501879;261;1;1.0;0.0
262;501891;262;1;1.0;1.0
263;501902;263;1;1.0;0.0
264;501916;264;1;1.0;0.0
265;501919;265;1;1.0;0.0
266;501931;266;1;2.0;1.0
267;501934;267;1;1.0;0.0
268;501956;268;1;1.0;0.0
269;501961;269;1;1.0;1.0
270;501965;270;1;1.0;0.0
271;501969;271;1;1.0;0.0
272;501976;272;1;1.0;1.0
273;501983;273;1;1.0;0.0
274;501997;274;1;1.0;0.0
275;501999;275;1;1.0;0.0
276;502004;276;1;1.0;0.0
277;502007;277;1;1.0;1.0
278;502015;278;1;1.0;0.0
279;502018;279;1;1.0;1.0
280;502020;280;1;1.0;1.0
281;502023;281;1;2.0;1.0
282;502026;282;1;2.0;1.0
283;502028;283;2;2.0;1.0
284;502041;284;1;1.0;0.0
285;502046;285;1;1.0;0.0
286;502050;286;2;2.0;1.4142135623730951
287;502059;287;1;2.0;1.0
288;502074;288;1;1.0;1.0
289;502081;289;1;1.0;1.0
290;502088;290;1;1.0;1.0
291;502093;291;1;1.0;1.0
292;502098;292;1;1.0;0.0
293;502103;293;1;1.0;1.0
294;502108;294;1;1.0;0.0
295;502111;295;1;1.0;0.0
296;502114;296;2;2.0;1.4142135623730951
297;502120;297;1;1.0;0.0
298;502124;298;1;1.0;0.0
299;502143;299;1;1.0;0.0
300;502146;300;1;1.0;1.0
301;502148;301;1;1.0;0.0
302;502153;302;1;1.0;0.0
303;502162;303;1;1.0;1.0
304;502165;304;1;2.0;1.0
305;502167;305;1;1.0;0.0
306;502172;306;1;1.0;0.0
307;502187;307;1;1.0;1.0
308;502189;308;1;1.0;0.0
309;502191;309;1;1.0;1.0
310;502202;310;1;1.0;0.0
311;502205;311;1;2.0;1.0
312;502208;312;1;1.0;0.0
313;502211;313;1;2.0;1.0
314;502213;314;1;1.0;0.0
315;502222;315;1;1.0;0.0
316;502225;316;1;1.0;1.0
317;502229;317;1;1.0;0.0
318;502240;318;1;1.0;0.0
319;502243;319;1;1.0;0.0
320;502245;320;1;1.0;0.0
321;502250;321;1;1.0;0.0
322;502268;322;1;1.0;0.0
323;502274;323;1;2.0;1.0
324;502279;324;1;1.0;1.0
325;502282;325;1;1.0;0.0
326;502292;326;1;1.0;0.0
327;502295;327;1;1.0;0.0
328;502297;328;1;1.0;0.0
329;502299;329;1;1.0;0.0
330;502316;330;1;1.0;0.0
331;502321;331;2;2.0;1.0
332;502326;332;1;2.0;1.0
333;502330;333;1;1.0;1.0
334;502345;334;1;1.0;1.0
335;502347;335;1;1.0;0.0
336;502350;336;1;1.0;1.0
337;502353;337;1;1.0;1.0
338;502361;338;1;1.0;0.0
339;502367;339;1;1.0;0.0
340;502369;340;1;1.0;0.0
341;502371;341;1;1.0;0.0
342;502378;342;1;1.0;0.0
343;502388;343;2;3.0;1.0
344;502393;344;1;1.0;0.0
345;502399;345;1;2.0;1.0
346;502414;346;1;1.0;0.0
347;502416;347;1;1.0;0.0
348;502423;348;1;1.0;1.0
349;502428;349;1;1.0;1.0
350;502434;350;2;3.0;1.0
351;502437;351;1;1.0;1.0
352;502445;352;1;1.0;0.0
353;502447;353;1;1.0;1.0
354;502450;354;1;1.0;1.0
