;timestep;number;lifetime;total dissipation;spatial linear size
0;500001;0;1;1.0;0.0
1;500003;1;4;4.0;1.4142135623730951
2;500008;2;5;8.0;2.8284271247461903
3;500014;3;12;16.0;5.0
4;500027;4;2;2.0;1.0
5;500030;5;2;2.0;1.0
6;500033;6;1;1.0;0.0
7;500035;7;1;1.0;0.0
8;500037;8;70;312.0;24.596747752497688
9;500108;9;15;26.0;5.385164807134504
10;500124;10;2;2.0;1.0
11;500127;11;1;1.0;0.0
12;500129;12;12;40.0;7.211102550927978
13;500142;13;33;143.0;12.041594578792296
14;500176;14;4;5.0;2.23606797749979
15;500181;15;3;3.0;2.0
16;500185;16;1;1.0;0.0
17;500187;17;11;19.0;5.0990195135927845
18;500199;18;1;1.0;0.0
19;500201;19;1;1.0;0.0
20;500205;20;1;1.0;0.0
21;500208;21;23;46.0;10.04987562112089
22;500232;22;1;1.0;0.0
23;500236;23;8;17.0;6.0
24;500246;24;20;51.0;9.055385138137417
25;500268;25;1;1.0;0.0
26;500270;26;16;22.0;8.246211251235321
27;500288;27;1;1.0;0.0
28;500290;28;2;2.0;1.0
29;500294;29;12;38.0;4.47213595499958
30;500307;30;8;10.0;5.0
31;500317;31;1;1.0;0.0
32;500319;32;2;2.0;1.0
33;500322;33;1;1.0;0.0
34;500324;34;6;8.0;4.123105625617661
35;500331;35;1;1.0;0.0
36;500333;36;2;2.0;1.0
37;500336;37;10;19.0;3.1622776601683795
38;500347;38;1;1.0;0.0
39;500349;39;26;51.0;9.486832980505138
40;500377;40;1;1.0;0.0
41;500380;41;6;10.0;4.123105625617661
42;500387;42;11;20.0;6.4031242374328485
43;500399;43;10;20.0;5.0
44;500411;44;4;6.0;2.23606797749979
45;500416;45;4;5.0;2.0
46;500421;46;25;46.0;9.219544457292887
47;500447;47;10;21.0;5.385164807134504
48;500458;48;10;25.0;5.0
49;500469;49;1;1.0;0.0
50;500471;50;1;1.0;0.0
51;500473;51;2;2.0;1.0
52;500476;52;1;1.0;0.0
53;500482;53;1;1.0;0.0
54;500485;54;1;1.0;0.0
55;500487;55;3;3.0;1.4142135623730951
56;500492;56;2;2.0;1.0
57;500495;57;15;50.0;7.615773105863909
58;500512;58;28;64.0;11.661903789690601
59;500541;59;1;1.0;0.0
60;500543;60;2;2.0;1.0
61;500547;61;1;1.0;0.0
62;500550;62;6;6.0;2.23606797749979
63;500557;63;2;3.0;1.0
64;500561;64;5;5.0;2.23606797749979
65;500567;65;54;128.0;27.65863337187866
66;500622;66;1;1.0;0.0
67;500624;67;5;7.0;3.1622776601683795
68;500630;68;8;13.0;3.605551275463989
69;500639;69;1;1.0;0.0
70;500641;70;1;1.0;0.0
71;500644;71;13;26.0;7.0710678118654755
72;500658;72;1;1.0;0.0
73;500660;73;3;3.0;1.4142135623730951
74;500665;74;28;88.0;13.892443989449804
75;500697;75;1;1.0;0.0
76;500699;76;1;1.0;0.0
