;timestep;number;lifetime;total dissipation;spatial linear size
0;15182;0;102;685.0;28.30194339616981
1;15285;1;6;11.0;4.0
2;15296;2;130;874.0;31.064449134018133
3;15427;3;82;412.0;29.206163733020468
4;15515;4;21;58.0;9.055385138137417
5;15537;5;43;327.0;17.26267650163207
6;15581;6;1;1.0;0.0
7;15583;7;185;1553.0;31.144823004794873
8;15770;8;15;31.0;7.615773105863909
9;15787;9;35;176.0;18.973665961010276
10;15823;10;1;1.0;0.0
11;15825;11;34;176.0;8.06225774829855
12;15860;12;207;1574.0;30.01666203960727
13;16074;13;4;8.0;2.23606797749979
14;16080;14;192;1190.0;31.38470965295043
15;16276;15;5;6.0;2.23606797749979
16;16282;16;137;900.0;36.124783736376884
17;16421;17;34;133.0;17.204650534085253
18;16457;18;2;2.0;1.0
19;16461;19;241;3198.0;36.87817782917155
20;16703;20;1;1.0;0.0
21;16705;21;3;3.0;2.0
22;16714;22;275;3918.0;32.01562118716424
23;16990;23;10;26.0;5.0990195135927845
24;17001;24;100;694.0;33.60059523282288
25;17103;25;2;2.0;1.0
26;17107;26;1;1.0;0.0
27;17110;27;16;45.0;8.602325267042627
28;17128;28;115;402.0;24.413111231467404
29;17244;29;11;18.0;5.830951894845301
30;17256;30;164;1636.0;27.313000567495326
31;17421;31;61;197.0;22.20360331117452
32;17485;32;190;1991.0;35.11409973215888
33;17677;33;1;1.0;0.0
34;17681;34;8;23.0;7.0
35;17690;35;1;1.0;0.0
36;17692;36;76;400.0;33.734255586866
37;17769;37;89;713.0;14.866068747318506
38;17859;38;13;38.0;6.708203932499369
39;17878;39;2;3.0;1.0
40;17884;40;4;14.0;3.0
41;17889;41;75;646.0;18.601075237738275
42;17970;42;397;2101.0;35.35533905932738
43;18368;43;26;85.0;8.06225774829855
44;18395;44;4;6.0;3.0
45;18400;45;144;811.0;26.870057685088806
46;18548;46;6;10.0;2.23606797749979
47;18557;47;203;2264.0;29.832867780352597
48;18761;48;158;1152.0;44.10215414239989
49;18920;49;2;2.0;1.0
50;18924;50;15;43.0;5.830951894845301
51;18941;51;135;757.0;36.124783736376884
52;19077;52;1;1.0;0.0
53;19082;53;125;1092.0;35.510561809129406
54;19208;54;15;32.0;6.708203932499369
55;19226;55;125;1755.0;24.041630560342615
56;19352;56;56;206.0;16.1245154965971
57;19409;57;42;258.0;21.470910553583888
58;19452;58;23;57.0;9.486832980505138
59;19481;59;28;64.0;10.0
60;19514;60;20;64.0;9.486832980505138
61;19535;61;125;915.0;26.90724809414742
62;19661;62;17;48.0;5.0
63;19680;63;2;3.0;1.0
64;19688;64;14;33.0;4.47213595499958
65;19703;65;29;101.0;15.0
66;19733;66;1;1.0;0.0
67;19738;67;166;1851.0;31.78049716414141
68;19906;68;15;31.0;5.656854249492381
69;19927;69;177;1667.0;30.4138126514911
70;20106;70;8;16.0;5.385164807134504
71;20116;71;39;102.0;13.92838827718412
72;20156;72;184;1645.0;29.068883707497267
73;20342;73;1;1.0;0.0
74;20345;74;76;748.0;24.186773244895647
75;20423;75;4;5.0;2.23606797749979
76;20430;76;11;18.0;5.0
77;20442;77;1;1.0;0.0
78;20447;78;13;37.0;6.4031242374328485
79;20462;79;4;5.0;2.23606797749979
80;20469;80;78;476.0;26.832815729997478
81;20548;81;308;6774.0;37.8549864614954
82;20857;82;2;2.0;1.0
83;20861;83;18;81.0;11.045361017187261
84;20880;84;29;143.0;14.866068747318506
85;20915;85;101;1195.0;24.698178070456937
86;21017;86;6;9.0;3.1622776601683795
87;21025;87;125;1566.0;38.600518131237564
88;21152;88;9;18.0;5.385164807134504
89;21164;89;3;3.0;1.4142135623730951
90;21169;90;4;4.0;1.4142135623730951
91;21175;91;47;120.0;11.40175425099138
92;21223;92;103;390.0;37.33630940518894
93;21328;93;57;233.0;24.166091947189145
94;21386;94;1;1.0;0.0
95;21392;95;85;1098.0;22.80350850198276
96;21482;96;1;1.0;0.0
97;21487;97;50;182.0;18.110770276274835
98;21539;98;296;2847.0;32.526911934581186
99;21839;99;38;317.0;17.46424919657298
100;21880;100;6;6.0;2.23606797749979
101;21888;101;2;2.0;1.0
102;21891;102;17;60.0;8.602325267042627
103;21913;103;94;964.0;35.84689665786984
104;22008;104;3;3.0;1.4142135623730951
105;22012;105;252;2468.0;31.622776601683793
106;22268;106;157;938.0;48.91829923454004
107;22426;107;2;2.0;1.0
108;22441;108;3;3.0;1.4142135623730951
109;22446;109;33;165.0;16.0
110;22481;110;4;8.0;2.23606797749979
111;22486;111;40;138.0;18.027756377319946
112;22527;112;2;2.0;1.0
113;22530;113;6;8.0;3.605551275463989
114;22542;114;33;127.0;14.142135623730951
115;22582;115;14;44.0;8.06225774829855
116;22597;116;4;5.0;2.0
117;22603;117;2;2.0;1.0
118;22606;118;8;11.0;4.47213595499958
119;22615;119;2;2.0;1.0
120;22619;120;181;2976.0;36.89173349139343
121;22807;121;78;467.0;26.40075756488817
122;22886;122;199;2341.0;33.83784863137726
