;timestep;number;lifetime;total dissipation;spatial linear size
0;400009;0;8;8.0;2.449489742783178
1;400024;1;5;7.0;2.449489742783178
2;400034;2;8;13.0;4.242640687119285
3;400047;3;1;1.0;0.0
4;400055;4;126;1712.0;17.435595774162696
5;400183;5;1;1.0;0.0
6;400186;6;11;30.0;4.123105625617661
7;400203;7;2;2.0;1.0
8;400215;8;5;5.0;2.23606797749979
9;400221;9;1;1.0;0.0
10;400226;10;1;1.0;0.0
11;400232;11;1;1.0;0.0
12;400245;12;2;2.0;1.0
13;400264;13;4;4.0;1.7320508075688772
14;400270;14;3;3.0;1.4142135623730951
15;400283;15;7;13.0;2.23606797749979
16;400295;16;7;18.0;2.8284271247461903
17;400305;17;1;1.0;0.0
18;400325;18;3;3.0;1.4142135623730951
19;400337;19;1;1.0;0.0
20;400339;20;1;1.0;0.0
21;400363;21;9;10.0;2.449489742783178
22;400375;22;5;5.0;1.7320508075688772
23;400384;23;21;58.0;6.082762530298219
24;400428;24;7;18.0;4.242640687119285
25;400438;25;5;7.0;2.23606797749979
26;400446;26;3;3.0;1.4142135623730951
27;400455;27;34;230.0;10.63014581273465
28;400493;28;58;385.0;8.246211251235321
29;400556;29;4;4.0;2.23606797749979
30;400580;30;41;411.0;11.224972160321824
31;400624;31;5;5.0;2.449489742783178
32;400631;32;2;2.0;1.0
33;400644;33;3;6.0;1.4142135623730951
34;400653;34;4;5.0;2.23606797749979
35;400658;35;28;126.0;4.47213595499958
36;400691;36;3;4.0;1.4142135623730951
37;400709;37;1;1.0;0.0
38;400711;38;2;2.0;1.0
39;400726;39;37;126.0;7.416198487095663
40;400785;40;3;3.0;2.0
41;400793;41;11;26.0;3.605551275463989
42;400805;42;1;1.0;0.0
43;400808;43;2;2.0;1.0
44;400817;44;3;3.0;1.4142135623730951
45;400835;45;1;1.0;0.0
46;400837;46;1;1.0;0.0
47;400849;47;6;15.0;3.3166247903554
48;400858;48;4;4.0;1.7320508075688772
49;400904;49;45;221.0;6.244997998398398
50;400956;50;7;8.0;2.8284271247461903
51;400973;51;10;25.0;4.47213595499958
52;400986;52;1;1.0;0.0
53;401019;53;10;25.0;4.58257569495584
54;401033;54;41;227.0;8.660254037844387
55;401100;55;2;2.0;1.0
56;401108;56;1;1.0;0.0
57;401132;57;5;5.0;2.8284271247461903
58;401182;58;3;3.0;1.4142135623730951
