;timestep;number;lifetime;total dissipation;spatial linear size
0;500016;0;4;5.0;2.23606797749979
1;500021;1;1;1.0;0.0
2;500023;2;1;1.0;0.0
3;500027;3;16;45.0;8.246211251235321
4;500044;4;1;1.0;0.0
5;500046;5;1;1.0;0.0
6;500049;6;2;2.0;1.0
7;500053;7;1;1.0;0.0
8;500055;8;70;329.0;25.495097567963924
9;500126;9;1;1.0;0.0
10;500131;10;1;1.0;0.0
11;500133;11;1;1.0;0.0
12;500135;12;2;2.0;1.0
13;500139;13;1;1.0;0.0
14;500141;14;2;2.0;1.0
15;500145;15;2;2.0;1.0
16;500148;16;1;1.0;0.0
17;500150;17;28;71.0;13.341664064126334
18;500179;18;60;267.0;21.095023109728988
19;500240;19;1;1.0;0.0
20;500242;20;1;1.0;0.0
21;500244;21;5;6.0;1.4142135623730951
22;500250;22;1;1.0;0.0
23;500254;23;1;1.0;0.0
24;500261;24;1;1.0;0.0
25;500263;25;1;1.0;0.0
26;500266;26;2;2.0;1.0
27;500269;27;1;1.0;0.0
28;500271;28;4;8.0;2.23606797749979
29;500276;29;11;23.0;5.0990195135927845
30;500288;30;52;212.0;18.384776310850235
31;500342;31;1;1.0;0.0
32;500344;32;5;5.0;2.8284271247461903
33;500354;33;1;1.0;0.0
34;500360;34;1;1.0;0.0
35;500362;35;40;155.0;9.219544457292887
36;500404;36;25;62.0;7.810249675906654
37;500431;37;11;20.0;6.4031242374328485
38;500443;38;1;1.0;0.0
39;500446;39;8;11.0;3.605551275463989
40;500455;40;3;3.0;2.0
41;500459;41;1;1.0;0.0
42;500461;42;25;68.0;7.211102550927978
43;500487;43;1;1.0;0.0
44;500490;44;1;1.0;0.0
45;500492;45;7;8.0;4.47213595499958
46;500500;46;19;47.0;11.313708498984761
47;500520;47;26;67.0;10.198039027185569
48;500547;48;4;7.0;2.23606797749979
49;500553;49;2;2.0;1.0
50;500557;50;6;9.0;4.123105625617661
51;500564;51;2;2.0;1.0
52;500567;52;1;1.0;0.0
53;500569;53;2;2.0;1.0
54;500572;54;1;1.0;0.0
55;500574;55;1;1.0;0.0
56;500576;56;1;1.0;0.0
57;500579;57;10;29.0;6.082762530298219
58;500591;58;4;5.0;2.23606797749979
59;500597;59;1;1.0;0.0
60;500600;60;1;1.0;0.0
61;500602;61;5;8.0;2.23606797749979
62;500608;62;5;5.0;2.23606797749979
63;500615;63;5;7.0;2.8284271247461903
64;500621;64;2;2.0;1.0
65;500624;65;1;1.0;0.0
66;500627;66;1;1.0;0.0
67;500631;67;21;38.0;6.4031242374328485
68;500653;68;1;1.0;0.0
69;500657;69;9;21.0;4.242640687119285
70;500668;70;11;37.0;6.324555320336759
71;500680;71;10;16.0;4.47213595499958
72;500691;72;44;136.0;15.264337522473747
73;500736;73;12;45.0;5.656854249492381
74;500749;74;17;29.0;7.0710678118654755
75;500767;75;11;24.0;5.0
76;500779;76;30;76.0;13.601470508735444
77;500811;77;2;2.0;1.0
78;500814;78;1;1.0;0.0
79;500816;79;1;1.0;0.0
80;500818;80;3;3.0;1.4142135623730951
81;500822;81;13;28.0;7.615773105863909
82;500836;82;21;40.0;9.055385138137417
83;500858;83;1;1.0;0.0
84;500861;84;2;2.0;1.0
85;500864;85;3;3.0;1.4142135623730951
86;500868;86;10;20.0;4.47213595499958
87;500879;87;1;1.0;0.0
88;500883;88;5;9.0;2.8284271247461903
89;500889;89;24;102.0;9.848857801796104
90;500914;90;4;4.0;2.23606797749979
91;500920;91;1;1.0;0.0
92;500925;92;2;2.0;1.0
93;500928;93;1;1.0;0.0
94;500932;94;1;1.0;0.0
95;500934;95;1;1.0;0.0
96;500936;96;8;16.0;4.123105625617661
97;500945;97;40;160.0;18.681541692269406
98;500987;98;1;1.0;0.0
99;500989;99;3;4.0;1.4142135623730951
100;500994;100;1;1.0;0.0
101;500996;101;2;2.0;1.0
102;500999;102;16;39.0;7.0
103;501016;103;2;2.0;1.0
104;501019;104;10;19.0;5.385164807134504
105;501030;105;1;1.0;0.0
106;501032;106;20;68.0;9.848857801796104
107;501055;107;1;1.0;0.0
108;501059;108;29;119.0;15.524174696260024
109;501089;109;1;1.0;0.0
110;501091;110;1;1.0;0.0
