boundary condition;pertubation mechanism;fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
closed;non_conservative;E_of_T_S;lifetime;total dissipation;10;400;391;100;1.43+/-0.05;1.547+/-0.019;0.0020682204038535;0.0008745359885139;0.0003711132380989
closed;non_conservative;E_of_S_T;total dissipation;lifetime;10;400;391;100;0+/-4;1.61+/-0.32;18.98423935678217;-1.3000644984123562;0.0993627542225943
closed;non_conservative;E_of_T_L;lifetime;spatial linear size;10;20;11;100;1.20+/-0.08;1.289+/-0.024;0.0057631152451565;-0.0018011846612975;0.0005664158863421
closed;non_conservative;E_of_L_T;spatial linear size;lifetime;10;100;91;100;0.768+/-0.009;1.222+/-0.005;7.599874717204551e-05;4.22579750844618e-05;2.406967930414815e-05
closed;non_conservative;E_of_L_S;spatial linear size;total dissipation;10;400;391;100;1.003+/-0.017;1.866+/-0.015;0.0002848715836671;0.0002526561709799;0.0002275160473909
closed;non_conservative;E_of_S_L;total dissipation;spatial linear size;10;20;11;100;0.63+/-0.08;2.09+/-0.05;0.0059970829789421;-0.0036394590424424;0.0022386425927996
closed;non_conservative;P_of_T;lifetime;-;10;200;191;100;(9.7+/-0.4)e+03;2.175+/-0.011;156699.48127640126;4.369783052710257;0.0001223179004437
closed;non_conservative;P_of_L;spatial linear size;-;10;60;51;100;(9.2+/-0.5)e+03;2.130+/-0.017;260542.68416671336;8.805667332092666;0.0002984983180532
closed;non_conservative;P_of_S;total dissipation;-;10;500;491;100;(6.2+/-2.3)e+03;2.1+/-0.4;5257444.449487731;885.2531824413106;0.1491732885668098
closed;non_conservative;E_of_T_S;lifetime;total dissipation;10;400;391;100;1.43+/-0.06;1.547+/-0.028;0.0041479167451748;0.0017773073187503;0.0007630821840699
closed;non_conservative;E_of_S_T;total dissipation;lifetime;10;400;391;100;0+/-5;1.61+/-0.34;20.91872646214814;-1.5037359847700134;0.1187641783935847
closed;non_conservative;E_of_T_S;lifetime;total dissipation;10;400;391;100;1.43+/-0.06;1.547+/-0.026;0.0036818010310224;0.0015641238328258;0.0006657517829478
closed;non_conservative;E_of_S_T;total dissipation;lifetime;10;400;391;100;0+/-4;1.61+/-0.23;12.636226377515316;-0.760147237381806;0.0541559351771346
closed;non_conservative;E_of_T_L;lifetime;spatial linear size;10;20;11;100;1.20+/-0.07;1.289+/-0.023;0.0054181881094457;-0.0016487088221942;0.0005062563599551
closed;non_conservative;E_of_L_T;spatial linear size;lifetime;10;100;91;100;0.768+/-0.010;1.222+/-0.006;0.0001042992750509;5.836306544891765e-05;3.357793074924633e-05
closed;non_conservative;E_of_L_S;spatial linear size;total dissipation;10;400;391;100;1.003+/-0.015;1.866+/-0.013;0.0002113972037364;0.0001853398839675;0.0001657690618403
closed;non_conservative;E_of_S_L;total dissipation;spatial linear size;10;20;11;100;0.63+/-0.07;2.09+/-0.04;0.0053752363051136;-0.0032092777515923;0.0019340400022143
closed;non_conservative;P_of_T;lifetime;-;10;200;191;100;(9.74+/-0.34)e+03;2.175+/-0.010;118438.84661562796;3.265712011997618;9.053481367156022e-05
closed;non_conservative;P_of_L;spatial linear size;-;10;60;51;100;(9.2+/-0.5)e+03;2.130+/-0.018;291793.32003735326;9.89017440460929;0.0003361243515279
closed;non_conservative;P_of_S;total dissipation;-;10;500;491;100;(6.2+/-1.4)e+03;2.14+/-0.23;1851808.929356949;315.67509296264984;0.05385542312686473
