;timestep;number;lifetime;total dissipation;spatial linear size
0;500001;0;1;1.0;0.0
1;500009;1;1;1.0;0.0
2;500032;2;1;1.0;1.0
3;500035;3;1;2.0;1.0
4;500053;4;1;2.0;1.0
5;500059;5;1;1.0;1.0
6;500064;6;1;1.0;0.0
7;500071;7;1;1.0;0.0
8;500073;8;1;1.0;1.0
9;500077;9;1;1.0;0.0
10;500079;10;1;1.0;0.0
11;500083;11;1;1.0;0.0
12;500089;12;1;1.0;0.0
13;500092;13;1;1.0;0.0
14;500099;14;1;1.0;1.0
15;500109;15;1;1.0;1.0
16;500111;16;1;1.0;0.0
17;500115;17;1;1.0;0.0
18;500122;18;1;1.0;0.0
19;500137;19;1;1.0;0.0
20;500143;20;1;1.0;0.0
21;500154;21;1;1.0;1.0
22;500156;22;1;1.0;1.0
23;500158;23;1;1.0;1.0
24;500170;24;1;1.0;1.0
25;500198;25;1;1.0;0.0
26;500213;26;1;1.0;0.0
27;500215;27;1;1.0;1.0
28;500219;28;1;1.0;0.0
29;500221;29;1;1.0;0.0
30;500223;30;1;1.0;1.0
31;500228;31;1;1.0;0.0
32;500230;32;1;1.0;0.0
33;500232;33;1;1.0;1.0
34;500234;34;1;1.0;0.0
35;500243;35;1;1.0;0.0
36;500246;36;1;1.0;1.0
37;500254;37;1;1.0;1.0
38;500259;38;1;2.0;1.0
39;500261;39;1;1.0;0.0
40;500264;40;1;1.0;0.0
41;500267;41;1;1.0;0.0
42;500272;42;1;1.0;0.0
43;500275;43;1;1.0;1.0
44;500290;44;1;1.0;0.0
45;500293;45;1;1.0;0.0
46;500295;46;1;1.0;1.0
47;500302;47;1;1.0;1.0
48;500305;48;1;1.0;1.0
49;500307;49;1;1.0;0.0
50;500315;50;1;1.0;1.0
51;500318;51;1;1.0;0.0
52;500334;52;2;2.0;1.4142135623730951
53;500349;53;1;2.0;1.0
54;500353;54;1;2.0;1.0
55;500357;55;2;4.0;2.0
56;500366;56;1;1.0;0.0
57;500372;57;1;1.0;1.0
58;500375;58;1;1.0;0.0
59;500388;59;1;1.0;0.0
60;500396;60;1;1.0;1.0
61;500403;61;1;1.0;1.0
62;500413;62;1;1.0;1.0
63;500420;63;1;1.0;0.0
64;500425;64;1;2.0;1.0
65;500429;65;1;1.0;0.0
66;500438;66;1;1.0;1.0
67;500444;67;1;1.0;1.0
68;500447;68;1;1.0;1.0
69;500459;69;1;1.0;0.0
70;500471;70;1;1.0;1.0
71;500483;71;1;1.0;0.0
72;500490;72;1;1.0;0.0
73;500495;73;2;2.0;1.0
74;500504;74;1;1.0;0.0
75;500509;75;1;1.0;0.0
76;500514;76;1;1.0;1.0
77;500523;77;1;1.0;1.0
78;500529;78;1;1.0;0.0
79;500532;79;1;1.0;0.0
80;500535;80;1;1.0;1.0
81;500542;81;1;1.0;0.0
82;500567;82;1;1.0;1.0
83;500569;83;1;1.0;0.0
84;500580;84;1;1.0;0.0
85;500587;85;1;1.0;0.0
86;500589;86;1;1.0;0.0
87;500593;87;1;2.0;1.0
88;500598;88;2;2.0;1.4142135623730951
89;500603;89;1;1.0;0.0
90;500616;90;1;1.0;0.0
91;500621;91;1;1.0;1.0
92;500627;92;2;3.0;1.0
93;500631;93;1;1.0;0.0
94;500636;94;1;1.0;0.0
95;500638;95;1;1.0;0.0
96;500641;96;1;1.0;0.0
97;500644;97;1;1.0;0.0
98;500646;98;1;1.0;1.0
99;500654;99;1;1.0;1.0
100;500661;100;1;1.0;0.0
101;500672;101;1;1.0;0.0
102;500683;102;1;1.0;1.0
103;500686;103;1;1.0;1.0
104;500690;104;1;2.0;1.0
105;500699;105;1;1.0;1.0
106;500709;106;1;2.0;1.0
107;500711;107;1;1.0;1.0
108;500724;108;1;1.0;0.0
109;500726;109;1;1.0;0.0
110;500732;110;1;1.0;1.0
111;500739;111;1;1.0;1.0
112;500752;112;2;3.0;2.0
113;500760;113;1;1.0;1.0
114;500764;114;1;1.0;0.0
115;500782;115;1;1.0;0.0
116;500784;116;1;2.0;1.0
117;500786;117;1;1.0;1.0
118;500792;118;1;1.0;0.0
119;500800;119;1;1.0;0.0
120;500810;120;1;1.0;1.0
121;500815;121;1;2.0;1.0
122;500817;122;1;1.0;0.0
123;500821;123;1;1.0;0.0
124;500824;124;1;1.0;1.0
125;500831;125;1;1.0;0.0
126;500833;126;1;1.0;0.0
127;500837;127;1;1.0;1.0
128;500841;128;1;1.0;0.0
129;500844;129;1;1.0;0.0
130;500846;130;1;1.0;1.0
131;500852;131;1;1.0;0.0
132;500858;132;1;2.0;1.0
133;500860;133;1;1.0;0.0
134;500872;134;1;1.0;1.0
135;500877;135;1;1.0;1.0
136;500888;136;1;1.0;0.0
137;500895;137;1;1.0;0.0
138;500903;138;1;1.0;1.0
139;500907;139;1;1.0;0.0
140;500931;140;1;1.0;0.0
141;500950;141;1;1.0;0.0
142;500961;142;1;1.0;0.0
143;500968;143;1;1.0;1.0
144;500977;144;1;2.0;1.0
145;500986;145;2;2.0;1.0
146;500993;146;1;1.0;0.0
147;500998;147;1;1.0;0.0
148;501011;148;1;1.0;0.0
149;501015;149;1;1.0;0.0
150;501022;150;1;2.0;1.0
151;501025;151;1;1.0;1.0
152;501027;152;2;2.0;1.0
153;501031;153;1;1.0;0.0
154;501041;154;2;2.0;1.0
155;501044;155;1;1.0;0.0
156;501053;156;1;1.0;0.0
157;501057;157;1;1.0;0.0
158;501061;158;1;1.0;0.0
159;501073;159;1;2.0;1.0
160;501077;160;1;2.0;1.0
161;501080;161;1;1.0;1.0
162;501082;162;1;1.0;1.0
163;501084;163;1;1.0;0.0
164;501086;164;1;1.0;0.0
165;501093;165;1;1.0;1.0
166;501097;166;1;2.0;1.0
167;501104;167;1;1.0;0.0
168;501108;168;1;1.0;1.0
169;501130;169;1;1.0;0.0
170;501137;170;1;1.0;1.0
171;501139;171;1;1.0;0.0
172;501149;172;1;1.0;0.0
173;501164;173;1;1.0;1.0
174;501173;174;1;1.0;0.0
175;501176;175;1;1.0;0.0
176;501178;176;1;2.0;1.0
177;501189;177;1;1.0;0.0
178;501195;178;1;2.0;1.0
179;501201;179;1;1.0;0.0
180;501209;180;1;1.0;0.0
181;501224;181;1;1.0;0.0
182;501226;182;2;3.0;2.0
183;501245;183;1;1.0;0.0
184;501249;184;1;1.0;0.0
185;501257;185;1;1.0;0.0
