;timestep;number;lifetime;total dissipation;spatial linear size
0;500003;0;2;3.0;1.0
1;500006;1;1;1.0;0.0
2;500009;2;1;1.0;0.0
3;500012;3;7;10.0;4.47213595499958
4;500022;4;1;1.0;0.0
5;500024;5;6;7.0;2.8284271247461903
6;500033;6;1;1.0;0.0
7;500038;7;1;1.0;0.0
8;500040;8;1;2.0;1.0
9;500043;9;1;1.0;0.0
10;500052;10;1;1.0;1.0
11;500059;11;1;1.0;0.0
12;500061;12;1;1.0;0.0
13;500064;13;1;1.0;0.0
14;500075;14;1;1.0;1.0
15;500079;15;1;1.0;0.0
16;500081;16;1;1.0;0.0
17;500086;17;1;1.0;0.0
18;500089;18;4;4.0;1.4142135623730951
19;500096;19;2;2.0;1.0
20;500115;20;2;2.0;1.0
21;500118;21;1;1.0;1.0
22;500120;22;1;1.0;1.0
23;500125;23;1;1.0;0.0
24;500130;24;8;14.0;3.605551275463989
25;500139;25;1;2.0;1.0
26;500146;26;1;1.0;0.0
27;500148;27;1;1.0;0.0
28;500150;28;1;1.0;0.0
29;500153;29;1;1.0;1.0
30;500155;30;2;2.0;1.0
31;500163;31;1;1.0;0.0
32;500172;32;2;2.0;1.0
33;500177;33;20;35.0;6.4031242374328485
34;500201;34;1;1.0;1.0
35;500204;35;1;1.0;0.0
36;500209;36;1;1.0;0.0
37;500218;37;10;15.0;5.385164807134504
38;500230;38;1;1.0;0.0
39;500234;39;6;12.0;3.1622776601683795
40;500241;40;38;146.0;14.866068747318506
41;500291;41;1;1.0;1.0
42;500297;42;13;28.0;7.615773105863909
43;500311;43;2;2.0;1.0
44;500318;44;1;1.0;0.0
45;500322;45;1;1.0;1.0
46;500328;46;1;1.0;0.0
47;500331;47;1;1.0;0.0
48;500347;48;1;1.0;1.0
49;500358;49;1;1.0;0.0
50;500360;50;1;1.0;0.0
51;500362;51;1;1.0;0.0
52;500364;52;2;2.0;1.0
53;500373;53;1;1.0;0.0
54;500378;54;1;2.0;1.0
55;500380;55;2;2.0;1.0
56;500390;56;1;1.0;0.0
57;500392;57;1;1.0;0.0
58;500394;58;1;1.0;0.0
59;500396;59;1;1.0;0.0
60;500399;60;1;2.0;1.0
61;500402;61;2;2.0;1.0
62;500407;62;19;64.0;9.486832980505138
63;500428;63;12;35.0;6.708203932499369
64;500442;64;1;1.0;1.0
65;500448;65;2;2.0;1.0
66;500454;66;2;2.0;1.0
67;500458;67;1;1.0;0.0
68;500463;68;1;1.0;0.0
69;500465;69;1;1.0;0.0
70;500473;70;1;1.0;1.0
71;500475;71;1;1.0;1.0
72;500477;72;3;3.0;1.4142135623730951
73;500483;73;1;2.0;1.0
74;500496;74;1;1.0;0.0
75;500501;75;16;39.0;4.123105625617661
76;500519;76;1;1.0;0.0
77;500524;77;1;1.0;0.0
78;500528;78;1;1.0;0.0
79;500530;79;6;7.0;3.0
80;500539;80;1;1.0;0.0
81;500541;81;1;1.0;0.0
82;500543;82;2;2.0;1.0
83;500548;83;3;3.0;1.4142135623730951
84;500552;84;1;1.0;0.0
85;500554;85;1;1.0;0.0
86;500557;86;1;1.0;0.0
87;500560;87;2;2.0;1.0
88;500564;88;14;26.0;7.0710678118654755
89;500585;89;1;1.0;1.0
90;500589;90;7;7.0;2.23606797749979
91;500598;91;3;3.0;1.4142135623730951
92;500604;92;1;1.0;0.0
93;500607;93;5;11.0;4.0
94;500620;94;1;1.0;0.0
95;500627;95;1;1.0;0.0
96;500630;96;2;3.0;2.0
97;500633;97;3;3.0;2.0
98;500639;98;1;1.0;0.0
