;timestep;number;lifetime;total dissipation;spatial linear size
0;15029;0;1;1.0;0.0
1;15033;1;2;2.0;1.0
2;15047;2;2;2.0;1.0
3;15100;3;1;1.0;0.0
4;15119;4;1;1.0;0.0
5;15129;5;1;1.0;0.0
6;15143;6;1;1.0;0.0
7;15148;7;1;1.0;0.0
8;15160;8;1;1.0;0.0
9;15165;9;1;1.0;0.0
10;15188;10;1;1.0;0.0
11;15201;11;1;1.0;0.0
12;15208;12;1;1.0;0.0
13;15227;13;1;1.0;0.0
14;15229;14;2;2.0;1.0
15;15238;15;1;1.0;0.0
16;15262;16;1;1.0;0.0
17;15270;17;1;1.0;0.0
18;15273;18;1;1.0;0.0
19;15278;19;1;1.0;0.0
20;15284;20;1;1.0;0.0
21;15308;21;1;1.0;0.0
22;15326;22;1;1.0;0.0
23;15343;23;1;1.0;0.0
24;15366;24;1;1.0;0.0
25;15377;25;2;2.0;1.0
26;15404;26;3;3.0;1.4142135623730951
27;15441;27;1;1.0;0.0
28;15456;28;1;1.0;0.0
29;15492;29;3;4.0;1.4142135623730951
30;15503;30;1;1.0;0.0
31;15505;31;1;1.0;0.0
32;15528;32;1;1.0;0.0
33;15550;33;2;2.0;1.0
34;15576;34;2;2.0;1.0
35;15586;35;1;1.0;0.0
36;15600;36;1;1.0;0.0
37;15654;37;1;1.0;0.0
38;15663;38;1;1.0;0.0
39;15673;39;1;1.0;0.0
40;15689;40;1;1.0;0.0
41;15693;41;1;1.0;0.0
42;15701;42;1;1.0;0.0
43;15716;43;1;1.0;0.0
44;15733;44;1;1.0;0.0
45;15754;45;1;1.0;0.0
46;15774;46;1;1.0;0.0
47;15783;47;2;2.0;1.0
48;15797;48;1;1.0;0.0
49;15812;49;1;1.0;0.0
50;15815;50;1;1.0;0.0
51;15820;51;1;1.0;0.0
52;15837;52;1;1.0;0.0
53;15879;53;1;1.0;0.0
54;15883;54;1;1.0;0.0
55;15915;55;1;1.0;0.0
56;15940;56;1;1.0;0.0
57;15943;57;2;2.0;1.0
58;15950;58;1;1.0;0.0
59;15971;59;1;1.0;0.0
60;15999;60;1;1.0;0.0
61;16014;61;1;1.0;0.0
62;16036;62;1;1.0;0.0
63;16052;63;2;2.0;1.0
64;16067;64;1;1.0;0.0
65;16083;65;2;2.0;1.0
66;16109;66;2;2.0;1.0
67;16123;67;1;1.0;0.0
68;16182;68;2;2.0;1.0
69;16281;69;6;6.0;2.23606797749979
70;16289;70;2;2.0;1.0
71;16296;71;1;1.0;0.0
72;16304;72;1;1.0;0.0
73;16313;73;1;1.0;0.0
74;16316;74;1;1.0;0.0
75;16325;75;1;1.0;0.0
76;16402;76;1;1.0;0.0
77;16428;77;2;2.0;1.0
78;16439;78;1;1.0;0.0
79;16442;79;1;1.0;0.0
80;16465;80;1;1.0;0.0
81;16533;81;2;2.0;1.0
82;16550;82;1;1.0;0.0
83;16552;83;1;1.0;0.0
84;16563;84;1;1.0;0.0
85;16594;85;1;1.0;0.0
86;16618;86;1;1.0;0.0
87;16637;87;1;1.0;0.0
88;16666;88;1;1.0;0.0
89;16694;89;1;1.0;0.0
90;16699;90;2;2.0;1.0
91;16707;91;1;1.0;0.0
92;16714;92;1;1.0;0.0
93;16719;93;1;1.0;0.0
94;16722;94;1;1.0;0.0
95;16724;95;2;2.0;1.0
96;16732;96;1;1.0;0.0
97;16762;97;1;1.0;0.0
98;16767;98;2;2.0;1.0
99;16795;99;2;3.0;1.0
100;16830;100;1;1.0;0.0
101;16858;101;1;1.0;0.0
102;16891;102;1;1.0;0.0
103;16895;103;1;1.0;0.0
104;16935;104;1;1.0;0.0
105;16938;105;2;2.0;1.0
106;16944;106;1;1.0;0.0
107;16987;107;1;1.0;0.0
108;17015;108;1;1.0;0.0
109;17027;109;1;1.0;0.0
110;17050;110;1;1.0;0.0
111;17068;111;3;4.0;1.4142135623730951
112;17076;112;1;1.0;0.0
113;17094;113;3;3.0;1.4142135623730951
114;17101;114;1;1.0;0.0
115;17104;115;1;1.0;0.0
116;17115;116;1;1.0;0.0
117;17121;117;1;1.0;0.0
118;17126;118;1;1.0;0.0
119;17144;119;1;1.0;0.0
120;17146;120;1;1.0;0.0
121;17155;121;2;2.0;1.0
122;17168;122;1;1.0;0.0
123;17173;123;1;1.0;0.0
124;17182;124;1;1.0;0.0
125;17216;125;1;1.0;0.0
126;17218;126;1;1.0;0.0
127;17230;127;1;1.0;0.0
128;17247;128;1;1.0;0.0
129;17255;129;1;1.0;0.0
130;17267;130;1;1.0;0.0
131;17273;131;1;1.0;0.0
132;17275;132;1;1.0;0.0
133;17292;133;3;3.0;1.4142135623730951
134;17301;134;1;1.0;0.0
135;17335;135;1;1.0;0.0
136;17350;136;1;1.0;0.0
137;17365;137;1;1.0;0.0
138;17367;138;1;1.0;0.0
139;17379;139;2;2.0;1.0
140;17387;140;1;1.0;0.0
141;17390;141;1;1.0;0.0
142;17401;142;1;1.0;0.0
143;17409;143;2;2.0;1.0
144;17412;144;1;1.0;0.0
145;17424;145;1;1.0;0.0
146;17430;146;1;1.0;0.0
147;17436;147;1;1.0;0.0
148;17454;148;1;1.0;0.0
149;17462;149;1;1.0;0.0
150;17465;150;1;1.0;0.0
151;17474;151;2;2.0;1.0
152;17489;152;1;1.0;0.0
153;17505;153;1;1.0;0.0
154;17531;154;1;1.0;0.0
155;17599;155;1;1.0;0.0
156;17602;156;2;2.0;1.0
157;17612;157;1;1.0;0.0
158;17614;158;1;1.0;0.0
159;17617;159;1;1.0;0.0
160;17639;160;1;1.0;0.0
161;17666;161;1;1.0;0.0
162;17669;162;1;1.0;0.0
163;17699;163;1;1.0;0.0
164;17725;164;2;2.0;1.0
165;17735;165;1;1.0;0.0
166;17740;166;2;2.0;1.0
167;17750;167;1;1.0;0.0
168;17758;168;2;2.0;1.0
169;17762;169;2;2.0;1.0
170;17815;170;1;1.0;0.0
171;17829;171;1;1.0;0.0
172;17835;172;1;1.0;0.0
173;17839;173;3;3.0;1.4142135623730951
174;17853;174;1;1.0;0.0
175;17857;175;1;1.0;0.0
176;17863;176;2;2.0;1.0
177;17869;177;2;2.0;1.0
178;17902;178;1;1.0;0.0
179;17943;179;1;1.0;0.0
180;17960;180;1;1.0;0.0
181;17973;181;1;1.0;0.0
182;17990;182;1;1.0;0.0
183;17997;183;1;1.0;0.0
184;18061;184;1;1.0;0.0
185;18071;185;1;1.0;0.0
186;18076;186;1;1.0;0.0
187;18081;187;2;2.0;1.0
188;18084;188;1;1.0;0.0
189;18087;189;1;1.0;0.0
190;18089;190;1;1.0;0.0
191;18110;191;1;1.0;0.0
192;18115;192;2;2.0;1.0
193;18118;193;1;1.0;0.0
194;18127;194;2;2.0;1.0
195;18140;195;1;1.0;0.0
196;18163;196;1;1.0;0.0
197;18178;197;1;1.0;0.0
198;18194;198;1;1.0;0.0
199;18224;199;1;1.0;0.0
200;18239;200;1;1.0;0.0
201;18246;201;1;1.0;0.0
202;18255;202;1;1.0;0.0
203;18259;203;1;1.0;0.0
204;18262;204;4;6.0;2.23606797749979
205;18270;205;1;1.0;0.0
206;18305;206;1;1.0;0.0
207;18313;207;2;2.0;1.0
208;18317;208;1;1.0;0.0
209;18363;209;3;3.0;1.4142135623730951
210;18370;210;1;1.0;0.0
211;18397;211;1;1.0;0.0
212;18432;212;1;1.0;0.0
213;18440;213;2;2.0;1.0
214;18456;214;1;1.0;0.0
215;18461;215;1;1.0;0.0
216;18468;216;1;1.0;0.0
217;18470;217;1;1.0;0.0
218;18496;218;1;1.0;0.0
219;18498;219;1;1.0;0.0
220;18541;220;1;1.0;0.0
221;18549;221;2;2.0;1.0
222;18555;222;1;1.0;0.0
223;18557;223;1;1.0;0.0
224;18566;224;1;1.0;0.0
225;18579;225;1;1.0;0.0
226;18593;226;2;2.0;1.0
227;18602;227;1;1.0;0.0
228;18615;228;1;1.0;0.0
229;18618;229;1;1.0;0.0
230;18622;230;2;2.0;1.0
231;18627;231;1;1.0;0.0
232;18644;232;1;1.0;0.0
233;18664;233;1;1.0;0.0
234;18673;234;2;2.0;1.0
235;18681;235;1;1.0;0.0
236;18684;236;1;1.0;0.0
237;18691;237;1;1.0;0.0
238;18701;238;1;1.0;0.0
239;18705;239;1;1.0;0.0
240;18712;240;2;2.0;1.0
241;18730;241;2;2.0;1.0
242;18735;242;1;1.0;0.0
243;18740;243;2;2.0;1.0
244;18758;244;3;4.0;2.0
245;18771;245;1;1.0;0.0
246;18788;246;1;1.0;0.0
247;18796;247;1;1.0;0.0
248;18800;248;1;1.0;0.0
249;18814;249;1;1.0;0.0
250;18833;250;2;2.0;1.0
251;18836;251;1;1.0;0.0
252;18855;252;1;1.0;0.0
253;18863;253;1;1.0;0.0
254;18865;254;2;2.0;1.0
255;18878;255;2;2.0;1.0
256;18918;256;2;2.0;1.0
257;18931;257;2;2.0;1.0
258;18948;258;1;1.0;0.0
259;18961;259;1;1.0;0.0
260;18968;260;1;1.0;0.0
261;18972;261;2;2.0;1.0
262;18987;262;2;2.0;1.0
263;18992;263;1;1.0;0.0
264;19007;264;1;1.0;0.0
265;19009;265;2;2.0;1.0
266;19021;266;1;1.0;0.0
267;19034;267;1;1.0;0.0
268;19036;268;1;1.0;0.0
269;19040;269;1;1.0;0.0
270;19044;270;1;1.0;0.0
271;19046;271;1;1.0;0.0
272;19060;272;1;1.0;0.0
273;19069;273;5;6.0;3.1622776601683795
274;19079;274;2;2.0;1.0
275;19090;275;1;1.0;0.0
276;19099;276;1;1.0;0.0
277;19101;277;2;2.0;1.0
278;19108;278;2;2.0;1.0
279;19119;279;1;1.0;0.0
280;19122;280;2;2.0;1.0
281;19126;281;1;1.0;0.0
282;19131;282;1;1.0;0.0
283;19134;283;2;2.0;1.0
284;19141;284;2;2.0;1.0
285;19151;285;1;1.0;0.0
286;19154;286;2;3.0;1.0
287;19157;287;2;2.0;1.0
288;19163;288;2;2.0;1.0
289;19186;289;2;2.0;1.0
290;19211;290;1;1.0;0.0
291;19225;291;1;1.0;0.0
292;19238;292;1;1.0;0.0
293;19241;293;1;1.0;0.0
294;19245;294;1;1.0;0.0
295;19254;295;1;1.0;0.0
296;19256;296;1;1.0;0.0
297;19259;297;1;1.0;0.0
298;19261;298;1;1.0;0.0
299;19266;299;1;1.0;0.0
300;19272;300;4;4.0;2.23606797749979
301;19278;301;1;1.0;0.0
302;19281;302;1;1.0;0.0
303;19286;303;1;1.0;0.0
304;19291;304;3;3.0;1.4142135623730951
305;19308;305;1;1.0;0.0
306;19314;306;2;2.0;1.0
307;19322;307;4;5.0;2.23606797749979
308;19333;308;2;2.0;1.0
309;19345;309;1;1.0;0.0
310;19366;310;1;1.0;0.0
311;19374;311;1;1.0;0.0
312;19397;312;1;1.0;0.0
313;19408;313;1;1.0;0.0
314;19417;314;1;1.0;0.0
315;19435;315;3;3.0;2.0
316;19455;316;1;1.0;0.0
317;19458;317;2;3.0;1.0
318;19474;318;1;1.0;0.0
319;19478;319;1;1.0;0.0
320;19487;320;1;1.0;0.0
321;19497;321;5;9.0;2.23606797749979
322;19507;322;1;1.0;0.0
323;19531;323;1;1.0;0.0
324;19534;324;1;1.0;0.0
325;19537;325;2;2.0;1.0
326;19543;326;4;4.0;1.4142135623730951
327;19551;327;1;1.0;0.0
328;19565;328;5;5.0;2.0
329;19573;329;2;2.0;1.0
330;19593;330;1;1.0;0.0
331;19596;331;2;2.0;1.0
332;19610;332;1;1.0;0.0
333;19617;333;1;1.0;0.0
334;19626;334;2;2.0;1.0
335;19645;335;2;2.0;1.0
336;19649;336;1;1.0;0.0
337;19651;337;1;1.0;0.0
338;19702;338;2;2.0;1.0
339;19708;339;1;1.0;0.0
340;19713;340;3;3.0;2.0
341;19722;341;2;3.0;1.0
342;19725;342;1;1.0;0.0
343;19736;343;4;7.0;3.0
344;19743;344;1;1.0;0.0
345;19758;345;2;2.0;1.0
346;19779;346;1;1.0;0.0
347;19790;347;1;1.0;0.0
348;19799;348;1;1.0;0.0
349;19801;349;1;1.0;0.0
350;19806;350;1;1.0;0.0
351;19811;351;1;1.0;0.0
352;19814;352;2;2.0;1.0
353;19817;353;2;2.0;1.0
354;19825;354;3;3.0;1.4142135623730951
355;19830;355;1;1.0;0.0
356;19836;356;2;2.0;1.0
357;19845;357;2;2.0;1.0
358;19875;358;1;1.0;0.0
359;19880;359;1;1.0;0.0
360;19886;360;1;1.0;0.0
361;19899;361;7;7.0;2.23606797749979
362;19910;362;1;1.0;0.0
363;19917;363;1;1.0;0.0
364;19919;364;5;5.0;2.0
365;19928;365;1;1.0;0.0
366;19934;366;3;3.0;1.4142135623730951
367;19942;367;1;1.0;0.0
368;19944;368;2;3.0;1.0
369;19951;369;1;1.0;0.0
370;19956;370;3;3.0;1.4142135623730951
371;19964;371;3;4.0;1.4142135623730951
372;19987;372;3;5.0;2.0
