;timestep;number;lifetime;total dissipation;spatial linear size
0;15082;0;2;2.0;1.0
1;15093;1;1;1.0;0.0
2;15099;2;1;1.0;0.0
3;15110;3;1;1.0;0.0
4;15154;4;1;1.0;0.0
5;15167;5;1;1.0;0.0
6;15187;6;1;1.0;0.0
7;15201;7;1;1.0;0.0
8;15214;8;2;2.0;1.0
9;15232;9;1;1.0;0.0
10;15238;10;2;2.0;1.0
11;15251;11;1;1.0;0.0
12;15266;12;1;1.0;0.0
13;15275;13;1;1.0;0.0
14;15287;14;1;1.0;0.0
15;15312;15;2;2.0;1.0
16;15337;16;1;1.0;0.0
17;15350;17;1;1.0;0.0
18;15373;18;1;1.0;0.0
19;15380;19;1;1.0;0.0
20;15384;20;1;1.0;0.0
21;15405;21;1;1.0;0.0
22;15456;22;1;1.0;0.0
23;15468;23;2;2.0;1.0
24;15475;24;1;1.0;0.0
25;15480;25;1;1.0;0.0
26;15492;26;1;1.0;0.0
27;15500;27;1;1.0;0.0
28;15527;28;1;1.0;0.0
29;15562;29;1;1.0;0.0
30;15569;30;1;1.0;0.0
31;15576;31;2;2.0;1.0
32;15585;32;1;1.0;0.0
33;15619;33;2;2.0;1.0
34;15636;34;2;2.0;1.0
35;15694;35;1;1.0;0.0
36;15704;36;2;2.0;1.0
37;15722;37;1;1.0;0.0
38;15726;38;1;1.0;0.0
39;15756;39;1;1.0;0.0
40;15781;40;1;1.0;0.0
41;15810;41;1;1.0;0.0
42;15818;42;1;1.0;0.0
43;15829;43;1;1.0;0.0
44;15873;44;1;1.0;0.0
45;15912;45;2;2.0;1.0
46;15929;46;1;1.0;0.0
47;15950;47;2;2.0;1.0
48;15953;48;1;1.0;0.0
49;15976;49;1;1.0;0.0
50;15982;50;2;2.0;1.0
51;16017;51;1;1.0;0.0
52;16020;52;1;1.0;0.0
53;16022;53;2;3.0;1.0
54;16027;54;1;1.0;0.0
55;16077;55;1;1.0;0.0
56;16081;56;2;2.0;1.0
57;16084;57;1;1.0;0.0
58;16090;58;1;1.0;0.0
59;16096;59;1;1.0;0.0
60;16105;60;1;1.0;0.0
61;16109;61;1;1.0;0.0
62;16131;62;1;1.0;0.0
63;16154;63;3;3.0;2.0
64;16167;64;1;1.0;0.0
65;16171;65;1;1.0;0.0
66;16173;66;1;1.0;0.0
67;16187;67;1;1.0;0.0
68;16191;68;5;7.0;3.1622776601683795
69;16201;69;1;1.0;0.0
70;16203;70;1;1.0;0.0
71;16212;71;1;1.0;0.0
72;16241;72;1;1.0;0.0
73;16246;73;2;2.0;1.0
74;16251;74;1;1.0;0.0
75;16260;75;1;1.0;0.0
76;16270;76;1;1.0;0.0
77;16283;77;1;1.0;0.0
78;16330;78;2;2.0;1.0
79;16357;79;1;1.0;0.0
80;16378;80;3;3.0;1.4142135623730951
81;16388;81;1;1.0;0.0
82;16410;82;2;2.0;1.0
83;16427;83;1;1.0;0.0
84;16472;84;1;1.0;0.0
85;16478;85;1;1.0;0.0
86;16486;86;2;2.0;1.0
87;16492;87;1;1.0;0.0
88;16497;88;1;1.0;0.0
89;16527;89;1;1.0;0.0
90;16529;90;1;1.0;0.0
91;16544;91;1;1.0;0.0
92;16547;92;2;3.0;1.0
93;16562;93;2;2.0;1.0
94;16565;94;1;1.0;0.0
95;16578;95;1;1.0;0.0
96;16580;96;1;1.0;0.0
97;16590;97;3;3.0;2.0
98;16609;98;1;1.0;0.0
99;16616;99;1;1.0;0.0
100;16629;100;2;2.0;1.0
101;16641;101;2;2.0;1.0
102;16644;102;1;1.0;0.0
103;16650;103;1;1.0;0.0
104;16652;104;1;1.0;0.0
105;16664;105;1;1.0;0.0
106;16680;106;1;1.0;0.0
107;16696;107;1;1.0;0.0
108;16699;108;2;2.0;1.0
109;16702;109;1;1.0;0.0
110;16706;110;1;1.0;0.0
111;16712;111;2;2.0;1.0
112;16718;112;1;1.0;0.0
113;16754;113;2;2.0;1.0
114;16765;114;1;1.0;0.0
115;16778;115;1;1.0;0.0
116;16784;116;1;1.0;0.0
117;16834;117;2;3.0;1.0
118;16848;118;1;1.0;0.0
119;16850;119;1;1.0;0.0
120;16855;120;1;1.0;0.0
121;16884;121;1;1.0;0.0
122;16898;122;1;1.0;0.0
123;16913;123;1;1.0;0.0
124;16924;124;1;1.0;0.0
125;16932;125;1;1.0;0.0
126;16934;126;1;1.0;0.0
127;16939;127;2;2.0;1.0
128;16947;128;3;3.0;1.4142135623730951
129;16955;129;1;1.0;0.0
130;16972;130;1;1.0;0.0
131;17008;131;1;1.0;0.0
132;17013;132;1;1.0;0.0
133;17030;133;1;1.0;0.0
134;17047;134;1;1.0;0.0
135;17049;135;1;1.0;0.0
136;17067;136;1;1.0;0.0
137;17073;137;1;1.0;0.0
138;17080;138;1;1.0;0.0
139;17090;139;2;2.0;1.0
140;17137;140;1;1.0;0.0
141;17142;141;1;1.0;0.0
142;17151;142;1;1.0;0.0
143;17158;143;1;1.0;0.0
144;17170;144;1;1.0;0.0
145;17187;145;2;2.0;1.0
146;17197;146;1;1.0;0.0
147;17200;147;1;1.0;0.0
148;17223;148;1;1.0;0.0
149;17240;149;1;1.0;0.0
150;17245;150;2;2.0;1.0
151;17258;151;1;1.0;0.0
152;17278;152;1;1.0;0.0
153;17284;153;1;1.0;0.0
154;17286;154;2;2.0;1.0
155;17305;155;4;4.0;3.0
156;17312;156;2;2.0;1.0
157;17323;157;1;1.0;0.0
158;17343;158;1;1.0;0.0
159;17345;159;3;3.0;1.4142135623730951
160;17360;160;1;1.0;0.0
161;17368;161;1;1.0;0.0
162;17382;162;1;1.0;0.0
163;17386;163;1;1.0;0.0
164;17399;164;2;2.0;1.0
165;17405;165;2;2.0;1.0
166;17415;166;2;2.0;1.0
167;17424;167;1;1.0;0.0
168;17466;168;1;1.0;0.0
169;17478;169;2;2.0;1.0
170;17483;170;1;1.0;0.0
171;17499;171;1;1.0;0.0
172;17508;172;2;2.0;1.0
173;17523;173;2;2.0;1.0
174;17539;174;2;2.0;1.0
175;17564;175;1;1.0;0.0
176;17572;176;1;1.0;0.0
177;17585;177;2;2.0;1.0
178;17592;178;1;1.0;0.0
179;17596;179;2;2.0;1.0
180;17602;180;1;1.0;0.0
181;17606;181;1;1.0;0.0
182;17636;182;1;1.0;0.0
183;17640;183;1;1.0;0.0
184;17647;184;2;3.0;1.0
185;17666;185;1;1.0;0.0
186;17677;186;1;1.0;0.0
187;17706;187;2;2.0;1.0
188;17714;188;1;1.0;0.0
189;17721;189;1;1.0;0.0
190;17740;190;1;1.0;0.0
191;17746;191;1;1.0;0.0
192;17750;192;2;2.0;1.0
193;17789;193;1;1.0;0.0
194;17799;194;1;1.0;0.0
195;17811;195;1;1.0;0.0
196;17814;196;2;2.0;1.0
197;17836;197;1;1.0;0.0
198;17856;198;1;1.0;0.0
199;17864;199;2;3.0;1.0
200;17874;200;5;7.0;3.1622776601683795
201;17885;201;1;1.0;0.0
202;17891;202;2;3.0;1.0
203;17941;203;1;1.0;0.0
204;17943;204;1;1.0;0.0
205;17947;205;1;1.0;0.0
206;17950;206;1;1.0;0.0
207;17952;207;1;1.0;0.0
208;17954;208;1;1.0;0.0
209;17978;209;2;2.0;1.0
210;17991;210;1;1.0;0.0
211;18020;211;4;4.0;1.4142135623730951
212;18027;212;3;4.0;1.4142135623730951
213;18039;213;4;4.0;3.0
214;18068;214;1;1.0;0.0
215;18073;215;1;1.0;0.0
216;18080;216;2;2.0;1.0
217;18094;217;3;3.0;1.4142135623730951
218;18109;218;1;1.0;0.0
219;18113;219;1;1.0;0.0
220;18149;220;1;1.0;0.0
221;18158;221;2;2.0;1.0
222;18180;222;1;1.0;0.0
223;18214;223;1;1.0;0.0
224;18226;224;2;2.0;1.0
225;18237;225;2;2.0;1.0
226;18247;226;1;1.0;0.0
227;18253;227;2;2.0;1.0
228;18265;228;3;4.0;1.4142135623730951
229;18278;229;1;1.0;0.0
230;18299;230;1;1.0;0.0
231;18305;231;1;1.0;0.0
232;18307;232;1;1.0;0.0
233;18317;233;1;1.0;0.0
234;18336;234;1;1.0;0.0
235;18340;235;1;1.0;0.0
236;18347;236;1;1.0;0.0
237;18356;237;1;1.0;0.0
238;18368;238;1;1.0;0.0
239;18370;239;1;1.0;0.0
240;18376;240;1;1.0;0.0
241;18426;241;1;1.0;0.0
242;18431;242;1;1.0;0.0
243;18442;243;2;2.0;1.0
244;18464;244;1;1.0;0.0
245;18470;245;1;1.0;0.0
246;18477;246;1;1.0;0.0
247;18482;247;1;1.0;0.0
248;18486;248;1;1.0;0.0
249;18497;249;3;4.0;1.4142135623730951
250;18501;250;1;1.0;0.0
251;18517;251;2;2.0;1.0
252;18521;252;1;1.0;0.0
253;18539;253;1;1.0;0.0
254;18548;254;1;1.0;0.0
255;18551;255;1;1.0;0.0
256;18564;256;5;6.0;2.23606797749979
257;18576;257;1;1.0;0.0
258;18586;258;1;1.0;0.0
259;18590;259;1;1.0;0.0
260;18616;260;2;2.0;1.0
261;18621;261;1;1.0;0.0
262;18625;262;1;1.0;0.0
263;18634;263;1;1.0;0.0
264;18650;264;3;5.0;1.4142135623730951
265;18662;265;1;1.0;0.0
266;18671;266;1;1.0;0.0
267;18674;267;3;4.0;1.4142135623730951
268;18687;268;1;1.0;0.0
269;18697;269;1;1.0;0.0
270;18701;270;1;1.0;0.0
271;18705;271;2;2.0;1.0
272;18708;272;2;2.0;1.0
273;18769;273;1;1.0;0.0
274;18782;274;1;1.0;0.0
275;18785;275;1;1.0;0.0
276;18801;276;1;1.0;0.0
277;18817;277;1;1.0;0.0
278;18836;278;1;1.0;0.0
279;18846;279;3;3.0;1.4142135623730951
280;18859;280;3;6.0;2.0
281;18870;281;2;2.0;1.0
282;18882;282;1;1.0;0.0
283;18901;283;1;1.0;0.0
284;18923;284;1;1.0;0.0
285;18933;285;6;6.0;2.8284271247461903
286;18947;286;1;1.0;0.0
287;18951;287;2;2.0;1.0
288;18954;288;1;1.0;0.0
289;18969;289;1;1.0;0.0
290;18972;290;1;1.0;0.0
291;18980;291;1;1.0;0.0
292;18990;292;1;1.0;0.0
293;18992;293;1;1.0;0.0
294;19005;294;1;1.0;0.0
295;19018;295;1;1.0;0.0
296;19021;296;3;3.0;1.4142135623730951
297;19029;297;3;4.0;2.0
298;19045;298;3;3.0;1.4142135623730951
299;19049;299;1;1.0;0.0
300;19063;300;3;3.0;1.4142135623730951
301;19068;301;1;1.0;0.0
302;19094;302;2;3.0;1.0
