;timestep;number;lifetime;total dissipation;spatial linear size
0;40007;0;34;228.0;7.3484692283495345
1;40050;1;2;2.0;1.0
2;40056;2;2;2.0;1.0
3;40059;3;2;2.0;1.0
4;40063;4;4;6.0;2.23606797749979
5;40085;5;1;1.0;0.0
6;40087;6;51;305.0;15.066519173319364
7;40146;7;1;1.0;0.0
8;40151;8;3;3.0;2.0
9;40157;9;2;2.0;1.0
10;40165;10;13;26.0;5.477225575051661
11;40195;11;4;5.0;2.23606797749979
12;40206;12;1;1.0;0.0
13;40208;13;2;2.0;1.0
14;40219;14;14;36.0;5.477225575051661
15;40237;15;5;9.0;2.0
16;40258;16;14;28.0;4.47213595499958
17;40274;17;61;557.0;13.638181696985855
18;40337;18;2;4.0;1.0
19;40340;19;3;3.0;1.4142135623730951
20;40346;20;1;1.0;0.0
21;40358;21;3;4.0;1.4142135623730951
22;40369;22;25;132.0;8.06225774829855
23;40399;23;1;1.0;0.0
24;40402;24;10;16.0;5.0
25;40417;25;8;15.0;3.605551275463989
26;40428;26;6;9.0;4.123105625617661
27;40437;27;1;1.0;0.0
28;40439;28;7;15.0;3.3166247903554
29;40449;29;1;1.0;0.0
30;40461;30;5;9.0;3.1622776601683795
31;40472;31;19;87.0;6.708203932499369
32;40499;32;1;1.0;0.0
33;40512;33;1;1.0;0.0
34;40516;34;34;212.0;12.041594578792296
35;40567;35;4;5.0;2.23606797749979
36;40575;36;1;1.0;0.0
37;40578;37;1;1.0;0.0
38;40580;38;18;92.0;6.082762530298219
39;40599;39;1;1.0;0.0
40;40608;40;2;2.0;1.0
41;40616;41;13;19.0;5.830951894845301
42;40637;42;2;2.0;1.0
43;40641;43;1;1.0;0.0
44;40647;44;26;116.0;7.0710678118654755
45;40674;45;11;16.0;3.7416573867739413
46;40687;46;1;1.0;0.0
47;40694;47;2;2.0;1.0
48;40700;48;18;118.0;6.0
49;40721;49;2;2.0;1.0
50;40732;50;29;116.0;8.306623862918075
51;40763;51;2;3.0;1.0
52;40769;52;1;1.0;0.0
53;40775;53;1;1.0;0.0
54;40785;54;17;37.0;7.280109889280518
55;40814;55;5;7.0;2.8284271247461903
56;40825;56;5;8.0;2.449489742783178
57;40843;57;67;526.0;14.89966442575134
58;40912;58;24;122.0;7.3484692283495345
59;40939;59;2;2.0;1.0
60;40943;60;15;51.0;5.196152422706632
61;40965;61;3;4.0;1.4142135623730951
62;40970;62;10;13.0;3.3166247903554
63;40987;63;10;29.0;4.242640687119285
64;40999;64;9;12.0;2.449489742783178
65;41024;65;2;2.0;1.0
66;41027;66;66;637.0;16.401219466856727
67;41108;67;5;8.0;3.1622776601683795
68;41129;68;2;2.0;1.0
69;41133;69;1;1.0;0.0
70;41135;70;20;58.0;5.196152422706632
71;41157;71;6;11.0;2.23606797749979
72;41164;72;4;4.0;1.4142135623730951
73;41171;73;1;1.0;0.0
74;41175;74;1;1.0;0.0
75;41182;75;3;5.0;1.4142135623730951
76;41188;76;1;1.0;0.0
77;41192;77;28;117.0;5.916079783099616
78;41226;78;4;6.0;2.23606797749979
79;41231;79;1;1.0;0.0
80;41247;80;2;2.0;1.0
81;41250;81;1;1.0;0.0
82;41267;82;1;1.0;0.0
83;41272;83;4;5.0;1.7320508075688772
84;41286;84;5;6.0;4.0
85;41296;85;1;1.0;0.0
86;41300;86;2;2.0;1.0
87;41304;87;1;1.0;0.0
88;41312;88;8;14.0;4.123105625617661
89;41324;89;3;4.0;1.4142135623730951
90;41343;90;4;5.0;2.23606797749979
91;41348;91;7;15.0;2.449489742783178
92;41376;92;17;25.0;3.7416573867739413
93;41394;93;67;730.0;14.45683229480096
94;41464;94;1;1.0;0.0
95;41467;95;2;2.0;1.0
96;41481;96;3;4.0;1.4142135623730951
97;41486;97;10;13.0;2.449489742783178
98;41503;98;35;182.0;11.224972160321824
99;41540;99;2;2.0;1.0
100;41544;100;29;145.0;12.24744871391589
101;41575;101;2;2.0;1.0
102;41581;102;8;13.0;3.605551275463989
103;41591;103;1;1.0;0.0
104;41606;104;2;2.0;1.0
105;41613;105;25;166.0;9.695359714832659
106;41639;106;1;1.0;0.0
107;41644;107;6;14.0;2.449489742783178
108;41651;108;11;18.0;3.7416573867739413
109;41664;109;10;15.0;4.242640687119285
110;41689;110;2;2.0;1.0
111;41694;111;16;31.0;4.58257569495584
112;41715;112;2;2.0;1.0
113;41734;113;13;29.0;5.477225575051661
114;41759;114;2;2.0;1.0
115;41763;115;6;7.0;3.1622776601683795
116;41770;116;22;106.0;5.385164807134504
117;41798;117;5;11.0;2.23606797749979
118;41805;118;3;8.0;1.4142135623730951
119;41818;119;13;25.0;6.164414002968976
120;41833;120;19;39.0;5.477225575051661
121;41854;121;1;1.0;0.0
122;41857;122;25;75.0;5.477225575051661
123;41888;123;1;1.0;0.0
124;41895;124;2;2.0;1.0
125;41905;125;20;66.0;6.48074069840786
126;41926;126;1;1.0;0.0
127;41929;127;2;2.0;1.0
128;41936;128;1;1.0;0.0
129;41942;129;9;33.0;4.47213595499958
130;41956;130;1;1.0;0.0
131;41958;131;2;2.0;1.0
132;41965;132;21;103.0;6.164414002968976
133;42000;133;1;1.0;0.0
134;42030;134;1;1.0;0.0
135;42034;135;1;1.0;0.0
136;42039;136;7;16.0;3.7416573867739413
137;42047;137;1;1.0;0.0
138;42056;138;3;3.0;1.4142135623730951
139;42060;139;3;3.0;1.4142135623730951
140;42068;140;1;1.0;0.0
141;42073;141;8;14.0;4.123105625617661
142;42090;142;3;4.0;1.4142135623730951
143;42098;143;3;3.0;1.4142135623730951
144;42102;144;12;34.0;5.0990195135927845
145;42118;145;7;10.0;3.1622776601683795
146;42132;146;12;35.0;5.196152422706632
147;42147;147;1;1.0;0.0
148;42151;148;24;99.0;5.385164807134504
149;42177;149;24;72.0;7.681145747868608
150;42207;150;1;1.0;0.0
151;42211;151;6;9.0;2.23606797749979
152;42219;152;3;4.0;1.4142135623730951
153;42223;153;1;1.0;0.0
154;42227;154;1;1.0;0.0
155;42233;155;84;871.0;18.49324200890693
156;42319;156;2;3.0;1.0
157;42325;157;5;6.0;2.23606797749979
158;42335;158;6;9.0;3.605551275463989
159;42346;159;4;8.0;2.23606797749979
160;42356;160;1;1.0;0.0
161;42364;161;2;2.0;1.0
162;42367;162;1;1.0;0.0
163;42370;163;5;5.0;2.23606797749979
164;42382;164;1;1.0;0.0
165;42392;165;2;2.0;1.0
166;42396;166;1;1.0;0.0
167;42403;167;2;3.0;1.0
168;42420;168;12;48.0;4.58257569495584
169;42438;169;1;1.0;0.0
170;42442;170;10;22.0;5.385164807134504
171;42454;171;7;7.0;1.7320508075688772
172;42465;172;6;9.0;2.449489742783178
173;42474;173;1;1.0;0.0
174;42486;174;4;4.0;2.23606797749979
175;42493;175;2;3.0;1.0
176;42496;176;2;2.0;1.0
177;42502;177;5;12.0;2.449489742783178
178;42509;178;3;4.0;1.4142135623730951
179;42523;179;5;6.0;2.449489742783178
180;42538;180;2;2.0;1.0
181;42549;181;4;4.0;1.7320508075688772
182;42556;182;2;3.0;1.0
183;42559;183;6;10.0;3.0
184;42567;184;2;2.0;1.0
185;42594;185;2;2.0;1.0
186;42602;186;1;1.0;0.0
187;42613;187;7;10.0;2.449489742783178
188;42626;188;5;5.0;2.23606797749979
189;42633;189;3;3.0;1.4142135623730951
190;42640;190;3;3.0;1.4142135623730951
191;42645;191;1;1.0;0.0
192;42648;192;8;9.0;4.358898943540674
193;42661;193;15;19.0;6.324555320336759
194;42683;194;1;1.0;0.0
195;42685;195;6;7.0;2.449489742783178
196;42694;196;1;1.0;0.0
197;42697;197;3;4.0;2.0
198;42702;198;20;46.0;6.4031242374328485
199;42725;199;2;2.0;1.0
200;42735;200;7;11.0;2.23606797749979
201;42744;201;3;3.0;1.4142135623730951
202;42748;202;14;47.0;4.242640687119285
203;42763;203;1;1.0;0.0
204;42765;204;1;1.0;0.0
205;42768;205;22;64.0;6.4031242374328485
206;42791;206;1;1.0;0.0
207;42798;207;3;3.0;1.4142135623730951
208;42804;208;2;2.0;1.0
209;42820;209;4;4.0;1.7320508075688772
210;42827;210;2;2.0;1.0
211;42830;211;1;1.0;0.0
212;42836;212;8;10.0;2.449489742783178
213;42845;213;6;8.0;2.449489742783178
214;42858;214;3;3.0;1.4142135623730951
215;42882;215;16;51.0;5.916079783099616
216;42905;216;1;1.0;0.0
217;42910;217;1;1.0;0.0
218;42919;218;3;4.0;1.4142135623730951
219;42925;219;13;36.0;4.242640687119285
220;42946;220;1;1.0;0.0
221;42949;221;6;8.0;3.0
222;42956;222;16;58.0;6.708203932499369
223;42981;223;1;1.0;0.0
224;42985;224;1;1.0;0.0
225;42992;225;2;2.0;1.0
226;42998;226;1;1.0;0.0
227;43010;227;20;61.0;5.916079783099616
228;43031;228;1;1.0;0.0
229;43033;229;72;607.0;15.0996688705415
230;43123;230;10;16.0;4.69041575982343
231;43135;231;1;1.0;0.0
232;43144;232;31;115.0;8.18535277187245
233;43177;233;1;1.0;0.0
234;43184;234;2;2.0;1.0
235;43191;235;13;29.0;5.744562646538029
236;43207;236;8;20.0;3.3166247903554
237;43217;237;1;1.0;0.0
238;43223;238;25;115.0;8.602325267042627
239;43249;239;2;2.0;1.0
240;43257;240;3;3.0;2.0
241;43262;241;5;7.0;1.7320508075688772
242;43269;242;16;81.0;7.0
243;43288;243;10;39.0;4.58257569495584
244;43307;244;5;9.0;2.23606797749979
245;43324;245;26;121.0;9.695359714832659
246;43361;246;2;2.0;1.0
247;43377;247;12;53.0;4.47213595499958
248;43391;248;1;1.0;0.0
249;43393;249;25;97.0;7.874007874011811
250;43423;250;2;2.0;1.0
251;43426;251;5;5.0;2.449489742783178
252;43433;252;1;1.0;0.0
253;43447;253;15;22.0;3.0
254;43465;254;2;2.0;1.0
255;43476;255;1;1.0;0.0
256;43485;256;2;2.0;1.0
257;43498;257;2;2.0;1.0
258;43510;258;6;10.0;2.449489742783178
259;43536;259;2;2.0;1.0
260;43542;260;77;483.0;13.92838827718412
261;43623;261;1;1.0;0.0
262;43626;262;1;1.0;0.0
263;43636;263;9;10.0;2.0
264;43651;264;8;11.0;3.0
265;43661;265;4;7.0;3.0
266;43671;266;15;43.0;4.898979485566356
267;43691;267;1;1.0;0.0
268;43696;268;17;45.0;4.58257569495584
269;43718;269;2;2.0;1.0
270;43731;270;7;13.0;3.7416573867739413
271;43739;271;66;494.0;12.449899597988733
272;43810;272;1;1.0;0.0
273;43813;273;1;1.0;0.0
274;43819;274;1;1.0;0.0
275;43831;275;16;32.0;5.0990195135927845
276;43848;276;1;1.0;0.0
277;43851;277;2;2.0;1.0
278;43854;278;4;4.0;2.23606797749979
279;43860;279;1;1.0;0.0
280;43865;280;1;1.0;0.0
281;43873;281;2;2.0;1.0
282;43877;282;1;1.0;0.0
283;43887;283;11;19.0;2.8284271247461903
284;43907;284;2;3.0;1.0
285;43916;285;12;26.0;6.164414002968976
286;43929;286;10;22.0;6.164414002968976
287;43940;287;1;1.0;0.0
288;43950;288;26;182.0;12.041594578792296
289;43985;289;36;445.0;11.0
290;44024;290;3;5.0;1.4142135623730951
291;44031;291;11;27.0;4.123105625617661
292;44045;292;6;7.0;3.0
293;44057;293;1;1.0;0.0
294;44062;294;2;2.0;1.0
295;44067;295;1;1.0;0.0
296;44070;296;2;2.0;1.0
297;44077;297;87;999.0;16.583123951777
298;44171;298;2;2.0;1.0
299;44174;299;1;1.0;0.0
300;44187;300;31;196.0;9.433981132056603
301;44222;301;6;11.0;3.3166247903554
302;44229;302;26;76.0;7.54983443527075
303;44256;303;2;2.0;1.0
304;44275;304;2;2.0;1.0
305;44279;305;4;14.0;2.23606797749979
306;44292;306;2;4.0;1.0
307;44297;307;7;11.0;2.449489742783178
308;44309;308;7;16.0;2.8284271247461903
309;44319;309;55;207.0;12.12435565298214
310;44375;310;6;10.0;3.3166247903554
311;44385;311;4;4.0;1.7320508075688772
312;44390;312;1;1.0;0.0
313;44397;313;1;1.0;0.0
314;44403;314;1;1.0;0.0
315;44407;315;8;16.0;3.3166247903554
316;44420;316;1;1.0;0.0
317;44423;317;27;79.0;7.615773105863909
318;44456;318;1;1.0;0.0
319;44464;319;1;1.0;0.0
320;44466;320;11;15.0;5.477225575051661
321;44481;321;58;217.0;12.083045973594572
322;44541;322;1;1.0;0.0
323;44543;323;1;1.0;0.0
324;44546;324;4;8.0;2.23606797749979
325;44552;325;30;260.0;9.433981132056603
326;44583;326;8;18.0;5.196152422706632
327;44594;327;2;2.0;1.0
328;44605;328;6;11.0;2.23606797749979
329;44613;329;1;1.0;0.0
330;44623;330;14;34.0;3.7416573867739413
331;44639;331;1;1.0;0.0
332;44643;332;2;3.0;1.0
333;44648;333;1;1.0;0.0
334;44662;334;6;13.0;3.0
335;44670;335;10;27.0;4.58257569495584
336;44681;336;3;5.0;2.0
337;44688;337;1;1.0;0.0
338;44712;338;15;19.0;3.0
339;44731;339;1;1.0;0.0
340;44735;340;1;1.0;0.0
341;44740;341;1;1.0;0.0
342;44743;342;2;2.0;1.0
343;44752;343;1;1.0;0.0
344;44755;344;7;11.0;2.8284271247461903
345;44764;345;1;1.0;0.0
346;44767;346;2;2.0;1.0
347;44773;347;5;7.0;2.449489742783178
348;44781;348;7;9.0;3.1622776601683795
349;44799;349;3;3.0;2.0
350;44807;350;2;3.0;1.0
351;44812;351;4;4.0;1.7320508075688772
352;44817;352;35;312.0;9.0
353;44853;353;91;792.0;14.035668847618199
354;44945;354;1;1.0;0.0
355;44961;355;6;7.0;2.449489742783178
356;44980;356;2;2.0;1.0
357;44985;357;8;11.0;3.605551275463989
358;45001;358;5;11.0;2.449489742783178
359;45008;359;14;31.0;4.123105625617661
360;45030;360;10;19.0;3.4641016151377544
361;45041;361;3;3.0;1.4142135623730951
362;45057;362;3;3.0;2.0
363;45069;363;2;2.0;1.0
364;45072;364;1;1.0;0.0
365;45074;365;4;5.0;2.23606797749979
366;45079;366;5;8.0;2.449489742783178
367;45086;367;1;1.0;0.0
368;45091;368;8;18.0;3.3166247903554
369;45116;369;11;33.0;4.242640687119285
370;45128;370;1;1.0;0.0
371;45133;371;1;1.0;0.0
372;45137;372;14;35.0;3.7416573867739413
373;45152;373;2;2.0;1.0
374;45158;374;14;40.0;7.0710678118654755
375;45174;375;1;1.0;0.0
376;45195;376;1;1.0;0.0
377;45208;377;2;2.0;1.0
378;45211;378;1;1.0;0.0
379;45214;379;1;1.0;0.0
380;45216;380;1;1.0;0.0
381;45223;381;2;2.0;1.0
382;45231;382;18;54.0;5.385164807134504
383;45250;383;3;4.0;2.0
384;45255;384;1;1.0;0.0
385;45260;385;2;2.0;1.0
386;45266;386;8;16.0;4.123105625617661
387;45276;387;1;1.0;0.0
388;45279;388;49;331.0;8.06225774829855
389;45333;389;1;1.0;0.0
390;45342;390;2;2.0;1.0
391;45345;391;8;10.0;4.58257569495584
392;45354;392;1;1.0;0.0
393;45359;393;14;31.0;5.916079783099616
