,name,unc_up,unc_lo
0,P_of_S,0.11900000000000022,0.01200000000000001
1,P_of_T,0.15799999999999992,0.05699999999999994
2,P_of_L,0.133,0.12700000000000022
3,E_of_S_T,0.03600000000000003,0.16100000000000003
4,E_of_T_S,0.04200000000000004,0.07799999999999985
5,E_of_S_L,0.3380000000000001,0.2729999999999999
6,E_of_L_S,0.08600000000000008,0.31299999999999994
7,E_of_T_L,0.10299999999999998,0.135
8,E_of_L_T,0.07319999999999993,0.13870000000000005
9,gamma1_gamma3_1,0.21299999999999986,0.383
10,gamma1_gamma3_2,0.16199999999999992,0.3005
