;timestep;number;lifetime;total dissipation;spatial linear size
0;500014;0;1;1.0;1.0
1;500028;1;1;1.0;0.0
2;500032;2;1;1.0;0.0
3;500036;3;1;1.0;0.0
4;500038;4;1;1.0;1.0
5;500047;5;1;1.0;1.0
6;500050;6;2;2.0;2.0
7;500061;7;1;1.0;0.0
8;500065;8;1;1.0;0.0
9;500076;9;1;1.0;0.0
10;500078;10;1;1.0;0.0
11;500085;11;1;1.0;1.0
12;500088;12;1;1.0;0.0
13;500098;13;1;1.0;1.0
14;500105;14;1;1.0;0.0
15;500118;15;1;1.0;0.0
16;500125;16;1;1.0;1.0
17;500129;17;1;1.0;0.0
18;500133;18;1;2.0;1.0
19;500137;19;1;1.0;0.0
20;500148;20;1;1.0;0.0
21;500151;21;1;1.0;0.0
22;500155;22;1;1.0;0.0
23;500161;23;1;2.0;1.0
24;500163;24;1;1.0;1.0
25;500168;25;1;1.0;0.0
26;500177;26;1;1.0;0.0
27;500182;27;1;1.0;1.0
28;500186;28;1;1.0;1.0
29;500190;29;1;1.0;1.0
30;500192;30;2;2.0;1.0
31;500195;31;1;1.0;1.0
32;500200;32;1;1.0;0.0
33;500218;33;1;1.0;0.0
34;500234;34;1;1.0;0.0
35;500240;35;2;2.0;1.4142135623730951
36;500246;36;1;1.0;0.0
37;500254;37;1;2.0;1.0
38;500257;38;1;1.0;1.0
39;500266;39;1;1.0;0.0
40;500271;40;1;1.0;0.0
41;500281;41;1;1.0;0.0
42;500288;42;1;1.0;0.0
43;500299;43;1;1.0;1.0
44;500305;44;1;1.0;1.0
45;500311;45;1;2.0;1.0
46;500321;46;1;1.0;0.0
47;500329;47;1;1.0;0.0
48;500335;48;1;1.0;0.0
49;500346;49;1;2.0;1.0
50;500349;50;1;1.0;1.0
51;500351;51;1;1.0;1.0
52;500354;52;1;1.0;1.0
53;500358;53;1;1.0;0.0
54;500367;54;2;2.0;1.4142135623730951
55;500379;55;1;1.0;1.0
56;500386;56;1;1.0;1.0
57;500388;57;1;1.0;0.0
