;timestep;number;lifetime;total dissipation;spatial linear size
0;15001;0;1;1.0;0.0
1;15023;1;1;1.0;0.0
2;15029;2;1;1.0;0.0
3;15031;3;2;2.0;1.0
4;15035;4;1;1.0;0.0
5;15044;5;2;2.0;1.0
6;15050;6;2;2.0;1.0
7;15062;7;1;1.0;0.0
8;15092;8;1;1.0;0.0
9;15101;9;2;3.0;1.0
10;15125;10;1;1.0;0.0
11;15134;11;1;1.0;0.0
12;15144;12;1;1.0;0.0
13;15146;13;1;1.0;0.0
14;15185;14;1;1.0;0.0
15;15190;15;1;1.0;0.0
16;15196;16;1;1.0;0.0
17;15204;17;1;1.0;0.0
18;15223;18;1;1.0;0.0
19;15235;19;4;4.0;1.4142135623730951
20;15240;20;1;1.0;0.0
21;15247;21;1;1.0;0.0
22;15249;22;1;1.0;0.0
23;15292;23;1;1.0;0.0
24;15326;24;1;1.0;0.0
25;15350;25;1;1.0;0.0
26;15365;26;1;1.0;0.0
27;15370;27;1;1.0;0.0
28;15413;28;1;1.0;0.0
29;15499;29;1;1.0;0.0
30;15554;30;1;1.0;0.0
31;15609;31;1;1.0;0.0
32;15624;32;1;1.0;0.0
33;15628;33;1;1.0;0.0
34;15641;34;1;1.0;0.0
35;15666;35;1;1.0;0.0
36;15680;36;1;1.0;0.0
37;15766;37;1;1.0;0.0
38;15770;38;1;1.0;0.0
39;15772;39;1;1.0;0.0
40;15806;40;1;1.0;0.0
41;15808;41;1;1.0;0.0
42;15821;42;1;1.0;0.0
43;15832;43;1;1.0;0.0
44;15846;44;1;1.0;0.0
45;15876;45;1;1.0;0.0
46;15881;46;1;1.0;0.0
47;15887;47;1;1.0;0.0
48;15909;48;2;2.0;1.0
49;15943;49;2;2.0;1.0
50;15961;50;1;1.0;0.0
51;15993;51;1;1.0;0.0
52;16001;52;1;1.0;0.0
53;16043;53;1;1.0;0.0
54;16052;54;2;2.0;1.0
55;16064;55;1;1.0;0.0
56;16068;56;1;1.0;0.0
57;16088;57;2;2.0;1.0
58;16096;58;1;1.0;0.0
59;16105;59;1;1.0;0.0
60;16113;60;3;4.0;2.0
61;16132;61;1;1.0;0.0
62;16149;62;1;1.0;0.0
63;16161;63;1;1.0;0.0
64;16166;64;1;1.0;0.0
65;16180;65;1;1.0;0.0
66;16205;66;2;2.0;1.0
67;16208;67;1;1.0;0.0
68;16214;68;1;1.0;0.0
69;16224;69;1;1.0;0.0
70;16235;70;1;1.0;0.0
71;16240;71;1;1.0;0.0
72;16254;72;1;1.0;0.0
73;16257;73;4;4.0;1.4142135623730951
74;16297;74;1;1.0;0.0
75;16308;75;1;1.0;0.0
76;16322;76;1;1.0;0.0
77;16372;77;2;2.0;1.0
78;16382;78;1;1.0;0.0
79;16386;79;1;1.0;0.0
80;16399;80;1;1.0;0.0
81;16403;81;1;1.0;0.0
82;16414;82;1;1.0;0.0
83;16430;83;2;2.0;1.0
84;16439;84;3;3.0;1.4142135623730951
85;16484;85;1;1.0;0.0
86;16493;86;1;1.0;0.0
87;16515;87;1;1.0;0.0
88;16520;88;1;1.0;0.0
89;16528;89;1;1.0;0.0
90;16531;90;1;1.0;0.0
91;16538;91;1;1.0;0.0
92;16541;92;1;1.0;0.0
93;16548;93;1;1.0;0.0
94;16556;94;1;1.0;0.0
95;16561;95;1;1.0;0.0
96;16564;96;1;1.0;0.0
97;16566;97;3;3.0;1.4142135623730951
98;16570;98;1;1.0;0.0
99;16580;99;3;3.0;1.4142135623730951
100;16586;100;1;1.0;0.0
101;16595;101;1;1.0;0.0
102;16605;102;5;6.0;2.0
103;16623;103;1;1.0;0.0
104;16645;104;1;1.0;0.0
105;16652;105;2;2.0;1.0
106;16660;106;1;1.0;0.0
107;16694;107;1;1.0;0.0
108;16700;108;1;1.0;0.0
109;16730;109;1;1.0;0.0
110;16743;110;2;2.0;1.0
111;16752;111;1;1.0;0.0
112;16754;112;1;1.0;0.0
113;16780;113;1;1.0;0.0
114;16786;114;2;2.0;1.0
115;16838;115;1;1.0;0.0
116;16841;116;1;1.0;0.0
117;16863;117;1;1.0;0.0
118;16872;118;1;1.0;0.0
119;16881;119;1;1.0;0.0
120;16908;120;1;1.0;0.0
121;16917;121;1;1.0;0.0
122;16934;122;1;1.0;0.0
123;16958;123;1;1.0;0.0
124;16960;124;1;1.0;0.0
125;16988;125;2;3.0;1.0
126;17018;126;1;1.0;0.0
127;17033;127;3;3.0;2.0
128;17045;128;1;1.0;0.0
129;17069;129;1;1.0;0.0
130;17092;130;1;1.0;0.0
131;17126;131;1;1.0;0.0
132;17170;132;2;2.0;1.0
133;17191;133;1;1.0;0.0
134;17220;134;2;2.0;1.0
135;17230;135;1;1.0;0.0
136;17296;136;2;2.0;1.0
137;17312;137;1;1.0;0.0
138;17331;138;1;1.0;0.0
139;17335;139;3;4.0;2.0
140;17339;140;1;1.0;0.0
141;17353;141;1;1.0;0.0
142;17356;142;1;1.0;0.0
143;17361;143;1;1.0;0.0
144;17366;144;2;2.0;1.0
145;17377;145;1;1.0;0.0
146;17403;146;1;1.0;0.0
147;17405;147;1;1.0;0.0
148;17414;148;2;2.0;1.0
149;17417;149;2;3.0;1.0
150;17426;150;1;1.0;0.0
151;17437;151;5;5.0;2.8284271247461903
152;17443;152;2;2.0;1.0
153;17464;153;1;1.0;0.0
154;17466;154;2;2.0;1.0
155;17470;155;2;2.0;1.0
156;17528;156;2;3.0;1.0
157;17548;157;1;1.0;0.0
158;17566;158;1;1.0;0.0
159;17572;159;1;1.0;0.0
160;17586;160;1;1.0;0.0
161;17593;161;1;1.0;0.0
162;17595;162;1;1.0;0.0
163;17603;163;1;1.0;0.0
164;17610;164;1;1.0;0.0
165;17630;165;1;1.0;0.0
166;17680;166;2;2.0;1.0
167;17684;167;1;1.0;0.0
168;17694;168;1;1.0;0.0
169;17696;169;1;1.0;0.0
170;17707;170;1;1.0;0.0
171;17711;171;1;1.0;0.0
172;17718;172;1;1.0;0.0
173;17735;173;1;1.0;0.0
174;17741;174;1;1.0;0.0
175;17746;175;1;1.0;0.0
176;17766;176;1;1.0;0.0
177;17785;177;1;1.0;0.0
178;17815;178;1;1.0;0.0
179;17824;179;1;1.0;0.0
180;17829;180;4;4.0;1.4142135623730951
181;17839;181;1;1.0;0.0
182;17848;182;5;7.0;1.4142135623730951
183;17880;183;2;2.0;1.0
184;17893;184;1;1.0;0.0
185;17908;185;1;1.0;0.0
186;17936;186;1;1.0;0.0
187;17939;187;1;1.0;0.0
188;17955;188;3;3.0;1.4142135623730951
189;17959;189;1;1.0;0.0
190;17976;190;1;1.0;0.0
191;17983;191;2;2.0;1.0
192;18014;192;1;1.0;0.0
193;18017;193;1;1.0;0.0
194;18025;194;1;1.0;0.0
195;18030;195;1;1.0;0.0
196;18032;196;1;1.0;0.0
197;18037;197;2;2.0;1.0
198;18041;198;1;1.0;0.0
199;18048;199;1;1.0;0.0
200;18050;200;1;1.0;0.0
201;18059;201;1;1.0;0.0
202;18064;202;1;1.0;0.0
203;18072;203;1;1.0;0.0
204;18076;204;1;1.0;0.0
205;18096;205;2;2.0;1.0
206;18105;206;2;2.0;1.0
207;18137;207;2;2.0;1.0
208;18142;208;1;1.0;0.0
209;18144;209;1;1.0;0.0
210;18156;210;2;2.0;1.0
211;18173;211;1;1.0;0.0
212;18176;212;1;1.0;0.0
213;18184;213;1;1.0;0.0
214;18194;214;2;2.0;1.0
215;18209;215;2;2.0;1.0
216;18221;216;1;1.0;0.0
217;18246;217;1;1.0;0.0
218;18258;218;1;1.0;0.0
219;18272;219;1;1.0;0.0
220;18283;220;1;1.0;0.0
221;18285;221;7;8.0;3.605551275463989
222;18302;222;1;1.0;0.0
223;18336;223;2;3.0;1.0
224;18349;224;1;1.0;0.0
225;18353;225;1;1.0;0.0
226;18362;226;1;1.0;0.0
227;18367;227;1;1.0;0.0
228;18390;228;1;1.0;0.0
229;18422;229;1;1.0;0.0
230;18432;230;1;1.0;0.0
231;18450;231;3;3.0;1.4142135623730951
232;18461;232;1;1.0;0.0
233;18475;233;5;6.0;2.0
234;18495;234;3;4.0;2.0
235;18523;235;1;1.0;0.0
236;18538;236;2;2.0;1.0
237;18552;237;1;1.0;0.0
238;18576;238;1;1.0;0.0
239;18583;239;2;2.0;1.0
240;18590;240;3;3.0;2.0
241;18612;241;1;1.0;0.0
242;18616;242;1;1.0;0.0
243;18622;243;1;1.0;0.0
244;18625;244;1;1.0;0.0
245;18633;245;2;2.0;1.0
246;18657;246;3;3.0;1.4142135623730951
247;18670;247;1;1.0;0.0
248;18674;248;1;1.0;0.0
249;18678;249;1;1.0;0.0
250;18690;250;2;3.0;1.0
251;18707;251;1;1.0;0.0
252;18718;252;2;2.0;1.0
253;18722;253;2;2.0;1.0
254;18732;254;1;1.0;0.0
255;18737;255;1;1.0;0.0
256;18752;256;2;2.0;1.0
257;18768;257;1;1.0;0.0
258;18777;258;1;1.0;0.0
259;18784;259;2;2.0;1.0
260;18791;260;2;3.0;1.0
261;18817;261;2;2.0;1.0
262;18838;262;1;1.0;0.0
263;18843;263;4;4.0;2.23606797749979
264;18857;264;3;3.0;1.4142135623730951
265;18884;265;1;1.0;0.0
266;18922;266;1;1.0;0.0
267;18926;267;1;1.0;0.0
268;18945;268;1;1.0;0.0
269;18948;269;1;1.0;0.0
270;18952;270;1;1.0;0.0
271;18973;271;2;2.0;1.0
272;18976;272;2;2.0;1.0
273;18979;273;1;1.0;0.0
274;18982;274;2;3.0;1.0
275;18993;275;1;1.0;0.0
276;19005;276;1;1.0;0.0
277;19013;277;2;2.0;1.0
278;19034;278;2;2.0;1.0
279;19038;279;3;4.0;1.4142135623730951
280;19052;280;1;1.0;0.0
281;19061;281;1;1.0;0.0
282;19068;282;4;4.0;2.23606797749979
283;19078;283;1;1.0;0.0
284;19080;284;1;1.0;0.0
285;19118;285;1;1.0;0.0
286;19121;286;1;1.0;0.0
287;19139;287;2;2.0;1.0
288;19144;288;2;2.0;1.0
289;19175;289;1;1.0;0.0
290;19215;290;1;1.0;0.0
291;19219;291;1;1.0;0.0
292;19237;292;1;1.0;0.0
293;19243;293;1;1.0;0.0
294;19247;294;2;2.0;1.0
295;19250;295;1;1.0;0.0
296;19259;296;1;1.0;0.0
297;19268;297;2;2.0;1.0
298;19275;298;1;1.0;0.0
299;19278;299;1;1.0;0.0
300;19282;300;1;1.0;0.0
301;19284;301;1;1.0;0.0
302;19286;302;4;4.0;2.23606797749979
303;19292;303;1;1.0;0.0
304;19303;304;2;2.0;1.0
305;19313;305;1;1.0;0.0
306;19335;306;1;1.0;0.0
307;19349;307;1;1.0;0.0
308;19369;308;1;1.0;0.0
309;19376;309;1;1.0;0.0
310;19383;310;1;1.0;0.0
311;19395;311;4;4.0;1.4142135623730951
312;19415;312;1;1.0;0.0
313;19425;313;1;1.0;0.0
314;19434;314;3;3.0;2.0
315;19451;315;1;1.0;0.0
316;19469;316;1;1.0;0.0
