;timestep;number;lifetime;total dissipation;spatial linear size
0;40049;0;1;1.0;0.0
1;40052;1;1;1.0;0.0
2;40060;2;23;97.0;6.0
3;40091;3;4;4.0;2.23606797749979
4;40099;4;3;3.0;1.4142135623730951
5;40104;5;4;5.0;2.23606797749979
6;40116;6;3;4.0;1.4142135623730951
7;40120;7;1;1.0;0.0
8;40122;8;1;1.0;0.0
9;40127;9;1;1.0;0.0
10;40141;10;2;2.0;1.0
11;40146;11;7;16.0;2.449489742783178
12;40162;12;3;4.0;2.0
13;40166;13;2;3.0;1.0
14;40170;14;1;1.0;0.0
15;40174;15;3;3.0;1.4142135623730951
16;40184;16;6;6.0;2.23606797749979
17;40191;17;2;2.0;1.0
18;40195;18;2;2.0;1.0
19;40208;19;2;2.0;1.0
20;40211;20;1;1.0;0.0
21;40220;21;2;2.0;1.0
22;40226;22;1;1.0;0.0
23;40234;23;10;33.0;3.4641016151377544
24;40258;24;3;3.0;1.4142135623730951
25;40263;25;4;5.0;1.7320508075688772
26;40269;26;5;7.0;3.0
27;40276;27;59;758.0;15.394804318340652
28;40338;28;8;28.0;3.7416573867739413
29;40350;29;12;22.0;3.0
30;40366;30;2;2.0;1.0
31;40372;31;24;99.0;8.306623862918075
32;40400;32;16;24.0;3.7416573867739413
33;40425;33;2;2.0;1.0
34;40441;34;3;5.0;2.0
35;40450;35;2;2.0;1.0
36;40453;36;2;4.0;1.0
37;40471;37;6;8.0;2.23606797749979
38;40480;38;9;23.0;3.7416573867739413
39;40490;39;8;27.0;4.58257569495584
40;40499;40;26;192.0;11.180339887498949
41;40527;41;2;2.0;1.0
42;40531;42;17;34.0;7.3484692283495345
43;40556;43;1;1.0;0.0
44;40558;44;9;32.0;4.242640687119285
45;40571;45;3;3.0;1.4142135623730951
46;40577;46;1;1.0;0.0
47;40579;47;7;12.0;3.7416573867739413
48;40591;48;15;29.0;6.708203932499369
49;40607;49;6;9.0;3.605551275463989
50;40632;50;3;3.0;2.0
51;40640;51;66;594.0;17.11724276862369
52;40707;52;1;1.0;0.0
53;40712;53;47;246.0;11.40175425099138
54;40771;54;1;1.0;0.0
55;40773;55;7;13.0;2.449489742783178
56;40784;56;16;57.0;4.58257569495584
57;40807;57;2;3.0;1.0
58;40812;58;6;8.0;1.7320508075688772
59;40819;59;1;1.0;0.0
60;40841;60;3;4.0;2.0
61;40845;61;2;3.0;1.0
62;40848;62;3;3.0;1.4142135623730951
63;40852;63;8;9.0;3.3166247903554
64;40863;64;34;201.0;11.74734012447073
65;40899;65;6;10.0;2.8284271247461903
66;40914;66;24;100.0;7.810249675906654
67;40943;67;1;1.0;0.0
68;40947;68;22;92.0;8.94427190999916
69;40970;69;3;4.0;1.4142135623730951
70;40980;70;7;17.0;2.23606797749979
71;40988;71;1;1.0;0.0
72;40995;72;15;27.0;6.782329983125268
73;41049;73;1;1.0;0.0
74;41055;74;47;399.0;9.9498743710662
75;41104;75;5;6.0;1.7320508075688772
76;41110;76;11;30.0;3.605551275463989
77;41126;77;44;204.0;12.24744871391589
78;41173;78;2;2.0;1.0
79;41176;79;3;4.0;1.4142135623730951
80;41206;80;16;35.0;5.830951894845301
81;41225;81;1;1.0;0.0
82;41233;82;7;17.0;3.7416573867739413
83;41243;83;6;8.0;2.449489742783178
84;41253;84;1;1.0;0.0
85;41257;85;5;9.0;1.7320508075688772
86;41274;86;2;2.0;1.0
87;41280;87;1;1.0;0.0
88;41290;88;2;2.0;1.0
89;41301;89;1;1.0;0.0
90;41304;90;2;2.0;1.0
91;41307;91;2;2.0;1.0
92;41324;92;1;1.0;0.0
93;41326;93;33;117.0;11.575836902790225
94;41374;94;5;7.0;2.0
95;41381;95;1;1.0;0.0
96;41384;96;1;1.0;0.0
97;41387;97;6;10.0;2.23606797749979
98;41395;98;1;1.0;0.0
99;41399;99;1;1.0;0.0
100;41402;100;1;1.0;0.0
101;41405;101;1;1.0;0.0
102;41413;102;5;8.0;2.449489742783178
103;41420;103;5;6.0;1.4142135623730951
104;41427;104;1;1.0;0.0
105;41429;105;1;1.0;0.0
106;41436;106;2;3.0;1.0
107;41439;107;4;5.0;1.7320508075688772
108;41445;108;4;7.0;2.0
109;41453;109;3;3.0;1.4142135623730951
110;41459;110;1;1.0;0.0
111;41465;111;1;1.0;0.0
112;41472;112;11;31.0;4.358898943540674
113;41486;113;4;4.0;2.23606797749979
114;41512;114;2;2.0;1.0
115;41520;115;7;8.0;2.23606797749979
116;41533;116;5;9.0;3.1622776601683795
117;41542;117;2;3.0;1.0
118;41555;118;8;18.0;2.449489742783178
119;41570;119;1;1.0;0.0
120;41572;120;2;2.0;1.0
121;41586;121;1;1.0;0.0
122;41594;122;7;10.0;3.7416573867739413
123;41603;123;39;225.0;13.038404810405298
124;41653;124;1;1.0;0.0
125;41655;125;1;1.0;0.0
126;41663;126;1;1.0;0.0
127;41666;127;3;5.0;1.4142135623730951
128;41671;128;1;1.0;0.0
129;41675;129;1;1.0;0.0
130;41678;130;2;2.0;1.0
131;41685;131;7;12.0;2.449489742783178
132;41720;132;16;31.0;3.7416573867739413
133;41746;133;2;2.0;1.0
134;41749;134;2;2.0;1.0
135;41754;135;12;33.0;5.385164807134504
136;41771;136;78;615.0;21.18962010041709
137;41851;137;1;1.0;0.0
138;41856;138;20;39.0;4.123105625617661
139;41882;139;3;3.0;1.4142135623730951
140;41886;140;4;5.0;1.7320508075688772
141;41898;141;17;41.0;4.58257569495584
142;41923;142;1;1.0;0.0
143;41938;143;59;428.0;13.19090595827292
144;41998;144;1;1.0;0.0
145;42003;145;2;2.0;1.0
146;42006;146;1;1.0;0.0
147;42009;147;2;3.0;1.0
148;42012;148;1;1.0;0.0
149;42019;149;10;11.0;3.4641016151377544
150;42036;150;3;3.0;1.4142135623730951
151;42040;151;5;7.0;2.449489742783178
152;42046;152;7;11.0;2.8284271247461903
153;42056;153;2;2.0;1.0
154;42064;154;4;7.0;2.23606797749979
155;42070;155;2;3.0;1.0
156;42077;156;1;1.0;0.0
157;42081;157;11;17.0;3.7416573867739413
158;42094;158;10;21.0;2.449489742783178
159;42112;159;35;308.0;12.36931687685298
160;42167;160;25;156.0;11.0
161;42197;161;4;5.0;2.23606797749979
162;42203;162;3;3.0;2.0
163;42216;163;1;1.0;0.0
164;42230;164;2;3.0;1.0
165;42235;165;25;55.0;8.12403840463596
166;42265;166;1;1.0;0.0
167;42268;167;3;4.0;1.4142135623730951
168;42273;168;1;1.0;0.0
169;42277;169;3;3.0;1.4142135623730951
170;42291;170;1;1.0;0.0
171;42294;171;3;4.0;1.4142135623730951
172;42310;172;2;2.0;1.0
173;42320;173;8;18.0;3.0
174;42331;174;2;3.0;1.0
175;42340;175;9;12.0;3.0
176;42353;176;1;1.0;0.0
177;42359;177;6;8.0;3.0
178;42370;178;1;1.0;0.0
179;42378;179;40;241.0;10.04987562112089
180;42427;180;3;3.0;1.4142135623730951
181;42435;181;17;99.0;6.6332495807108
182;42457;182;1;1.0;0.0
183;42463;183;2;2.0;1.0
184;42466;184;9;13.0;3.1622776601683795
185;42477;185;44;444.0;10.246950765959598
186;42525;186;18;35.0;6.708203932499369
187;42544;187;27;140.0;9.695359714832659
188;42572;188;1;1.0;0.0
189;42576;189;2;2.0;1.0
190;42580;190;4;4.0;1.7320508075688772
191;42593;191;3;3.0;2.0
192;42611;192;2;2.0;1.0
193;42615;193;24;93.0;12.328828005937952
194;42640;194;5;6.0;1.7320508075688772
195;42657;195;1;1.0;0.0
196;42659;196;2;2.0;1.0
197;42669;197;8;22.0;4.58257569495584
198;42681;198;1;1.0;0.0
199;42692;199;1;1.0;0.0
200;42694;200;3;4.0;1.4142135623730951
201;42698;201;2;2.0;1.0
202;42703;202;3;5.0;2.0
203;42708;203;1;1.0;0.0
204;42723;204;8;16.0;3.3166247903554
205;42747;205;2;2.0;1.0
206;42768;206;3;3.0;1.4142135623730951
207;42772;207;3;4.0;1.4142135623730951
208;42776;208;23;58.0;8.831760866327848
209;42818;209;4;4.0;1.4142135623730951
210;42829;210;4;6.0;2.23606797749979
211;42835;211;9;15.0;4.358898943540674
212;42849;212;1;1.0;0.0
213;42852;213;7;12.0;3.1622776601683795
214;42869;214;1;1.0;0.0
215;42877;215;1;1.0;0.0
216;42883;216;1;1.0;0.0
217;42888;217;4;8.0;1.7320508075688772
218;42903;218;38;128.0;10.04987562112089
219;42943;219;2;2.0;1.0
220;42948;220;1;1.0;0.0
221;42956;221;2;2.0;1.0
222;42960;222;2;2.0;1.0
223;42973;223;4;5.0;2.23606797749979
224;42984;224;94;894.0;16.1245154965971
225;43079;225;1;1.0;0.0
226;43088;226;45;273.0;10.392304845413264
227;43142;227;4;4.0;1.4142135623730951
228;43148;228;3;3.0;1.4142135623730951
229;43162;229;5;7.0;2.449489742783178
230;43172;230;2;4.0;1.0
231;43183;231;3;3.0;1.4142135623730951
232;43197;232;11;27.0;3.1622776601683795
233;43213;233;1;1.0;0.0
234;43224;234;2;2.0;1.0
235;43229;235;2;2.0;1.0
236;43246;236;2;2.0;1.0
237;43250;237;5;8.0;2.449489742783178
238;43260;238;7;15.0;3.7416573867739413
239;43269;239;3;3.0;1.4142135623730951
240;43275;240;5;8.0;2.449489742783178
241;43281;241;21;87.0;9.433981132056603
242;43307;242;2;2.0;1.0
243;43313;243;2;3.0;1.0
244;43323;244;10;32.0;5.916079783099616
245;43335;245;10;19.0;5.385164807134504
246;43353;246;1;1.0;0.0
247;43356;247;17;49.0;6.782329983125268
248;43391;248;1;1.0;0.0
249;43396;249;1;1.0;0.0
250;43399;250;2;2.0;1.0
251;43403;251;20;96.0;6.48074069840786
252;43429;252;1;1.0;0.0
253;43431;253;21;111.0;7.3484692283495345
254;43455;254;5;8.0;2.449489742783178
255;43466;255;1;1.0;0.0
256;43475;256;1;1.0;0.0
257;43491;257;6;16.0;3.0
258;43499;258;3;3.0;1.4142135623730951
259;43511;259;1;1.0;0.0
260;43514;260;3;3.0;1.4142135623730951
261;43519;261;3;3.0;1.4142135623730951
262;43524;262;7;8.0;2.449489742783178
263;43536;263;9;11.0;4.358898943540674
264;43549;264;1;1.0;0.0
265;43555;265;60;276.0;8.12403840463596
266;43617;266;18;108.0;7.3484692283495345
267;43643;267;17;51.0;4.58257569495584
268;43661;268;8;12.0;4.47213595499958
269;43672;269;13;37.0;3.7416573867739413
270;43703;270;23;108.0;7.280109889280518
271;43728;271;1;1.0;0.0
272;43732;272;1;1.0;0.0
273;43737;273;7;13.0;2.8284271247461903
274;43751;274;12;30.0;5.385164807134504
275;43764;275;5;10.0;3.1622776601683795
276;43772;276;38;131.0;9.1104335791443
277;43828;277;2;3.0;1.0
278;43838;278;10;27.0;5.385164807134504
279;43855;279;2;2.0;1.0
280;43863;280;1;1.0;0.0
281;43868;281;3;5.0;1.4142135623730951
282;43873;282;1;1.0;0.0
283;43878;283;10;21.0;3.605551275463989
284;43889;284;8;19.0;3.605551275463989
285;43909;285;4;6.0;1.4142135623730951
286;43917;286;3;3.0;1.4142135623730951
287;43929;287;8;14.0;3.0
288;43938;288;4;4.0;2.23606797749979
289;43951;289;6;9.0;2.449489742783178
290;43968;290;2;2.0;1.0
291;43979;291;1;1.0;0.0
292;43998;292;27;74.0;6.6332495807108
293;44026;293;19;41.0;5.916079783099616
294;44052;294;2;2.0;1.0
295;44055;295;2;2.0;1.0
296;44060;296;1;1.0;0.0
297;44066;297;13;43.0;6.708203932499369
298;44085;298;2;2.0;1.0
299;44093;299;20;31.0;3.7416573867739413
300;44118;300;2;2.0;1.0
301;44125;301;3;4.0;1.4142135623730951
302;44138;302;3;4.0;2.0
303;44149;303;8;17.0;3.3166247903554
304;44168;304;2;3.0;1.0
305;44176;305;14;25.0;4.58257569495584
306;44191;306;9;13.0;3.0
307;44211;307;1;1.0;0.0
308;44213;308;13;47.0;5.385164807134504
309;44227;309;3;4.0;1.4142135623730951
310;44253;310;6;9.0;3.0
311;44262;311;9;17.0;5.0990195135927845
312;44275;312;114;1691.0;20.149441679609886
313;44396;313;7;15.0;2.8284271247461903
314;44409;314;9;16.0;4.898979485566356
315;44425;315;1;1.0;0.0
316;44427;316;5;6.0;2.8284271247461903
317;44436;317;3;3.0;1.4142135623730951
318;44449;318;4;4.0;2.23606797749979
319;44463;319;1;1.0;0.0
320;44466;320;14;30.0;4.123105625617661
321;44484;321;4;11.0;2.23606797749979
322;44495;322;4;5.0;1.7320508075688772
323;44503;323;12;41.0;4.58257569495584
324;44517;324;4;7.0;2.23606797749979
325;44526;325;8;21.0;3.7416573867739413
326;44537;326;1;1.0;0.0
327;44541;327;2;2.0;1.0
328;44546;328;12;19.0;3.1622776601683795
329;44567;329;2;2.0;1.0
330;44572;330;10;39.0;4.69041575982343
331;44599;331;3;4.0;1.4142135623730951
332;44604;332;2;2.0;1.0
