number;lifetime;total dissipation;spatial linear size
1;1;1.0;0.0
2;4;6.0;2.23606797749979
3;1;1.0;0.0
4;3;4.0;1.4142135623730951
5;1;1.0;0.0
6;1;1.0;0.0
7;3;3.0;1.4142135623730951
8;1;1.0;0.0
9;2;2.0;1.0
10;4;4.0;1.4142135623730951
11;1;1.0;0.0
12;4;4.0;1.4142135623730951
13;1;1.0;0.0
14;1;1.0;0.0
15;7;12.0;3.1622776601683795
16;3;4.0;1.4142135623730951
17;6;8.0;3.605551275463989
18;3;3.0;1.4142135623730951
19;2;2.0;1.0
20;6;8.0;3.605551275463989
21;14;21.0;4.47213595499958
22;1;1.0;0.0
23;1;1.0;0.0
24;7;16.0;5.0990195135927845
25;1;1.0;0.0
26;2;2.0;1.0
27;11;19.0;4.123105625617661
28;5;6.0;2.23606797749979
29;13;28.0;4.123105625617661
30;3;6.0;1.4142135623730951
31;1;1.0;0.0
32;3;5.0;1.4142135623730951
33;10;28.0;4.47213595499958
34;2;2.0;1.0
35;18;47.0;6.4031242374328485
36;13;25.0;5.656854249492381
37;3;3.0;2.0
38;2;2.0;1.0
39;11;33.0;5.830951894845301
40;8;25.0;5.385164807134504
41;3;4.0;1.4142135623730951
42;11;18.0;5.0
43;2;2.0;1.0
44;14;20.0;6.324555320336759
45;1;1.0;0.0
46;2;2.0;1.0
47;9;19.0;4.123105625617661
48;2;2.0;1.0
49;1;1.0;0.0
50;14;46.0;7.810249675906654
51;6;8.0;2.23606797749979
52;2;3.0;1.0
53;7;9.0;2.8284271247461903
54;10;20.0;5.385164807134504
55;5;5.0;1.4142135623730951
56;7;12.0;3.605551275463989
57;12;19.0;5.656854249492381
58;2;2.0;1.0
59;2;3.0;1.0
60;2;2.0;1.0
61;5;6.0;3.1622776601683795
62;2;2.0;1.0
63;8;12.0;4.47213595499958
64;2;2.0;1.0
65;7;23.0;4.47213595499958
66;1;1.0;0.0
67;6;7.0;3.1622776601683795
68;5;5.0;2.23606797749979
69;11;12.0;6.324555320336759
70;1;1.0;0.0
71;1;1.0;0.0
72;2;2.0;1.0
73;2;2.0;1.0
74;4;7.0;2.23606797749979
75;10;16.0;4.47213595499958
76;7;18.0;4.123105625617661
77;2;2.0;1.0
78;13;20.0;8.48528137423857
79;3;4.0;2.0
80;9;25.0;4.47213595499958
81;15;33.0;6.324555320336759
82;2;2.0;1.0
83;2;2.0;1.0
84;4;5.0;2.23606797749979
85;7;17.0;4.123105625617661
86;5;8.0;4.0
87;2;3.0;1.0
88;4;4.0;2.23606797749979
89;7;15.0;2.8284271247461903
90;4;6.0;2.0
91;5;8.0;2.23606797749979
92;8;15.0;4.123105625617661
93;2;2.0;1.0
94;2;2.0;1.0
95;1;1.0;0.0
96;2;2.0;1.0
97;4;4.0;1.4142135623730951
98;4;6.0;2.23606797749979
